,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4700,Romaine Lettuce,2013-03-31,$0.29,$2.55,$2.44,$1.69,$3.11,743.97%
4701,Broccoli Bunches,2013-03-31,$0.82,$2.22,$1.84,$1.19,$1.66,110.67%
4702,Strawberries,2013-03-31,$0.81,$2.49,$2.49,$2.12,$2.62,200.00%
4703,Broccoli Crowns,2013-03-31,$0.84,$1.89,$1.65,$1.57,$1.99,111.31%
4704,Carrots,2013-03-31,$0.31,$0.89,$0.92,$0.82,$1.37,222.58%
4705,Cauliflower,2013-03-31,$1.55,$2.64,$3.37,$2.58,$3.87,100.97%
4706,Celery,2013-03-31,$0.37,$1.53,$1.64,$1.69,$2.12,371.62%
4707,Green Leaf Lettuce,2013-03-31,$0.27,$1.93,$1.63,$1.49,$1.96,549.07%
4708,Iceberg Lettuce,2013-03-31,$0.31,$1.71,$1.59,$1.49,$2.49,487.10%
4709,Oranges,2013-03-31,$0.34,$1.14,$1.21,$1.02,$1.74,275.74%
4710,Potatoes,2013-03-31,$0.65,$5.01,$3.17,$3.37,$4.99,536.15%
4711,Asparagus,2013-03-31,$1.06,$2.86,$2.57,$1.99,$2.37,130.90%
4712,Red Leaf Lettuce,2013-03-31,$0.27,$2.00,$1.84,$1.49,$2.13,590.74%
4713,Carrots,2013-03-24,$0.31,$0.89,$0.92,$0.87,$1.32,222.58%
4714,Cauliflower,2013-03-24,$1.22,$2.64,$2.60,$2.93,$3.82,145.70%
4715,Celery,2013-03-24,$0.48,$1.39,$1.76,$1.52,$2.24,259.90%
4716,Green Leaf Lettuce,2013-03-24,$0.30,$1.99,$1.76,$1.49,$1.96,500.00%
4717,Iceberg Lettuce,2013-03-24,$0.50,$2.14,$1.73,$1.59,$2.62,304.00%
4718,Oranges,2013-03-24,$0.34,$1.02,$1.26,$1.07,$1.74,274.26%
4719,Potatoes,2013-03-24,$0.65,$4.59,$3.41,$3.49,$4.99,533.85%
4720,Red Leaf Lettuce,2013-03-24,$0.29,$2.00,$1.97,$1.49,$2.13,554.31%
4721,Avocados,2013-03-24,$0.67,$1.17,$1.23,$1.16,$1.56,91.04%
4722,Romaine Lettuce,2013-03-24,$0.42,$2.30,$2.36,$1.69,$3.11,463.10%
4723,Broccoli Bunches,2013-03-24,$0.51,$2.54,$1.99,$1.24,$1.83,272.55%
4724,Strawberries,2013-03-24,$1.00,$2.37,$2.37,$2.37,$2.37,137.00%
4725,Broccoli Crowns,2013-03-24,$0.51,$1.81,$1.32,$1.64,$2.12,237.75%
4726,Green Leaf Lettuce,2013-03-17,$0.37,$2.49,$1.63,$1.57,$1.86,410.14%
4727,Iceberg Lettuce,2013-03-17,$1.37,$1.76,$1.72,$1.59,$2.49,37.96%
4728,Oranges,2013-03-17,$0.33,$1.14,$1.33,$0.99,$1.70,290.91%
4729,Potatoes,2013-03-17,$0.80,$3.92,$3.85,$3.49,$4.99,407.81%
4730,Red Leaf Lettuce,2013-03-17,$0.34,$2.09,$1.84,$1.57,$2.02,452.94%
4731,Avocados,2013-03-17,$0.68,$1.17,$1.20,$0.92,$1.48,75.37%
4732,Romaine Lettuce,2013-03-17,$0.98,$2.55,$2.61,$1.69,$3.11,154.08%
4733,Broccoli Bunches,2013-03-17,$0.45,$2.79,$2.34,$1.29,$2.49,395.00%
4734,Strawberries,2013-03-17,$1.50,$2.46,$3.16,$3.37,$3.24,103.83%
4735,Broccoli Crowns,2013-03-17,$0.35,$1.86,$1.57,$1.54,$1.99,397.14%
4736,Carrots,2013-03-17,$0.31,$0.91,$0.92,$0.87,$1.32,224.19%
4737,Cauliflower,2013-03-17,$1.02,$3.03,$3.36,$3.28,$3.49,222.55%
4738,Celery,2013-03-17,$0.70,$1.60,$1.64,$1.74,$2.24,157.86%
4739,Oranges,2013-03-10,$0.32,$1.02,$1.54,$1.14,$1.85,333.59%
4740,Potatoes,2013-03-10,$0.80,$3.82,$3.65,$3.49,$5.49,414.06%
4741,Red Leaf Lettuce,2013-03-10,$0.36,$1.84,$1.97,$1.62,$2.13,425.00%
4742,Avocados,2013-03-10,$0.62,$1.12,$0.92,$0.97,$1.40,77.82%
4743,Romaine Lettuce,2013-03-10,$1.48,$2.55,$2.61,$1.82,$2.80,65.20%
4744,Broccoli Bunches,2013-03-10,$0.51,$2.78,$2.14,$1.24,$2.66,332.35%
4745,Strawberries,2013-03-10,$1.69,$2.26,$3.16,$3.00,$3.12,70.71%
4746,Broccoli Crowns,2013-03-10,$0.42,$1.91,$1.67,$1.69,$1.88,325.60%
4747,Carrots,2013-03-10,$0.31,$0.92,$0.92,$0.87,$1.32,225.00%
4748,Cauliflower,2013-03-10,$0.94,$3.09,$3.12,$2.78,$3.74,238.56%
4749,Celery,2013-03-10,$0.81,$1.58,$1.61,$1.67,$2.24,119.14%
4750,Green Leaf Lettuce,2013-03-10,$0.44,$1.99,$1.76,$1.62,$1.96,316.48%
4751,Iceberg Lettuce,2013-03-10,$1.32,$1.77,$1.68,$1.52,$1.99,31.82%
4752,Red Leaf Lettuce,2013-03-03,$0.37,$2.06,$1.98,$1.62,$3.05,488.51%
4753,Romaine Lettuce,2013-03-03,$1.16,$2.61,$2.58,$1.82,$3.05,116.81%
4754,Broccoli Bunches,2013-03-03,$0.64,$2.63,$2.14,$1.37,$2.66,243.75%
4755,Strawberries,2013-03-03,$1.69,$2.26,$2.31,$2.62,$2.74,46.89%
4756,Broccoli Crowns,2013-03-03,$0.59,$1.72,$1.65,$1.67,$2.29,210.59%
4757,Carrots,2013-03-03,$0.31,$0.89,$0.92,$0.87,$1.16,209.68%
4758,Cauliflower,2013-03-03,$0.96,$2.72,$3.48,$2.58,$3.99,232.55%
4759,Celery,2013-03-03,$0.72,$1.61,$1.86,$1.69,$2.62,170.14%
4760,Green Leaf Lettuce,2013-03-03,$0.35,$1.99,$1.78,$1.62,$1.96,425.00%
4761,Iceberg Lettuce,2013-03-03,$0.69,$1.62,$1.68,$1.39,$1.74,132.97%
4762,Oranges,2013-03-03,$0.31,$1.14,$1.50,$0.94,$1.59,316.94%
4763,Potatoes,2013-03-03,$0.80,$4.15,$3.65,$3.24,$4.49,385.31%
4764,Strawberries,2013-02-24,$1.66,$2.26,$2.74,$3.37,$2.74,67.32%
4765,Romaine Lettuce,2013-02-24,$1.15,$2.61,$2.66,$1.87,$2.96,119.57%
4766,Broccoli Bunches,2013-02-24,$0.81,$2.88,$2.49,$1.22,$2.66,185.49%
4767,Broccoli Crowns,2013-02-24,$0.70,$1.90,$1.54,$1.72,$1.92,152.86%
4768,Carrots,2013-02-24,$0.31,$0.89,$0.92,$0.87,$1.32,222.58%
4769,Cauliflower,2013-02-24,$1.00,$2.96,$3.65,$2.83,$3.99,235.75%
4770,Celery,2013-02-24,$0.76,$1.51,$2.02,$1.69,$2.49,153.62%
4771,Green Leaf Lettuce,2013-02-24,$0.40,$1.99,$1.88,$1.64,$2.07,373.75%
4772,Iceberg Lettuce,2013-02-24,$0.68,$1.64,$1.82,$1.39,$1.62,137.87%
4773,Oranges,2013-02-24,$0.29,$1.33,$1.43,$1.07,$1.70,376.72%
4774,Potatoes,2013-02-24,$0.85,$4.15,$3.43,$3.24,$4.49,350.29%
4775,Red Leaf Lettuce,2013-02-24,$0.37,$2.06,$2.07,$1.64,$2.24,441.22%
4776,Broccoli Crowns,2013-02-17,$0.71,$1.74,$1.94,$1.67,$2.12,163.03%
4777,Carrots,2013-02-17,$0.29,$0.89,$0.92,$0.82,$1.37,244.83%
4778,Cauliflower,2013-02-17,$1.15,$3.09,$3.40,$2.73,$3.74,181.74%
4779,Celery,2013-02-17,$1.03,$1.74,$2.09,$1.69,$2.49,94.42%
4780,Green Leaf Lettuce,2013-02-17,$0.38,$2.19,$1.88,$1.77,$2.27,433.55%
4781,Iceberg Lettuce,2013-02-17,$0.55,$1.65,$1.82,$1.52,$1.92,214.09%
4782,Oranges,2013-02-17,$0.28,$1.12,$1.30,$0.94,$1.72,353.57%
4783,Potatoes,2013-02-17,$0.85,$5.15,$4.04,$3.42,$3.99,388.24%
4784,Red Leaf Lettuce,2013-02-17,$0.37,$2.26,$2.05,$1.77,$2.47,477.70%
4785,Romaine Lettuce,2013-02-17,$0.94,$2.36,$2.49,$1.87,$3.11,161.44%
4786,Broccoli Bunches,2013-02-17,$0.83,$2.77,$2.49,$1.44,$2.49,176.81%
4787,Strawberries,2013-02-17,$1.63,$2.34,$2.83,$2.87,$3.24,73.01%
4788,Cauliflower,2013-02-10,$0.87,$3.06,$3.24,$3.03,$3.99,282.76%
4789,Celery,2013-02-10,$1.35,$1.74,$1.87,$1.69,$2.57,45.74%
4790,Green Leaf Lettuce,2013-02-10,$0.48,$2.16,$1.86,$1.84,$2.27,323.44%
4791,Iceberg Lettuce,2013-02-10,$0.36,$1.83,$1.89,$1.57,$2.24,422.92%
4792,Oranges,2013-02-10,$0.28,$1.21,$1.37,$0.94,$1.59,356.25%
4793,Potatoes,2013-02-10,$0.85,$4.59,$3.85,$3.42,$0.00,248.82%
4794,Red Leaf Lettuce,2013-02-10,$0.47,$2.19,$1.89,$1.84,$2.47,346.28%
