,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
12,2019-05-19,$1.23,$1.16,$1.82,$1.75,$1.69,30.49%
26,2019-05-12,$1.23,$1.12,$1.49,$1.75,$1.69,22.97%
38,2019-05-05,$1.01,$1.25,$1.57,$1.69,$1.69,53.47%
51,2019-04-28,$0.94,$1.09,$1.57,$1.53,$1.70,56.65%
64,2019-04-21,$1.03,$1.21,$1.75,$1.75,$1.85,59.22%
77,2019-04-14,$1.13,$1.29,$1.87,$1.50,$1.85,44.03%
90,2019-04-07,$1.18,$1.16,$1.70,$1.02,$1.57,15.47%
104,2019-03-31,$1.19,$0.95,$0.96,$1.25,$1.49,-2.31%
117,2019-03-24,$1.06,$0.92,$1.38,$1.31,$1.37,17.45%
130,2019-03-17,$0.64,$0.94,$1.31,$1.24,$1.31,87.50%
142,2019-03-10,$0.55,$0.92,$1.13,$1.24,$1.37,111.82%
155,2019-03-03,$0.52,$0.82,$1.31,$1.37,$1.31,131.25%
168,2019-02-24,$0.52,$0.92,$1.31,$1.31,$1.34,134.62%
181,2019-02-17,$0.52,$0.96,$1.36,$0.83,$1.34,115.87%
194,2019-02-10,$0.52,$0.89,$0.99,$1.25,$1.34,114.90%
206,2019-02-03,$0.47,$1.06,$1.24,$1.31,$1.42,167.55%
218,2019-01-27,$0.46,$0.89,$1.75,$1.31,$1.24,182.07%
230,2019-01-20,$0.51,$0.89,$1.68,$1.31,$1.24,150.98%
243,2019-01-13,$0.56,$0.97,$1.23,$1.25,$1.24,109.38%
256,2019-01-06,$0.56,$0.91,$1.26,$0.85,$1.18,87.50%
269,2018-12-30,$0.48,$0.97,$1.48,$1.25,$1.32,161.46%
284,2018-12-23,$0.46,$0.92,$1.02,$1.00,$1.51,141.85%
299,2018-12-16,$0.47,$1.04,$1.39,$1.31,$1.49,178.19%
314,2018-12-09,$0.48,$1.01,$1.44,$1.31,$1.69,183.85%
328,2018-12-02,$0.55,$1.06,$1.69,$1.56,$1.94,184.09%
341,2018-11-25,$0.65,$1.11,$1.82,$1.62,$2.17,158.46%
480,2018-09-23,$0.79,$0.97,$1.48,$1.17,$1.59,64.87%
496,2018-09-16,$0.82,$1.01,$1.55,$1.50,$1.59,72.26%
515,2018-09-09,$0.90,$1.03,$1.73,$1.75,$1.59,69.44%
531,2018-09-02,$0.94,$1.08,$1.51,$1.75,$1.59,57.71%
547,2018-08-26,$0.88,$1.03,$1.40,$1.37,$1.51,50.85%
567,2018-08-19,$1.15,$1.03,$1.82,$1.68,$1.48,30.65%
587,2018-08-12,$1.18,$1.03,$1.31,$1.37,$1.54,11.23%
608,2018-08-05,$1.23,$0.91,$1.23,$1.30,$1.48,0.00%
626,2018-07-29,$1.03,$0.97,$1.59,$1.25,$1.59,31.07%
649,2018-07-22,$0.86,$0.97,$1.69,$1.06,$1.48,51.16%
666,2018-07-15,$0.87,$1.17,$1.34,$1.25,$1.59,53.74%
685,2018-07-08,$0.87,$1.05,$1.50,$1.25,$1.62,55.75%
703,2018-07-01,$0.89,$0.89,$1.52,$1.25,$1.48,44.38%
722,2018-06-24,$0.89,$0.94,$1.39,$1.25,$1.54,43.82%
739,2018-06-17,$0.86,$0.97,$1.39,$1.25,$1.43,46.51%
757,2018-06-10,$0.86,$0.97,$1.59,$1.24,$1.62,57.56%
775,2018-06-03,$0.86,$0.95,$1.35,$1.25,$1.62,50.29%
793,2018-05-27,$0.86,$0.95,$1.47,$0.99,$1.59,45.35%
809,2018-05-20,$0.83,$0.94,$1.69,$1.25,$1.51,62.35%
824,2018-05-13,$0.83,$0.97,$1.31,$0.99,$1.59,46.39%
839,2018-05-06,$0.85,$0.97,$1.51,$1.25,$1.50,53.82%
853,2018-04-29,$0.85,$0.82,$0.97,$0.84,$0.89,3.53%
867,2018-04-22,$0.85,$0.99,$1.54,$1.43,$1.59,63.24%
881,2018-04-15,$0.85,$0.99,$1.51,$1.31,$1.59,58.82%
895,2018-04-08,$0.47,$1.04,$1.43,$1.44,$1.35,179.79%
909,2018-04-01,$0.86,$0.98,$1.51,$1.17,$1.62,53.49%
923,2018-03-25,$0.86,$1.04,$1.51,$1.56,$1.62,66.57%
937,2018-03-18,$0.86,$1.04,$1.43,$1.31,$1.66,58.14%
950,2018-03-11,$0.85,$1.04,$1.76,$1.48,$1.33,65.00%
963,2018-02-25,$0.82,$1.12,$1.76,$1.53,$1.49,79.88%
976,2018-02-18,$0.85,$1.09,$1.76,$1.43,$1.67,75.00%
988,2018-02-11,$0.82,$1.09,$1.76,$1.51,$1.58,81.10%
1000,2018-02-04,$0.82,$0.87,$1.45,$1.31,$1.32,50.91%
1013,2018-01-28,$0.73,$1.23,$1.41,$1.69,$1.66,105.14%
1301,2017-09-10,$1.87,$1.52,$2.00,$1.99,$2.07,1.34%
1359,2017-08-20,$1.69,$1.52,$1.89,$2.17,$2.07,13.17%
1378,2017-08-13,$1.71,$1.47,$1.88,$1.93,$1.74,2.63%
1397,2017-08-06,$1.60,$1.31,$1.75,$1.44,$2.00,1.56%
1417,2017-07-30,$1.39,$1.41,$1.67,$1.59,$1.82,16.73%
1437,2017-07-23,$1.09,$1.39,$1.67,$1.75,$1.65,48.17%
1457,2017-07-16,$1.03,$1.39,$1.54,$1.82,$1.82,59.47%
1477,2017-07-09,$1.03,$1.29,$1.45,$1.75,$1.74,51.21%
1497,2017-07-02,$1.04,$1.39,$1.65,$1.75,$2.00,63.22%
1517,2017-06-25,$1.04,$1.41,$1.45,$1.75,$1.87,55.77%
1535,2017-06-18,$1.07,$1.32,$1.68,$1.59,$1.72,47.43%
1554,2017-06-11,$1.05,$1.32,$1.41,$1.62,$1.86,47.86%
1570,2017-06-04,$1.10,$1.39,$1.81,$1.75,$1.72,51.59%
1586,2017-05-28,$1.07,$1.31,$1.77,$1.59,$2.09,57.94%
1602,2017-05-21,$1.14,$1.31,$1.77,$1.75,$2.09,51.75%
1615,2017-05-14,$1.16,$1.31,$1.50,$1.75,$2.09,43.32%
1629,2017-05-07,$1.16,$1.44,$1.65,$1.62,$1.80,40.30%
1642,2017-04-30,$1.17,$1.07,$1.53,$1.44,$1.95,27.99%
1654,2017-04-23,$1.17,$1.28,$1.77,$1.62,$2.09,44.44%
1668,2017-04-16,$1.20,$1.39,$1.77,$1.59,$1.88,38.13%
1680,2017-04-09,$1.14,$1.51,$1.67,$1.75,$2.09,53.95%
1694,2017-04-02,$1.11,$1.43,$1.67,$1.75,$2.09,56.31%
1706,2017-03-26,$1.06,$1.47,$1.60,$1.75,$2.04,61.79%
1719,2017-03-19,$1.10,$1.79,$2.00,$0.79,$1.28,33.18%
1730,2017-03-12,$1.10,$1.46,$1.60,$1.75,$1.95,53.64%
1741,2017-03-05,$1.11,$1.49,$1.62,$1.70,$1.91,51.35%
1752,2017-02-26,$1.11,$1.44,$1.67,$1.62,$1.62,43.02%
2090,2016-08-28,$1.16,$1.09,$1.74,$1.49,$1.50,25.43%
2105,2016-08-21,$1.18,$1.21,$1.74,$1.42,$1.54,25.21%
2123,2016-08-14,$1.18,$1.36,$1.74,$1.49,$2.50,50.21%
2139,2016-08-07,$1.18,$1.01,$1.74,$1.56,$1.87,30.93%
2158,2016-07-31,$1.20,$1.21,$1.74,$1.53,$2.17,38.54%
2176,2016-07-24,$1.21,$1.36,$1.74,$1.53,$1.87,34.30%
2188,2016-07-17,$1.28,$1.44,$1.66,$1.53,$1.72,24.02%
2204,2016-07-10,$1.28,$1.24,$1.61,$1.61,$1.66,19.53%
2219,2016-07-03,$1.16,$1.24,$1.74,$1.52,$1.59,31.25%
2237,2016-06-26,$1.16,$1.12,$1.48,$1.34,$1.38,14.66%
2252,2016-06-19,$0.95,$1.07,$1.48,$1.34,$1.49,41.58%
2268,2016-06-12,$0.83,$1.04,$1.37,$1.33,$1.54,59.04%
2285,2016-06-05,$0.81,$1.17,$1.18,$1.34,$1.67,65.43%
2300,2016-05-29,$0.81,$0.99,$1.26,$1.17,$1.05,37.96%
2315,2016-05-22,$0.83,$1.12,$1.05,$1.18,$1.25,38.55%
2330,2016-05-15,$0.83,$1.12,$1.11,$0.92,$1.33,34.94%
2344,2016-05-08,$0.72,$1.00,$1.05,$0.92,$1.25,46.53%
2357,2016-05-01,$0.68,$1.06,$1.12,$0.92,$0.75,41.54%
2369,2016-04-24,$0.54,$1.12,$1.24,$0.72,$1.47,110.65%
2383,2016-04-17,$0.54,$1.19,$1.12,$0.99,$1.18,107.41%
2396,2016-04-10,$0.54,$1.12,$1.18,$1.18,$1.48,129.63%
2410,2016-04-03,$0.54,$1.11,$1.12,$1.11,$1.24,112.04%
2423,2016-03-27,$0.54,$1.32,$1.20,$1.31,$1.36,140.28%
2425,2016-03-20,$0.58,$1.32,$1.07,$1.12,$1.53,117.24%
2443,2016-03-13,$0.56,$1.15,$1.18,$1.11,$1.37,114.73%
2453,2016-03-06,$0.57,$1.19,$1.11,$1.36,$1.37,120.61%
2475,2016-02-28,$0.57,$1.19,$1.26,$1.12,$1.42,118.86%
2485,2016-02-21,$0.57,$1.24,$1.24,$1.18,$1.42,122.81%
2497,2016-02-14,$0.57,$1.33,$1.25,$1.33,$1.03,116.67%
2506,2016-02-07,$0.57,$1.18,$0.89,$1.16,$1.47,106.14%
2528,2016-01-31,$0.57,$0.91,$0.83,$0.82,$1.16,63.16%
2818,2015-09-06,$0.72,$1.12,$1.26,$1.38,$1.16,70.83%
2820,2015-08-30,$0.71,$1.32,$1.26,$1.17,$1.48,84.15%
2851,2015-08-23,$0.73,$1.32,$1.26,$1.11,$1.48,77.05%
2864,2015-08-16,$0.73,$1.32,$1.26,$1.30,$1.75,92.81%
2887,2015-08-09,$0.74,$1.29,$1.26,$1.12,$1.68,80.74%
2910,2015-08-02,$0.78,$1.32,$1.32,$0.96,$1.48,62.82%
2934,2015-07-19,$0.82,$1.05,$1.39,$1.11,$1.42,51.52%
2950,2015-07-12,$0.82,$1.29,$1.32,$1.31,$1.75,72.87%
2961,2015-07-05,$0.83,$1.19,$1.43,$1.12,$1.63,61.75%
2985,2015-06-28,$0.82,$1.32,$1.24,$1.19,$1.35,55.49%
3009,2015-06-21,$0.81,$1.19,$1.18,$1.19,$1.57,58.33%
3014,2015-06-14,$0.81,$1.24,$1.37,$1.31,$1.35,62.65%
3037,2015-06-07,$0.82,$1.12,$1.24,$1.00,$1.79,57.01%
3061,2015-05-31,$0.82,$1.24,$1.24,$1.24,$1.50,59.15%
3070,2015-05-24,$0.82,$1.07,$1.43,$1.19,$1.57,60.37%
3094,2015-05-17,$0.82,$1.16,$1.18,$1.19,$1.67,58.54%
3104,2015-05-10,$0.82,$1.19,$1.43,$1.25,$1.57,65.85%
3113,2015-05-03,$0.82,$1.03,$1.24,$1.12,$1.31,43.29%
3138,2015-04-26,$0.82,$0.94,$0.99,$1.04,$1.29,29.88%
3150,2015-04-19,$0.80,$1.19,$1.18,$1.31,$1.78,70.63%
3158,2015-04-12,$0.82,$1.07,$1.37,$1.12,$1.63,58.23%
3170,2015-04-05,$0.81,$1.07,$1.43,$1.12,$2.04,74.69%
3192,2015-03-29,$0.81,$1.19,$1.43,$1.19,$1.53,64.81%
3202,2015-03-22,$0.82,$1.07,$1.12,$1.25,$1.52,51.22%
3211,2015-03-15,$0.81,$1.19,$1.16,$1.19,$1.71,62.04%
3222,2015-03-08,$0.82,$1.19,$1.29,$1.19,$1.71,64.02%
3244,2015-03-01,$0.82,$1.07,$1.16,$1.24,$1.54,52.74%
3256,2015-02-22,$0.82,$1.09,$1.36,$1.13,$1.63,58.84%
3265,2015-02-15,$0.76,$1.19,$1.49,$1.23,$1.61,81.58%
3275,2015-02-08,$0.72,$1.33,$1.43,$1.19,$1.69,95.83%
3286,2015-02-01,$0.70,$1.02,$1.12,$1.25,$1.25,65.71%
