,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
25,2019-05-12,$1.09,$1.48,$2.11,$1.16,$1.48,42.89%
50,2019-04-28,$1.27,$1.61,$2.04,$1.56,$1.63,34.65%
63,2019-04-21,$0.85,$1.64,$2.04,$1.49,$1.63,100.00%
76,2019-04-14,$0.57,$1.94,$2.24,$1.49,$1.63,220.18%
103,2019-03-31,$0.73,$1.94,$2.07,$1.49,$1.89,153.08%
129,2019-03-17,$0.97,$1.94,$2.15,$1.49,$1.89,92.53%
154,2019-03-03,$1.07,$1.94,$2.15,$1.19,$1.89,67.52%
167,2019-02-24,$1.17,$1.78,$1.70,$1.49,$1.89,46.58%
180,2019-02-17,$0.98,$1.78,$2.15,$1.49,$1.89,86.48%
193,2019-02-10,$1.14,$1.78,$2.49,$1.49,$1.89,67.76%
205,2019-02-03,$0.75,$1.77,$1.88,$1.49,$1.89,134.33%
242,2019-01-13,$1.13,$1.61,$2.31,$1.49,$1.99,63.72%
255,2019-01-06,$1.22,$1.78,$1.79,$1.49,$1.89,42.42%
283,2018-12-23,$0.76,$1.94,$2.23,$1.49,$1.89,148.36%
298,2018-12-16,$0.82,$1.88,$2.36,$1.49,$1.76,128.35%
313,2018-12-09,$1.36,$1.71,$1.91,$1.49,$1.76,26.29%
479,2018-09-23,$0.98,$1.65,$1.88,$1.49,$2.49,91.58%
566,2018-08-19,$0.68,$1.65,$2.29,$1.49,$1.76,164.34%
607,2018-08-05,$1.07,$1.65,$1.77,$1.49,$1.76,55.84%
629,2018-07-25,$0.53,$1.65,$1.88,$1.49,$1.76,219.81%
648,2018-07-22,$0.44,$1.98,$1.64,$1.49,$1.76,290.34%
684,2018-07-08,$0.44,$1.65,$1.88,$1.49,$1.76,285.23%
702,2018-07-01,$0.47,$1.52,$1.88,$1.49,$1.76,253.72%
721,2018-06-24,$0.41,$1.65,$1.77,$1.49,$1.76,306.71%
738,2018-06-17,$0.46,$1.52,$1.88,$1.49,$1.63,254.35%
756,2018-06-10,$0.53,$1.65,$1.64,$1.49,$1.63,202.36%
774,2018-06-03,$0.70,$1.63,$1.86,$1.49,$1.63,136.07%
792,2018-05-27,$0.79,$1.81,$1.86,$1.49,$1.63,114.87%
808,2018-05-20,$0.80,$1.81,$1.93,$1.49,$1.63,114.38%
823,2018-05-13,$0.88,$1.65,$1.86,$1.49,$1.63,88.35%
838,2018-05-06,$0.64,$1.81,$1.86,$1.66,$1.63,171.88%
852,2018-04-29,$0.36,$1.65,$1.86,$1.49,$1.65,361.81%
866,2018-04-22,$0.40,$1.65,$1.53,$1.66,$1.63,304.38%
880,2018-04-15,$0.46,$1.65,$1.53,$1.49,$1.63,242.39%
894,2018-04-08,$0.38,$1.81,$1.60,$1.49,$1.63,329.61%
908,2018-04-01,$0.34,$1.65,$1.86,$1.49,$1.63,387.50%
922,2018-03-25,$0.37,$1.81,$1.27,$1.49,$1.63,318.92%
936,2018-03-18,$0.38,$1.81,$1.75,$1.49,$1.63,339.47%
949,2018-03-11,$0.50,$1.81,$1.47,$1.49,$1.63,220.00%
962,2018-02-25,$0.60,$1.65,$1.25,$1.49,$1.63,150.83%
975,2018-02-18,$0.39,$1.65,$1.74,$1.49,$1.63,317.31%
1012,2018-01-28,$0.33,$1.81,$1.74,$1.40,$2.44,459.85%
1025,2018-01-21,$0.36,$1.48,$1.56,$1.49,$1.63,327.78%
1037,2018-01-14,$0.43,$1.48,$1.74,$1.40,$2.44,310.47%
1049,2018-01-07,$0.70,$1.65,$1.58,$1.40,$1.63,123.57%
1061,2017-12-31,$0.79,$1.48,$1.14,$1.49,$2.44,107.28%
1074,2017-12-24,$0.74,$1.61,$1.20,$1.79,$2.44,137.84%
1086,2017-12-17,$0.62,$1.65,$1.16,$1.49,$1.63,139.11%
1099,2017-12-10,$0.52,$1.61,$1.32,$1.79,$2.44,244.23%
1112,2017-12-03,$0.35,$1.22,$1.29,$1.49,$1.63,302.14%
1125,2017-11-26,$0.35,$1.61,$1.40,$1.79,$2.44,417.14%
1138,2017-11-19,$0.41,$1.61,$1.25,$1.79,$2.44,332.32%
1153,2017-11-12,$0.55,$1.61,$1.29,$1.49,$2.09,194.55%
1168,2017-11-05,$0.66,$1.88,$1.18,$1.79,$2.09,162.88%
1183,2017-10-29,$0.76,$1.88,$1.19,$1.49,$2.09,118.75%
1198,2017-10-22,$0.71,$1.88,$1.07,$1.79,$2.09,140.49%
1213,2017-10-15,$0.73,$1.61,$1.42,$1.49,$1.18,95.21%
1244,2017-10-01,$0.96,$1.78,$1.30,$1.49,$1.29,52.60%
1262,2017-09-24,$1.32,$1.61,$1.19,$1.64,$1.94,20.83%
1279,2017-09-17,$1.12,$1.67,$1.08,$1.24,$1.14,14.51%
1281,2017-09-10,$0.86,$1.78,$1.30,$1.49,$1.94,89.24%
1320,2017-09-03,$0.53,$1.78,$1.30,$1.39,$1.29,171.70%
1339,2017-08-27,$0.48,$1.78,$1.30,$1.39,$1.97,235.42%
1358,2017-08-20,$0.50,$1.78,$1.30,$1.39,$1.97,222.00%
1377,2017-08-13,$0.53,$1.54,$1.30,$1.23,$1.29,152.83%
1396,2017-08-06,$0.44,$1.67,$1.30,$1.39,$2.47,288.07%
1416,2017-07-30,$0.45,$1.61,$1.30,$1.39,$1.84,241.11%
1436,2017-07-23,$0.51,$1.78,$1.31,$1.39,$1.94,214.71%
1456,2017-07-16,$0.51,$1.61,$1.30,$1.39,$1.69,193.63%
1476,2017-07-09,$0.51,$1.61,$0.99,$1.39,$1.99,193.14%
1496,2017-07-02,$0.54,$1.78,$1.41,$0.99,$1.84,178.70%
1516,2017-06-25,$0.55,$1.63,$0.99,$1.39,$1.94,170.45%
1534,2017-06-18,$0.55,$1.78,$1.41,$1.39,$1.23,164.09%
1553,2017-06-11,$0.49,$1.61,$1.31,$1.39,$2.27,235.71%
1569,2017-06-04,$0.50,$1.61,$1.31,$1.39,$1.23,177.00%
1585,2017-05-28,$0.59,$1.78,$1.84,$1.39,$1.84,190.25%
1601,2017-05-21,$0.73,$1.78,$1.31,$1.79,$1.84,130.14%
1614,2017-05-14,$1.08,$1.61,$1.31,$1.79,$2.11,57.87%
1628,2017-05-07,$1.12,$1.33,$1.31,$1.54,$1.84,34.38%
1641,2017-04-30,$0.56,$1.60,$1.22,$1.79,$1.69,181.25%
1667,2017-04-16,$0.94,$1.60,$1.26,$1.79,$1.69,68.62%
1679,2017-04-09,$1.54,$1.77,$1.30,$1.39,$1.69,-0.16%
1693,2017-04-02,$1.40,$1.78,$1.28,$1.39,$1.69,9.64%
1705,2017-03-26,$1.13,$2.19,$1.01,$1.49,$1.69,41.15%
1718,2017-03-19,$0.97,$2.19,$1.01,$1.49,$1.69,64.43%
1751,2017-02-26,$0.56,$1.46,$1.19,$1.29,$1.63,148.66%
1763,2017-02-19,$0.46,$1.70,$1.08,$1.24,$1.63,207.07%
1774,2017-02-12,$0.74,$1.61,$1.08,$0.99,$1.63,79.39%
1785,2017-02-05,$0.90,$1.60,$1.19,$1.14,$1.63,54.44%
1796,2017-01-29,$0.79,$1.60,$1.24,$0.99,$1.63,72.78%
1807,2017-01-22,$0.63,$1.78,$1.37,$1.24,$1.63,138.89%
1818,2017-01-15,$0.55,$1.78,$1.36,$1.24,$1.63,173.18%
1829,2017-01-08,$0.39,$1.60,$1.19,$1.24,$1.63,262.82%
1852,2016-12-25,$0.39,$1.61,$1.19,$1.24,$0.99,222.44%
1865,2016-12-18,$0.46,$1.60,$1.37,$0.77,$1.63,191.85%
1866,2016-12-11,$0.42,$1.60,$1.19,$0.93,$1.60,216.67%
1891,2016-12-04,$0.46,$1.49,$1.43,$1.08,$1.63,205.98%
1904,2016-11-27,$0.39,$1.78,$1.20,$1.24,$1.63,275.00%
1917,2016-11-20,$0.38,$1.78,$1.20,$0.94,$1.63,265.13%
1932,2016-11-13,$0.39,$1.52,$1.43,$0.77,$1.63,242.95%
1947,2016-11-06,$0.58,$1.58,$1.38,$1.08,$1.72,148.28%
1949,2016-10-30,$0.48,$1.61,$1.21,$1.08,$1.72,192.71%
1977,2016-10-23,$0.70,$1.76,$1.28,$1.08,$1.72,108.57%
1991,2016-10-16,$0.69,$1.72,$1.45,$1.08,$1.72,116.30%
2005,2016-10-09,$0.62,$1.50,$1.45,$1.08,$1.72,131.85%
2072,2016-09-04,$0.53,$1.66,$1.27,$1.08,$1.82,175.00%
2089,2016-08-28,$0.47,$1.33,$1.37,$0.83,$1.99,193.62%
2104,2016-08-21,$0.44,$1.66,$1.32,$0.83,$1.99,229.55%
2122,2016-08-14,$0.44,$1.55,$1.32,$0.83,$1.86,215.91%
2175,2016-07-24,$0.48,$1.64,$1.49,$1.08,$1.66,205.73%
2187,2016-07-17,$0.50,$1.44,$1.49,$1.08,$1.86,193.50%
2203,2016-07-10,$0.54,$1.44,$1.33,$0.83,$1.86,152.78%
2236,2016-06-26,$0.60,$1.55,$1.33,$1.08,$1.86,142.50%
2251,2016-06-19,$0.62,$1.55,$1.33,$0.83,$1.86,124.60%
2267,2016-06-12,$0.68,$1.66,$1.22,$1.08,$1.60,104.41%
2284,2016-06-05,$0.89,$1.52,$1.77,$1.16,$1.08,55.34%
2299,2016-05-29,$1.05,$1.77,$1.33,$1.21,$1.73,43.81%
2314,2016-05-22,$1.03,$2.65,$1.58,$1.26,$2.50,93.93%
2329,2016-05-15,$0.75,$2.49,$1.82,$1.26,$2.54,170.33%
2343,2016-05-08,$0.63,$2.49,$1.99,$1.24,$2.50,226.19%
2356,2016-05-01,$0.68,$2.65,$1.92,$0.99,$2.54,197.79%
2382,2016-04-17,$0.63,$2.56,$1.99,$0.99,$2.54,220.63%
2395,2016-04-10,$0.58,$2.39,$1.82,$1.24,$2.19,229.31%
2409,2016-04-03,$0.48,$2.56,$2.09,$1.16,$2.74,345.31%
2445,2016-03-13,$0.66,$2.56,$1.99,$1.34,$2.79,228.79%
2455,2016-03-06,$0.43,$2.82,$2.09,$1.26,$2.99,432.56%
2477,2016-02-28,$0.42,$2.66,$2.09,$1.34,$0.00,262.50%
2487,2016-02-21,$0.43,$2.66,$1.92,$1.26,$2.99,413.37%
2508,2016-02-07,$0.49,$2.82,$2.15,$0.99,$1.69,290.31%
2529,2016-01-31,$0.50,$2.89,$2.15,$1.39,$1.64,303.50%
2551,2016-01-17,$0.77,$2.72,$2.49,$1.74,$2.99,222.73%
2562,2016-01-10,$1.12,$2.72,$2.59,$1.74,$2.68,117.19%
2572,2016-01-03,$1.22,$2.41,$2.59,$1.74,$2.99,99.39%
2583,2015-12-27,$1.18,$2.66,$2.42,$1.59,$2.48,93.86%
2604,2015-12-13,$1.72,$2.62,$2.49,$1.69,$2.84,40.12%
2614,2015-12-06,$1.56,$2.66,$2.25,$1.59,$2.48,43.91%
2637,2015-11-29,$1.51,$2.75,$2.24,$1.59,$2.74,54.30%
2650,2015-11-22,$1.66,$2.22,$2.15,$1.29,$2.74,26.51%
2657,2015-11-15,$1.43,$2.54,$2.15,$1.19,$2.65,49.13%
2665,2015-11-08,$0.87,$2.39,$2.15,$1.49,$2.65,149.43%
2689,2015-11-01,$0.81,$2.54,$2.24,$1.49,$2.65,175.31%
2698,2015-10-25,$0.95,$2.42,$2.15,$1.66,$2.65,133.68%
2708,2015-10-18,$1.12,$2.26,$2.15,$1.49,$2.49,87.28%
2730,2015-10-11,$1.10,$2.59,$2.12,$1.49,$2.65,101.14%
2750,2015-10-04,$0.98,$2.52,$2.07,$1.99,$2.81,139.54%
2765,2015-09-27,$1.07,$2.36,$1.96,$1.49,$2.49,93.93%
2771,2015-09-20,$1.02,$2.52,$2.12,$1.49,$2.49,111.27%
2795,2015-09-13,$1.19,$2.52,$2.12,$1.49,$2.32,77.52%
2800,2015-09-06,$0.98,$2.36,$2.12,$1.49,$2.25,109.69%
2822,2015-08-30,$0.92,$2.36,$2.12,$1.49,$2.25,123.37%
2852,2015-08-23,$1.01,$2.51,$2.24,$1.49,$2.25,110.15%
2866,2015-08-16,$0.79,$2.62,$2.24,$1.24,$2.50,172.15%
2889,2015-08-09,$0.84,$2.67,$2.24,$1.24,$1.74,134.82%
2912,2015-08-02,$0.93,$2.57,$2.24,$1.49,$2.49,136.29%
2936,2015-07-19,$0.89,$2.67,$2.24,$1.59,$2.49,152.53%
2951,2015-07-12,$0.61,$2.51,$2.24,$0.99,$2.49,237.30%
2963,2015-07-05,$0.53,$2.67,$2.24,$1.59,$2.49,324.06%
2987,2015-06-28,$0.51,$2.51,$2.24,$1.59,$2.49,332.84%
3011,2015-06-21,$0.48,$2.24,$2.42,$1.29,$2.49,339.58%
3016,2015-06-14,$0.58,$2.42,$2.24,$1.54,$2.49,274.57%
3039,2015-06-07,$0.69,$2.42,$2.24,$1.54,$2.49,214.86%
3063,2015-05-31,$0.75,$2.39,$2.24,$1.54,$2.49,188.67%
3072,2015-05-24,$1.18,$2.39,$2.24,$1.44,$2.49,81.36%
3096,2015-05-17,$1.21,$2.39,$2.24,$1.29,$2.49,73.76%
3106,2015-05-10,$0.96,$2.68,$2.24,$1.39,$2.66,133.59%
3115,2015-05-03,$0.74,$2.51,$2.24,$1.29,$2.66,193.92%
3127,2015-04-26,$0.99,$2.39,$2.19,$1.29,$2.49,111.11%
3151,2015-04-19,$1.09,$2.39,$2.19,$1.29,$2.49,91.74%
3160,2015-04-12,$1.00,$2.39,$2.24,$0.99,$2.49,102.75%
3172,2015-04-05,$0.74,$2.39,$2.24,$1.29,$2.33,178.72%
3180,2015-03-29,$0.74,$2.54,$1.86,$1.54,$2.49,184.80%
3204,2015-03-22,$0.84,$2.39,$1.86,$1.54,$2.32,141.37%
3213,2015-03-15,$0.93,$2.39,$2.02,$1.54,$2.32,122.31%
3224,2015-03-08,$0.92,$2.45,$1.95,$1.49,$2.00,114.40%
3246,2015-03-01,$0.64,$2.39,$2.05,$1.24,$2.32,212.50%
3257,2015-02-22,$0.46,$2.29,$2.02,$1.24,$2.32,327.72%
3267,2015-02-15,$0.48,$2.25,$2.00,$1.49,$2.32,319.79%
3277,2015-02-08,$0.47,$2.19,$2.11,$1.59,$2.32,336.70%
3288,2015-02-01,$0.63,$2.35,$2.11,$1.59,$2.66,245.63%
3309,2015-01-25,$0.82,$2.35,$2.11,$1.59,$2.87,171.95%
3319,2015-01-18,$1.14,$2.19,$2.11,$1.74,$2.82,94.30%
3330,2015-01-11,$1.82,$2.35,$1.97,$1.49,$2.82,18.54%
3340,2015-01-04,$1.33,$2.54,$1.97,$1.49,$2.49,59.59%
3352,2014-12-28,$0.79,$2.16,$2.09,$1.39,$2.50,157.59%
3362,2014-12-21,$0.49,$2.19,$2.09,$1.24,$2.50,309.18%
3383,2014-12-14,$0.54,$2.35,$2.09,$1.19,$2.33,268.52%
3393,2014-12-07,$0.62,$2.29,$2.17,$1.49,$2.33,233.87%
3404,2014-11-30,$0.64,$2.45,$2.17,$1.49,$2.49,235.94%
3414,2014-11-23,$0.65,$2.45,$2.07,$1.19,$2.49,215.38%
3424,2014-11-16,$0.86,$2.45,$1.90,$1.19,$2.49,133.43%
3450,2014-11-09,$0.92,$2.27,$2.09,$1.24,$2.50,120.11%
3455,2014-11-02,$0.79,$2.40,$2.09,$1.24,$2.33,155.06%
3467,2014-10-26,$0.61,$2.42,$2.09,$1.29,$2.33,233.20%
3489,2014-10-19,$0.59,$2.24,$2.09,$0.99,$2.49,230.93%
3499,2014-10-12,$0.62,$2.40,$2.09,$0.99,$2.49,221.37%
3511,2014-10-05,$0.67,$2.19,$2.30,$1.29,$2.13,195.15%
3521,2014-09-28,$0.82,$2.19,$1.81,$1.46,$2.49,142.38%
3540,2014-09-21,$1.05,$2.19,$2.71,$1.29,$2.49,106.67%
3551,2014-09-17,$1.01,$2.19,$1.97,$1.46,$2.39,98.27%
3571,2014-08-31,$1.02,$2.35,$1.97,$1.52,$2.29,99.26%
3596,2014-08-24,$1.06,$2.15,$1.91,$1.29,$2.29,80.19%
3601,2014-08-17,$1.19,$2.35,$1.69,$0.00,$0.00,-15.13%
3618,2014-08-17,$1.19,$2.35,$1.69,$1.52,$2.23,63.66%
3652,2014-08-10,$0.97,$2.19,$1.69,$1.29,$2.32,93.04%
3668,2014-08-10,$0.97,$2.19,$1.69,$1.29,$2.32,93.04%
3687,2014-08-03,$0.62,$2.40,$1.94,$1.29,$2.39,223.39%
3692,2014-07-27,$0.50,$2.40,$1.94,$1.59,$2.39,316.00%
3714,2014-07-20,$0.48,$2.40,$1.97,$1.59,$2.39,334.90%
3737,2014-07-06,$0.55,$2.43,$2.11,$1.52,$2.56,291.82%
3762,2014-06-29,$0.71,$2.40,$2.11,$1.52,$2.56,202.46%
3768,2014-06-22,$0.90,$2.30,$2.02,$1.52,$2.56,133.33%
3790,2014-06-15,$0.95,$2.30,$2.02,$1.52,$2.56,121.05%
3814,2014-06-08,$0.88,$2.30,$2.02,$1.52,$2.56,138.64%
3838,2014-06-01,$0.77,$2.40,$1.93,$1.29,$2.49,163.31%
3843,2014-05-25,$0.74,$2.40,$1.93,$1.59,$2.56,186.49%
3871,2014-05-18,$0.91,$2.30,$1.97,$1.59,$2.56,131.32%
3879,2014-05-11,$0.96,$2.43,$1.97,$1.59,$2.49,120.83%
3900,2014-05-04,$0.77,$2.30,$1.97,$1.59,$2.33,165.91%
3913,2014-04-27,$0.71,$2.55,$1.99,$1.56,$2.33,196.83%
3922,2014-04-23,$0.78,$2.50,$2.02,$1.29,$2.49,166.03%
3945,2014-04-20,$0.69,$2.30,$2.02,$1.54,$2.32,196.38%
3956,2014-04-13,$0.78,$2.50,$2.02,$1.29,$2.49,166.03%
3967,2014-04-07,$0.75,$2.27,$2.02,$1.24,$2.17,156.67%
3988,2014-03-30,$0.62,$2.34,$2.02,$0.99,$2.16,202.82%
3998,2014-03-23,$0.67,$2.38,$2.04,$1.49,$2.00,195.15%
4009,2014-03-16,$0.73,$2.38,$2.14,$1.49,$2.33,185.62%
4029,2014-03-09,$0.76,$2.50,$2.04,$1.49,$2.33,175.00%
4040,2014-03-02,$0.58,$2.43,$2.04,$0.99,$2.16,228.45%
4051,2014-02-23,$0.42,$2.50,$2.14,$1.24,$2.16,378.57%
4066,2014-02-16,$0.41,$2.22,$2.14,$1.24,$2.33,383.54%
4071,2014-02-09,$0.43,$2.46,$2.44,$1.24,$2.33,392.44%
4093,2014-02-02,$0.45,$2.29,$2.44,$1.04,$2.33,350.00%
4103,2014-01-26,$0.47,$2.42,$2.39,$1.24,$2.16,336.70%
4114,2014-01-19,$0.51,$2.62,$2.44,$1.24,$2.33,323.04%
4124,2014-01-12,$0.68,$2.42,$2.39,$1.14,$2.32,204.04%
4135,2014-01-05,$0.69,$2.42,$2.39,$1.14,$2.32,199.64%
4145,2013-12-29,$0.50,$2.54,$2.59,$1.59,$2.16,344.00%
4166,2013-12-22,$0.57,$2.32,$1.99,$0.99,$2.16,227.19%
4177,2013-12-15,$0.71,$2.68,$1.96,$1.24,$1.99,177.11%
4187,2013-12-01,$0.44,$2.16,$2.44,$1.49,$2.33,378.41%
4198,2013-11-24,$0.47,$2.16,$2.07,$1.79,$2.82,370.21%
4208,2013-11-17,$1.17,$2.42,$1.39,$1.39,$2.79,70.73%
4228,2013-11-10,$1.81,$2.54,$2.59,$1.79,$2.49,29.97%
4239,2013-11-06,$0.83,$2.99,$2.49,$1.39,$2.32,176.81%
4262,2013-11-03,$1.29,$2.66,$2.27,$1.79,$2.49,78.49%
4271,2013-10-27,$0.83,$2.99,$2.49,$1.39,$2.32,176.81%
4284,2013-10-20,$1.06,$2.44,$1.99,$1.64,$2.15,93.87%
4296,2013-10-13,$1.40,$2.44,$1.99,$1.39,$2.66,51.43%
4318,2013-09-22,$1.26,$2.54,$2.44,$0.99,$2.45,67.06%
4326,2013-09-15,$1.07,$2.32,$1.99,$1.24,$2.33,84.11%
4337,2013-09-01,$0.56,$2.49,$1.74,$1.29,$2.32,250.00%
4354,2013-08-25,$0.68,$2.49,$2.44,$1.42,$2.29,217.65%
4381,2013-08-18,$1.04,$2.39,$1.99,$1.42,$2.49,99.28%
4387,2013-08-11,$1.22,$2.49,$2.29,$1.42,$2.66,81.56%
4409,2013-08-04,$1.20,$2.49,$2.29,$1.39,$2.32,76.88%
4434,2013-07-28,$0.97,$2.57,$2.37,$1.39,$2.66,131.70%
4440,2013-07-21,$0.86,$2.39,$1.84,$0.99,$2.66,129.07%
4468,2013-07-14,$0.61,$2.51,$2.37,$1.32,$2.66,263.11%
4487,2013-07-07,$0.64,$2.69,$2.29,$1.32,$2.66,250.00%
4495,2013-06-30,$0.66,$2.69,$2.39,$1.32,$2.66,243.18%
4516,2013-06-23,$0.66,$2.51,$2.39,$0.99,$2.66,223.86%
4540,2013-06-16,$0.60,$2.66,$2.47,$1.16,$2.66,272.92%
4545,2013-06-09,$0.70,$2.53,$1.94,$0.99,$2.66,190.00%
4570,2013-06-02,$0.84,$2.58,$1.75,$0.99,$2.62,136.31%
4594,2013-05-26,$0.89,$2.60,$2.20,$1.12,$2.66,141.01%
4602,2013-05-19,$0.78,$2.38,$2.00,$1.16,$2.66,162.82%
4614,2013-05-12,$0.68,$2.48,$2.20,$1.16,$2.45,204.78%
4638,2013-05-05,$0.52,$2.53,$1.75,$1.09,$2.29,268.27%
4649,2013-04-28,$0.48,$2.73,$2.34,$1.09,$2.07,328.65%
4666,2013-04-21,$0.52,$2.53,$2.34,$1.22,$2.06,291.83%
4681,2013-04-14,$0.50,$2.59,$2.84,$1.16,$2.49,354.00%
4692,2013-04-07,$0.56,$2.18,$2.34,$1.16,$2.49,264.73%
4701,2013-03-31,$0.82,$2.22,$1.84,$1.19,$1.66,110.67%
4723,2013-03-24,$0.51,$2.54,$1.99,$1.24,$1.83,272.55%
4733,2013-03-17,$0.45,$2.79,$2.34,$1.29,$2.49,395.00%
4744,2013-03-10,$0.51,$2.78,$2.14,$1.24,$2.66,332.35%
4754,2013-03-03,$0.64,$2.63,$2.14,$1.37,$2.66,243.75%
4766,2013-02-24,$0.81,$2.88,$2.49,$1.22,$2.66,185.49%
4786,2013-02-17,$0.83,$2.77,$2.49,$1.44,$2.49,176.81%
4796,2013-02-10,$0.50,$2.64,$1.99,$1.47,$2.99,354.50%
4807,2013-02-03,$0.49,$2.89,$2.49,$1.52,$2.49,379.08%
4818,2013-01-27,$0.78,$2.76,$2.74,$1.39,$2.66,206.09%
4828,2013-01-20,$1.76,$2.89,$2.74,$1.52,$2.66,39.35%
4839,2013-01-13,$2.06,$2.16,$2.19,$1.49,$2.74,4.13%
4850,2013-01-06,$1.49,$2.40,$2.19,$1.19,$2.49,38.76%
4866,2012-12-30,$0.87,$2.65,$2.19,$1.02,$2.32,135.06%
4882,2012-12-23,$0.66,$2.46,$2.12,$1.06,$1.95,187.50%
4892,2012-12-16,$0.51,$2.41,$1.39,$1.17,$2.16,249.51%
4902,2012-12-09,$0.43,$2.51,$2.12,$1.14,$1.83,341.86%
4913,2012-12-02,$0.41,$2.60,$2.12,$1.14,$2.37,401.83%
4922,2012-11-25,$0.53,$2.48,$2.07,$1.14,$2.49,285.85%
4944,2012-11-18,$0.68,$2.29,$1.40,$1.19,$2.33,165.07%
4952,2012-11-11,$0.68,$2.60,$1.00,$1.14,$2.37,161.40%
4977,2012-11-04,$0.56,$2.60,$1.50,$1.07,$2.16,227.23%
4985,2012-10-28,$0.56,$2.61,$2.24,$1.07,$2.16,260.71%
4997,2012-10-21,$0.49,$2.29,$1.84,$1.09,$2.12,274.49%
5019,2012-10-14,$0.43,$2.49,$2.27,$1.14,$2.49,387.79%
5030,2012-10-07,$0.48,$2.49,$1.87,$1.19,$2.49,318.75%
5054,2012-09-30,$0.48,$2.37,$1.95,$1.14,$2.24,301.04%
5067,2012-09-23,$0.55,$2.43,$1.79,$1.07,$2.12,236.82%
5084,2012-09-16,$0.64,$2.38,$2.34,$1.14,$2.26,217.19%
5089,2012-09-09,$0.82,$2.55,$2.34,$1.14,$2.12,148.48%
5113,2012-09-02,$0.52,$2.38,$2.34,$1.14,$2.16,285.58%
5138,2012-08-26,$0.48,$2.54,$1.89,$1.19,$2.22,308.33%
5144,2012-08-19,$0.51,$2.18,$1.89,$1.07,$2.12,255.88%
5174,2012-08-12,$0.52,$2.54,$2.42,$1.12,$1.99,287.98%
5185,2012-08-12,$0.36,$2.54,$2.42,$1.12,$1.99,460.42%
5212,2012-08-05,$0.49,$2.54,$2.17,$1.12,$2.09,304.08%
5219,2012-07-29,$0.50,$2.40,$2.44,$0.99,$2.49,316.00%
5241,2012-07-22,$0.47,$2.40,$2.34,$1.07,$1.83,306.38%
5268,2012-07-15,$0.48,$2.58,$2.34,$1.16,$2.49,346.35%
5273,2012-07-08,$0.51,$2.50,$2.34,$1.12,$2.26,302.94%
5295,2012-07-01,$0.54,$2.36,$1.99,$1.14,$2.66,277.31%
5320,2012-06-24,$0.66,$2.49,$2.49,$1.17,$2.49,227.27%
5325,2012-06-17,$1.03,$2.55,$2.22,$1.17,$2.66,108.74%
5346,2012-06-10,$0.67,$2.48,$2.22,$1.17,$2.66,218.28%
5374,2012-06-03,$0.78,$2.34,$1.79,$1.14,$2.66,154.17%
5382,2012-05-27,$0.72,$2.53,$2.22,$1.09,$2.49,189.24%
5405,2012-05-20,$0.53,$2.53,$2.14,$1.07,$2.49,288.21%
5418,2012-05-13,$0.54,$2.48,$2.14,$1.12,$2.33,273.61%
5434,2012-05-13,$0.38,$2.48,$2.14,$1.12,$2.33,430.92%
5449,2012-05-06,$0.55,$2.53,$2.27,$0.99,$1.85,247.27%
5467,2012-04-29,$0.31,$2.29,$1.79,$1.19,$2.12,495.97%
5481,2012-04-22,$0.28,$2.53,$2.17,$1.19,$2.33,633.93%
5492,2012-04-15,$0.29,$2.45,$2.27,$1.19,$1.89,572.41%
5504,2012-04-08,$0.27,$2.45,$2.27,$1.32,$2.49,689.81%
5524,2012-04-08,$0.27,$2.45,$2.27,$1.32,$2.49,689.81%
5535,2012-04-01,$0.29,$2.36,$1.94,$1.26,$1.83,537.07%
5544,2012-03-25,$0.34,$2.39,$2.04,$1.36,$2.16,484.56%
5555,2012-03-18,$0.39,$2.44,$2.04,$1.32,$1.79,386.54%
5576,2012-03-11,$0.60,$2.41,$2.09,$1.32,$2.33,239.58%
5587,2012-03-04,$0.31,$2.36,$1.85,$1.36,$1.78,492.74%
