,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
11,2019-05-19,$0.73,$1.49,$1.80,$1.99,$1.99,148.97%
24,2019-05-12,$0.81,$1.65,$1.72,$1.99,$2.10,130.25%
37,2019-05-05,$0.93,$1.65,$1.67,$1.99,$1.61,86.02%
49,2019-04-28,$1.04,$1.82,$1.85,$1.99,$2.24,89.90%
62,2019-04-21,$0.75,$1.82,$1.67,$2.14,$1.86,149.67%
75,2019-04-14,$0.46,$2.24,$1.80,$2.14,$1.99,344.02%
89,2019-04-07,$0.49,$1.82,$1.97,$2.14,$2.09,309.18%
102,2019-03-31,$0.65,$1.82,$1.82,$2.07,$1.89,192.31%
116,2019-03-24,$0.89,$1.85,$1.97,$2.14,$1.96,122.47%
128,2019-03-17,$0.85,$2.29,$2.27,$2.07,$1.96,152.65%
141,2019-03-10,$0.69,$2.29,$1.80,$2.19,$1.87,195.29%
153,2019-03-03,$0.96,$1.85,$1.97,$2.29,$1.87,107.81%
166,2019-02-24,$1.08,$1.92,$1.97,$1.99,$1.96,81.48%
179,2019-02-17,$0.85,$1.92,$1.97,$1.99,$1.96,130.59%
192,2019-02-10,$0.63,$2.22,$1.80,$1.99,$1.59,201.59%
204,2019-02-03,$0.56,$2.39,$2.02,$1.99,$1.59,256.70%
217,2019-01-27,$0.38,$2.22,$2.30,$1.99,$1.96,457.24%
229,2019-01-20,$0.50,$2.22,$2.30,$1.99,$1.96,323.50%
241,2019-01-13,$1.07,$2.22,$2.17,$1.99,$2.09,97.90%
254,2019-01-06,$1.01,$2.84,$2.03,$1.99,$1.79,114.11%
268,2018-12-30,$0.76,$2.21,$2.68,$1.99,$1.71,182.57%
282,2018-12-23,$0.69,$2.76,$2.66,$2.24,$1.89,246.01%
297,2018-12-16,$0.71,$3.63,$2.31,$2.24,$1.71,248.24%
312,2018-12-09,$1.20,$3.20,$2.22,$1.92,$2.09,96.46%
327,2018-12-02,$1.44,$2.70,$2.41,$1.99,$2.24,62.15%
340,2018-11-25,$1.54,$3.07,$1.95,$1.99,$1.99,46.10%
353,2018-11-18,$1.18,$1.89,$1.45,$2.20,$1.74,54.24%
367,2018-11-11,$0.97,$1.89,$1.95,$1.99,$2.09,104.12%
