,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
10,2019-05-19,$1.25,$2.34,$2.87,$2.87,$2.94,120.40%
23,2019-05-12,$1.41,$2.47,$2.91,$2.75,$3.11,99.29%
381,2018-11-04,$1.25,$2.46,$2.37,$3.24,$2.86,118.60%
396,2018-10-28,$1.08,$2.56,$2.74,$2.74,$2.74,149.54%
412,2018-10-21,$0.83,$2.46,$2.37,$2.50,$2.74,203.31%
428,2018-10-14,$0.83,$2.42,$2.74,$2.38,$2.74,209.64%
444,2018-10-07,$0.87,$2.69,$2.62,$2.37,$2.62,195.98%
460,2018-09-30,$1.00,$2.13,$2.19,$2.24,$2.62,129.50%
477,2018-09-23,$0.58,$1.99,$2.37,$2.12,$2.29,278.02%
494,2018-09-16,$0.40,$2.29,$2.49,$2.24,$1.91,458.13%
513,2018-09-09,$0.40,$2.09,$2.24,$2.24,$2.16,445.63%
530,2018-09-02,$0.50,$2.32,$1.74,$2.25,$2.74,352.50%
545,2018-08-26,$0.50,$2.44,$1.98,$2.25,$2.87,377.00%
564,2018-08-19,$0.48,$2.19,$2.24,$2.12,$2.37,364.58%
585,2018-08-12,$0.48,$2.25,$2.06,$3.12,$1.86,383.85%
605,2018-08-05,$0.90,$2.39,$1.95,$1.84,$1.59,115.83%
624,2018-07-29,$0.38,$2.17,$2.39,$1.81,$2.62,491.45%
646,2018-07-22,$0.38,$2.39,$2.25,$1.49,$2.49,467.11%
664,2018-07-15,$0.42,$2.64,$2.32,$2.25,$2.49,477.38%
682,2018-07-08,$0.46,$2.25,$1.87,$2.37,$2.74,401.63%
700,2018-07-01,$0.46,$2.29,$1.80,$2.74,$2.74,420.11%
719,2018-06-24,$0.54,$2.19,$2.12,$1.99,$2.37,301.39%
736,2018-06-17,$0.54,$1.94,$1.82,$1.99,$2.99,304.63%
754,2018-06-10,$0.66,$1.79,$2.20,$2.50,$2.99,259.09%
772,2018-06-03,$0.75,$2.23,$2.19,$2.24,$2.74,213.33%
790,2018-05-27,$0.95,$2.62,$2.49,$1.56,$2.62,144.47%
806,2018-05-20,$0.95,$2.22,$2.48,$2.24,$2.74,154.74%
821,2018-05-13,$0.91,$2.37,$1.99,$2.86,$2.99,180.49%
836,2018-05-06,$1.02,$2.49,$2.23,$2.24,$2.41,129.66%
1151,2017-11-12,$0.69,$2.65,$2.86,$3.06,$3.11,323.19%
1166,2017-11-05,$1.33,$2.75,$2.74,$2.69,$2.86,107.52%
1181,2017-10-29,$1.54,$2.65,$2.49,$2.74,$2.74,72.40%
1196,2017-10-22,$1.37,$2.49,$2.12,$2.37,$2.74,77.37%
1227,2017-10-08,$0.76,$2.18,$2.44,$4.13,$2.62,274.01%
1242,2017-10-01,$0.65,$2.24,$2.16,$2.37,$2.62,261.15%
1260,2017-09-24,$0.56,$2.41,$2.29,$2.74,$2.41,339.73%
1277,2017-09-17,$0.58,$2.24,$2.04,$2.43,$2.24,285.78%
1299,2017-09-10,$0.65,$2.24,$1.54,$4.73,$1.87,299.23%
1318,2017-09-03,$0.52,$2.16,$2.12,$2.60,$2.37,344.71%
1337,2017-08-27,$0.44,$2.16,$2.32,$4.98,$2.62,586.36%
1356,2017-08-20,$0.44,$2.16,$2.20,$2.37,$2.62,431.25%
1375,2017-08-13,$0.48,$2.08,$2.44,$2.00,$2.24,356.25%
1394,2017-08-06,$0.52,$1.75,$2.19,$3.11,$2.48,358.17%
1414,2017-07-30,$0.73,$2.08,$2.19,$2.61,$2.99,238.01%
1434,2017-07-23,$0.75,$2.37,$2.44,$2.61,$2.97,246.33%
1454,2017-07-16,$0.70,$2.15,$2.56,$2.99,$3.24,290.71%
1474,2017-07-09,$1.08,$2.24,$2.61,$3.11,$3.21,158.56%
1494,2017-07-02,$1.50,$2.14,$1.99,$2.18,$2.99,55.00%
1514,2017-06-25,$1.50,$2.18,$1.87,$3.11,$3.11,71.17%
1551,2017-06-11,$0.77,$3.29,$2.62,$2.19,$2.74,251.95%
1583,2017-05-28,$0.60,$3.45,$2.06,$2.17,$2.56,326.67%
1599,2017-05-21,$0.70,$3.32,$2.43,$2.69,$2.56,292.86%
1612,2017-05-14,$0.95,$2.07,$1.93,$2.98,$2.81,157.63%
1626,2017-05-07,$1.04,$3.20,$2.65,$2.36,$2.81,164.90%
1930,2016-11-13,$1.25,$4.45,$2.77,$3.61,$3.00,176.60%
1945,2016-11-06,$1.20,$2.64,$2.77,$3.77,$3.00,153.75%
1951,2016-10-30,$1.08,$2.99,$2.72,$2.72,$2.88,161.81%
1975,2016-10-23,$0.95,$2.65,$2.70,$2.68,$2.62,180.26%
1989,2016-10-16,$0.80,$2.32,$2.63,$2.44,$2.75,216.88%
2003,2016-10-09,$0.76,$2.29,$2.81,$2.69,$2.63,242.76%
2017,2016-10-02,$0.72,$2.14,$2.48,$2.09,$2.63,224.31%
2030,2016-09-25,$0.52,$2.14,$2.31,$2.51,$2.42,350.96%
2043,2016-09-18,$0.40,$2.25,$2.17,$1.49,$1.91,388.75%
2056,2016-09-11,$0.44,$1.94,$2.12,$2.49,$2.29,402.27%
2070,2016-09-04,$0.52,$2.06,$2.12,$2.49,$1.65,300.00%
2087,2016-08-28,$0.44,$1.93,$1.49,$2.21,$2.74,375.57%
2102,2016-08-21,$0.38,$1.72,$1.99,$1.59,$1.99,379.61%
2120,2016-08-14,$0.38,$2.31,$2.24,$1.95,$1.99,458.55%
2137,2016-08-07,$0.46,$2.81,$2.24,$2.35,$2.23,423.37%
2156,2016-07-31,$0.46,$2.32,$1.74,$2.49,$2.65,400.00%
2173,2016-07-24,$0.46,$2.29,$2.24,$1.78,$2.29,367.39%
2186,2016-07-17,$0.58,$2.26,$1.99,$2.05,$2.62,284.48%
2201,2016-07-10,$0.67,$2.32,$1.79,$2.30,$2.41,229.10%
2217,2016-07-03,$0.60,$2.49,$2.17,$2.10,$2.47,284.58%
2234,2016-06-26,$0.61,$2.44,$2.49,$2.35,$2.74,310.66%
2249,2016-06-19,$0.75,$2.12,$2.37,$1.97,$2.37,194.33%
2265,2016-06-12,$0.50,$2.32,$2.74,$2.60,$2.62,414.00%
2282,2016-06-05,$0.46,$2.32,$2.22,$1.96,$2.62,395.65%
2297,2016-05-29,$0.52,$2.34,$2.47,$2.03,$2.99,372.60%
2312,2016-05-22,$0.62,$2.54,$2.37,$3.11,$2.87,339.11%
2327,2016-05-15,$0.67,$2.39,$2.37,$2.73,$2.87,286.57%
2341,2016-05-08,$0.96,$2.39,$2.74,$2.11,$2.74,159.90%
2669,2015-11-08,$0.87,$4.49,$3.06,$2.85,$3.31,293.97%
