,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
9,2019-05-19,$0.24,$0.95,$0.95,$0.99,$1.22,328.13%
22,2019-05-12,$0.30,$0.95,$0.96,$0.99,$1.22,243.33%
36,2019-05-05,$0.30,$0.99,$0.95,$0.99,$1.22,245.83%
48,2019-04-28,$0.30,$0.99,$0.96,$0.99,$1.12,238.33%
61,2019-04-21,$0.30,$0.99,$0.95,$0.99,$1.12,237.50%
74,2019-04-14,$0.29,$0.99,$0.95,$0.99,$1.02,240.52%
88,2019-04-07,$0.30,$0.99,$0.96,$0.99,$1.09,235.83%
101,2019-03-31,$0.30,$0.99,$0.96,$0.99,$1.12,238.33%
115,2019-03-24,$0.30,$0.99,$0.95,$0.99,$1.12,237.50%
127,2019-03-17,$0.30,$0.99,$0.96,$0.99,$1.12,238.33%
140,2019-03-10,$0.30,$1.25,$0.95,$0.99,$1.05,253.33%
152,2019-03-03,$0.30,$1.14,$0.96,$0.99,$1.12,250.83%
165,2019-02-24,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
178,2019-02-17,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
191,2019-02-10,$0.30,$1.11,$0.92,$0.99,$1.05,239.17%
203,2019-02-03,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
216,2019-01-27,$0.30,$0.92,$0.92,$0.99,$1.15,231.67%
228,2019-01-20,$0.32,$0.89,$0.92,$0.99,$1.15,208.59%
240,2019-01-13,$0.29,$0.85,$0.92,$0.99,$1.05,228.45%
253,2019-01-06,$0.29,$0.92,$0.99,$0.99,$1.05,240.52%
267,2018-12-30,$0.29,$0.92,$0.92,$0.99,$1.05,234.48%
281,2018-12-23,$0.29,$0.92,$0.85,$0.99,$1.24,244.83%
296,2018-12-16,$0.29,$0.92,$0.95,$0.99,$1.05,237.07%
311,2018-12-09,$0.29,$0.92,$0.92,$0.99,$1.05,234.48%
326,2018-12-02,$0.29,$0.92,$0.92,$0.99,$1.02,231.90%
339,2018-11-25,$0.30,$0.89,$0.94,$0.99,$1.15,230.83%
352,2018-11-18,$0.30,$0.92,$0.92,$0.99,$1.15,231.67%
366,2018-11-11,$0.30,$0.89,$0.92,$0.99,$1.05,220.83%
380,2018-11-04,$0.31,$0.92,$0.92,$0.99,$1.05,212.90%
395,2018-10-28,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
411,2018-10-21,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
427,2018-10-14,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
443,2018-10-07,$0.30,$0.92,$0.85,$1.16,$1.05,231.67%
459,2018-09-30,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
476,2018-09-23,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
493,2018-09-16,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
512,2018-09-09,$0.30,$0.89,$0.85,$0.99,$1.05,215.00%
529,2018-09-02,$0.30,$0.92,$0.85,$0.99,$0.99,212.50%
544,2018-08-26,$0.30,$0.92,$0.85,$0.99,$1.45,250.83%
563,2018-08-19,$0.30,$0.92,$0.85,$0.99,$1.29,237.50%
584,2018-08-12,$0.30,$0.92,$0.85,$0.99,$1.29,237.50%
604,2018-08-05,$0.30,$0.92,$0.85,$0.99,$1.05,217.50%
623,2018-07-29,$0.30,$0.92,$0.92,$0.99,$1.05,223.33%
645,2018-07-22,$0.30,$0.92,$0.85,$0.99,$1.29,237.50%
663,2018-07-15,$0.30,$0.92,$0.92,$0.99,$1.19,235.00%
681,2018-07-08,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
699,2018-07-01,$0.30,$0.92,$0.92,$0.99,$1.29,243.33%
718,2018-06-24,$0.29,$0.92,$0.85,$0.99,$1.05,228.45%
735,2018-06-17,$0.29,$0.99,$0.92,$0.99,$1.15,249.14%
753,2018-06-10,$0.29,$0.92,$0.89,$0.99,$1.39,261.21%
771,2018-06-03,$0.28,$0.92,$0.85,$0.99,$1.15,249.11%
789,2018-05-27,$0.29,$0.92,$0.92,$0.99,$1.02,231.90%
805,2018-05-20,$0.29,$0.92,$0.85,$0.99,$1.15,237.07%
820,2018-05-13,$0.29,$0.92,$0.92,$0.99,$1.02,231.90%
835,2018-05-06,$0.29,$0.92,$0.85,$0.99,$1.09,231.90%
850,2018-04-29,$0.29,$0.92,$0.85,$0.99,$1.09,231.90%
864,2018-04-22,$0.29,$0.92,$0.85,$0.99,$1.35,254.31%
878,2018-04-15,$0.29,$0.99,$0.95,$0.99,$1.29,263.79%
892,2018-04-08,$0.29,$0.92,$0.95,$0.99,$1.15,245.69%
906,2018-04-01,$0.29,$0.92,$0.89,$0.99,$1.12,237.93%
920,2018-03-25,$0.29,$0.92,$0.92,$0.99,$0.94,225.00%
934,2018-03-18,$0.29,$0.92,$0.92,$0.99,$1.15,243.10%
947,2018-03-11,$0.29,$1.22,$0.85,$0.99,$1.05,254.31%
960,2018-02-25,$0.31,$1.22,$0.85,$0.99,$1.05,231.45%
973,2018-02-18,$0.31,$1.22,$0.92,$0.99,$1.05,237.10%
986,2018-02-11,$0.31,$1.22,$0.92,$0.99,$1.05,237.10%
998,2018-02-04,$0.32,$0.92,$0.92,$0.99,$1.22,216.41%
1010,2018-01-28,$0.31,$0.92,$0.92,$0.99,$0.95,204.84%
1023,2018-01-21,$0.31,$0.92,$0.92,$0.99,$1.05,212.90%
1035,2018-01-14,$0.31,$0.92,$0.92,$0.99,$0.89,200.00%
1047,2018-01-07,$0.32,$0.92,$0.92,$0.99,$0.89,190.63%
1060,2017-12-31,$0.31,$0.92,$0.85,$0.99,$1.29,226.61%
1072,2017-12-24,$0.31,$0.92,$0.85,$0.99,$1.12,212.90%
1084,2017-12-17,$0.31,$0.92,$0.95,$0.99,$1.05,215.32%
1097,2017-12-10,$0.31,$0.92,$0.92,$0.99,$1.35,237.10%
1110,2017-12-03,$0.31,$0.92,$0.85,$0.99,$1.15,215.32%
1123,2017-11-26,$0.31,$0.92,$0.82,$0.99,$1.29,224.19%
1136,2017-11-19,$0.31,$0.95,$0.82,$0.99,$1.29,226.61%
1150,2017-11-12,$0.31,$0.95,$0.95,$0.99,$1.09,220.97%
1165,2017-11-05,$0.31,$0.92,$0.82,$0.99,$1.09,208.06%
1180,2017-10-29,$0.31,$0.95,$0.82,$0.99,$1.09,210.48%
1195,2017-10-22,$0.31,$0.95,$0.82,$1.50,$1.09,251.61%
1211,2017-10-15,$0.31,$0.95,$0.82,$0.99,$0.99,202.42%
1226,2017-10-08,$0.31,$0.95,$0.82,$1.69,$1.09,266.94%
1241,2017-10-01,$0.31,$0.95,$0.82,$0.99,$1.07,208.87%
1259,2017-09-24,$0.28,$0.95,$0.82,$0.99,$1.07,241.96%
1276,2017-09-17,$0.27,$0.95,$0.79,$0.99,$1.07,251.85%
1298,2017-09-10,$0.27,$0.94,$0.82,$0.99,$1.07,253.70%
1317,2017-09-03,$0.27,$0.94,$0.82,$0.99,$1.32,276.85%
1336,2017-08-27,$0.27,$0.94,$0.84,$0.99,$1.17,264.81%
1355,2017-08-20,$0.28,$0.94,$0.79,$0.99,$1.17,247.32%
1374,2017-08-13,$0.28,$0.94,$0.82,$0.99,$1.07,241.07%
1393,2017-08-06,$0.27,$0.95,$0.82,$0.99,$1.07,254.63%
1413,2017-07-30,$0.27,$0.95,$0.82,$0.99,$1.32,277.78%
1433,2017-07-23,$0.27,$0.95,$0.82,$0.99,$1.07,254.63%
1453,2017-07-16,$0.27,$0.95,$0.82,$0.99,$1.14,261.11%
1473,2017-07-09,$0.27,$0.95,$0.84,$0.99,$1.07,256.48%
1493,2017-07-02,$0.26,$0.95,$0.82,$0.99,$1.14,275.00%
1513,2017-06-25,$0.26,$0.96,$0.84,$0.99,$1.14,277.88%
1532,2017-06-18,$0.26,$0.95,$0.82,$0.99,$1.32,292.31%
1550,2017-06-11,$0.26,$0.95,$0.82,$0.99,$1.07,268.27%
1567,2017-06-04,$0.27,$0.95,$0.82,$0.99,$1.32,277.78%
1582,2017-05-28,$0.29,$0.95,$0.82,$0.99,$1.07,230.17%
1598,2017-05-21,$0.29,$0.95,$0.82,$0.99,$1.07,230.17%
1611,2017-05-14,$0.29,$0.95,$0.89,$0.99,$1.07,236.21%
1625,2017-05-07,$0.29,$0.95,$0.82,$0.99,$2.17,325.00%
1652,2017-04-23,$0.29,$0.95,$0.89,$0.99,$1.14,242.24%
1665,2017-04-16,$0.29,$0.95,$0.89,$0.99,$1.14,242.24%
1677,2017-04-09,$0.29,$0.95,$0.82,$0.99,$1.13,235.34%
1690,2017-04-02,$0.29,$0.95,$0.82,$0.99,$1.24,244.83%
1703,2017-03-26,$0.29,$1.05,$0.82,$0.99,$1.14,244.83%
1716,2017-03-19,$0.29,$1.05,$0.82,$0.99,$1.14,244.83%
1728,2017-03-12,$0.99,$0.95,$0.82,$0.99,$1.25,1.26%
1739,2017-03-05,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
1749,2017-02-26,$0.29,$0.95,$0.82,$0.99,$1.15,237.07%
1761,2017-02-19,$0.29,$0.95,$0.82,$0.99,$1.25,245.69%
1772,2017-02-12,$0.29,$0.94,$0.82,$0.99,$1.19,239.66%
1783,2017-02-05,$0.29,$0.95,$0.82,$0.99,$1.15,237.07%
1794,2017-01-29,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
1805,2017-01-22,$0.29,$0.95,$0.82,$0.99,$1.09,231.90%
1816,2017-01-15,$0.29,$0.95,$0.82,$0.99,$1.15,237.07%
1827,2017-01-08,$0.29,$0.95,$0.82,$0.99,$1.09,231.90%
1838,2017-01-01,$0.29,$1.03,$0.82,$0.99,$1.15,243.97%
1850,2016-12-25,$0.29,$1.05,$0.86,$0.99,$1.11,245.69%
1863,2016-12-18,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
1877,2016-12-11,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
1889,2016-12-04,$0.29,$0.89,$0.82,$0.99,$1.24,239.66%
1902,2016-11-27,$0.29,$0.95,$0.78,$0.99,$1.14,232.76%
1915,2016-11-20,$0.29,$0.95,$0.78,$0.99,$1.11,230.17%
1929,2016-11-13,$0.29,$1.05,$0.82,$0.99,$1.09,240.52%
1944,2016-11-06,$0.29,$0.92,$0.69,$0.99,$1.09,218.10%
1952,2016-10-30,$0.29,$0.92,$0.69,$1.99,$1.09,304.31%
1974,2016-10-23,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
1988,2016-10-16,$0.29,$0.95,$0.82,$0.99,$1.25,245.69%
2002,2016-10-09,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2016,2016-10-02,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2029,2016-09-25,$0.29,$0.95,$0.82,$0.99,$1.14,236.21%
2042,2016-09-18,$0.29,$0.95,$0.90,$0.99,$1.52,275.86%
2055,2016-09-11,$0.29,$0.95,$0.90,$0.99,$1.07,237.07%
2069,2016-09-04,$0.29,$1.21,$0.90,$0.99,$1.07,259.48%
2086,2016-08-28,$0.29,$0.95,$0.90,$0.99,$1.18,246.55%
2101,2016-08-21,$0.29,$0.95,$0.90,$0.99,$1.18,246.55%
2119,2016-08-14,$0.29,$0.95,$0.90,$0.99,$1.07,237.07%
2136,2016-08-07,$0.30,$0.95,$0.90,$0.99,$1.07,225.83%
2155,2016-07-31,$0.30,$0.95,$0.90,$0.99,$1.14,231.67%
2172,2016-07-24,$0.30,$1.10,$0.87,$0.99,$1.07,235.83%
2185,2016-07-17,$0.30,$0.95,$0.90,$0.99,$1.07,225.83%
2200,2016-07-10,$0.30,$0.95,$0.90,$0.99,$1.07,225.83%
2216,2016-07-03,$0.30,$0.99,$0.90,$0.99,$1.29,247.50%
2233,2016-06-26,$0.31,$0.95,$0.90,$0.99,$1.07,215.32%
2248,2016-06-19,$0.31,$0.95,$0.90,$0.99,$1.07,215.32%
2264,2016-06-12,$0.31,$0.95,$0.90,$0.99,$1.09,216.94%
2281,2016-06-05,$0.29,$0.95,$0.90,$0.99,$1.07,237.07%
2296,2016-05-29,$0.29,$1.17,$0.90,$0.99,$1.07,256.03%
2311,2016-05-22,$0.33,$0.95,$0.90,$0.99,$1.07,196.21%
2326,2016-05-15,$0.33,$1.00,$0.90,$0.99,$1.07,200.00%
2340,2016-05-08,$0.37,$0.84,$1.15,$0.99,$1.07,173.65%
2354,2016-05-01,$0.37,$0.84,$0.90,$0.99,$1.07,156.76%
2367,2016-04-24,$0.37,$0.84,$1.15,$0.99,$1.31,189.86%
2380,2016-04-17,$0.37,$0.97,$0.90,$0.99,$1.32,182.43%
2407,2016-04-03,$0.32,$0.95,$0.90,$0.99,$1.32,225.00%
2421,2016-03-27,$0.31,$0.96,$0.94,$0.99,$1.07,219.35%
2436,2016-03-20,$0.31,$0.78,$0.84,$0.99,$1.07,196.77%
2448,2016-03-13,$0.26,$0.78,$0.84,$0.99,$1.07,253.85%
2458,2016-03-06,$0.31,$0.84,$0.84,$0.99,$1.07,201.61%
2467,2016-02-28,$0.31,$0.84,$0.90,$0.99,$1.09,208.06%
2490,2016-02-21,$0.31,$0.84,$0.90,$0.99,$1.07,206.45%
2500,2016-02-14,$0.31,$1.09,$0.96,$0.90,$0.99,217.74%
2511,2016-02-07,$0.33,$0.96,$0.90,$0.99,$1.07,196.97%
2521,2016-01-31,$0.33,$0.96,$0.91,$0.00,$1.07,122.73%
2532,2016-01-24,$0.31,$0.90,$0.90,$0.99,$1.31,230.65%
2542,2016-01-17,$0.31,$0.96,$1.06,$0.99,$1.14,234.68%
2553,2016-01-10,$0.31,$0.96,$0.90,$0.99,$1.07,216.13%
2575,2016-01-03,$0.31,$0.95,$0.85,$0.99,$1.07,211.29%
2586,2015-12-27,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2596,2015-12-20,$0.31,$0.95,$0.94,$0.99,$1.07,218.55%
2607,2015-12-13,$0.31,$1.01,$0.90,$0.79,$1.07,204.03%
2618,2015-12-06,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2628,2015-11-29,$0.31,$0.88,$0.91,$0.99,$1.07,210.48%
2649,2015-11-22,$0.31,$0.92,$0.90,$0.99,$1.14,218.55%
2661,2015-11-15,$0.31,$1.09,$0.90,$0.99,$1.04,224.19%
2671,2015-11-08,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2681,2015-11-01,$0.31,$1.09,$0.91,$0.99,$1.13,232.26%
2704,2015-10-25,$0.31,$0.94,$0.90,$0.99,$1.07,214.52%
2714,2015-10-18,$0.31,$0.94,$0.90,$0.99,$1.13,219.35%
2736,2015-10-11,$0.31,$0.94,$0.90,$0.99,$1.13,219.35%
2744,2015-10-04,$0.31,$0.94,$0.87,$0.99,$1.13,216.94%
2757,2015-09-27,$0.30,$0.94,$0.90,$0.99,$1.13,230.00%
2777,2015-09-20,$0.30,$0.94,$0.90,$0.99,$1.13,230.00%
2783,2015-09-13,$0.30,$0.94,$0.90,$0.99,$1.13,230.00%
2806,2015-09-06,$0.30,$0.94,$0.90,$0.99,$1.22,237.50%
2828,2015-08-30,$0.30,$0.94,$0.90,$0.99,$1.22,237.50%
