,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
8,2019-05-19,$1.22,$3.24,$4.35,$4.03,$2.97,198.98%
21,2019-05-12,$2.74,$3.24,$4.35,$3.98,$3.48,37.32%
35,2019-05-05,$3.33,$3.41,$4.36,$4.03,$3.23,12.84%
47,2019-04-28,$3.23,$3.41,$3.43,$3.88,$3.35,8.90%
60,2019-04-21,$1.96,$2.91,$3.23,$4.08,$3.35,73.09%
73,2019-04-14,$1.18,$3.44,$2.70,$4.18,$3.10,184.32%
87,2019-04-07,$1.06,$3.41,$3.36,$4.18,$3.36,237.50%
100,2019-03-31,$0.99,$3.41,$3.36,$3.93,$3.15,249.75%
114,2019-03-24,$0.99,$3.41,$3.68,$4.08,$3.61,273.23%
126,2019-03-17,$1.98,$3.27,$2.81,$3.93,$3.61,71.97%
139,2019-03-10,$1.50,$3.27,$3.61,$4.08,$3.48,140.67%
151,2019-03-03,$2.45,$3.27,$3.71,$4.28,$3.48,50.41%
164,2019-02-24,$3.38,$2.87,$3.71,$3.78,$3.48,2.37%
177,2019-02-17,$3.04,$2.87,$3.09,$3.78,$2.86,3.62%
190,2019-02-10,$2.27,$2.62,$3.46,$3.78,$2.99,41.52%
202,2019-02-03,$1.39,$2.71,$3.46,$3.78,$3.11,134.89%
215,2019-01-27,$0.75,$2.77,$3.86,$3.78,$3.24,355.00%
227,2019-01-20,$0.96,$2.77,$3.86,$3.78,$3.24,255.47%
239,2019-01-13,$2.11,$2.92,$3.86,$3.73,$3.24,62.91%
252,2019-01-06,$2.10,$2.77,$3.31,$3.73,$2.74,49.40%
266,2018-12-30,$1.00,$3.11,$2.61,$3.43,$2.99,203.50%
280,2018-12-23,$0.61,$2.91,$3.31,$3.68,$2.48,407.38%
295,2018-12-16,$0.64,$2.51,$3.56,$3.68,$3.11,402.34%
310,2018-12-09,$1.19,$2.74,$3.56,$3.68,$3.74,188.24%
325,2018-12-02,$2.16,$3.64,$3.38,$3.83,$3.74,68.87%
338,2018-11-25,$3.23,$3.64,$3.39,$3.83,$3.99,14.94%
351,2018-11-18,$2.90,$2.44,$1.61,$3.68,$3.32,-4.74%
365,2018-11-11,$2.47,$2.46,$2.38,$3.83,$2.74,15.49%
379,2018-11-04,$1.21,$2.41,$3.38,$3.83,$3.11,163.02%
394,2018-10-28,$0.83,$2.41,$2.25,$3.53,$3.24,244.28%
410,2018-10-21,$0.74,$2.49,$3.38,$3.68,$2.24,298.31%
426,2018-10-14,$1.04,$2.41,$2.39,$3.53,$3.24,178.13%
442,2018-10-07,$1.11,$2.34,$3.38,$3.18,$3.36,176.13%
458,2018-09-30,$0.75,$2.66,$3.26,$3.38,$2.61,297.00%
475,2018-09-23,$0.60,$2.71,$3.26,$3.38,$2.61,398.33%
492,2018-09-16,$0.63,$2.71,$2.85,$3.38,$2.49,353.57%
511,2018-09-09,$0.77,$2.58,$2.48,$3.38,$2.99,271.10%
528,2018-09-02,$1.35,$2.54,$3.26,$3.18,$2.61,114.63%
543,2018-08-26,$1.09,$2.54,$3.13,$3.53,$2.48,167.89%
562,2018-08-19,$0.79,$2.66,$3.29,$3.38,$2.99,289.87%
583,2018-08-12,$0.70,$2.54,$3.13,$3.53,$2.82,329.29%
603,2018-08-05,$0.67,$2.54,$3.01,$3.03,$2.86,326.87%
622,2018-07-29,$0.65,$2.33,$3.33,$3.38,$2.86,357.69%
628,2018-07-25,$0.64,$2.34,$3.26,$3.48,$2.82,364.84%
644,2018-07-22,$0.66,$2.59,$3.26,$3.48,$2.86,361.74%
680,2018-07-08,$0.60,$2.52,$3.38,$3.48,$3.11,420.42%
