,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
7,2019-05-19,$2.83,$1.89,$2.36,$2.52,$2.49,-18.20%
20,2019-05-12,$2.84,$1.65,$2.36,$2.52,$2.24,-22.80%
34,2019-05-05,$2.46,$1.82,$2.06,$2.52,$2.24,-12.20%
46,2019-04-28,$2.63,$1.82,$2.36,$2.59,$2.24,-14.35%
59,2019-04-21,$2.98,$1.82,$2.54,$2.52,$2.24,-23.49%
72,2019-04-14,$2.98,$1.82,$2.36,$2.52,$2.24,-25.00%
86,2019-04-07,$2.90,$1.52,$2.34,$2.52,$2.83,-20.60%
99,2019-03-31,$2.73,$1.84,$2.39,$2.47,$2.37,-16.94%
113,2019-03-24,$2.73,$1.75,$2.39,$2.47,$2.24,-18.96%
125,2019-03-17,$2.70,$1.57,$2.01,$2.24,$2.24,-25.37%
138,2019-03-10,$2.22,$1.75,$1.94,$2.14,$2.49,-6.31%
150,2019-03-03,$1.78,$1.52,$2.11,$1.99,$2.24,10.39%
163,2019-02-24,$1.70,$1.72,$2.09,$1.99,$2.24,18.24%
176,2019-02-17,$1.71,$1.72,$1.82,$1.99,$2.19,12.87%
189,2019-02-10,$1.72,$1.62,$1.79,$1.99,$2.07,8.58%
201,2019-02-03,$1.64,$1.62,$1.89,$1.99,$1.94,13.41%
214,2019-01-27,$1.39,$1.62,$2.01,$1.99,$1.94,35.97%
226,2019-01-20,$1.42,$1.62,$2.01,$1.99,$2.07,35.39%
238,2019-01-13,$1.31,$1.45,$2.01,$1.99,$1.82,38.74%
251,2019-01-06,$0.98,$1.44,$1.89,$1.99,$1.82,82.14%
265,2018-12-30,$0.78,$1.31,$2.14,$1.99,$1.94,136.54%
279,2018-12-23,$0.83,$1.31,$1.74,$1.99,$1.82,106.63%
294,2018-12-16,$0.93,$1.51,$1.58,$1.99,$1.44,75.27%
309,2018-12-09,$1.17,$1.59,$1.54,$1.99,$1.94,50.85%
324,2018-12-02,$1.10,$1.35,$2.01,$1.99,$1.71,60.45%
337,2018-11-25,$0.79,$1.64,$1.83,$1.74,$1.46,111.08%
350,2018-11-18,$0.73,$1.64,$1.68,$1.49,$1.35,110.96%
364,2018-11-11,$0.77,$1.64,$1.33,$1.74,$1.62,105.52%
378,2018-11-04,$0.70,$1.76,$1.91,$1.99,$1.49,155.36%
393,2018-10-28,$0.61,$1.76,$1.91,$1.99,$1.49,193.03%
409,2018-10-21,$0.49,$1.35,$1.79,$1.99,$1.62,244.39%
425,2018-10-14,$0.36,$1.64,$1.91,$1.99,$1.62,397.22%
441,2018-10-07,$0.32,$1.39,$1.79,$1.99,$1.57,426.56%
457,2018-09-30,$0.32,$1.59,$1.89,$1.99,$1.69,459.38%
474,2018-09-23,$0.32,$1.64,$1.96,$1.99,$1.69,468.75%
491,2018-09-16,$0.35,$1.64,$1.89,$1.99,$1.69,415.00%
510,2018-09-09,$0.38,$1.64,$1.69,$1.99,$1.69,361.18%
527,2018-09-02,$0.40,$1.64,$1.49,$1.99,$1.69,325.63%
542,2018-08-26,$0.33,$1.51,$1.64,$1.99,$1.65,414.39%
561,2018-08-19,$0.30,$1.64,$1.47,$1.99,$1.69,465.83%
582,2018-08-12,$0.31,$1.64,$1.64,$1.99,$1.65,458.06%
602,2018-08-05,$0.31,$1.64,$1.34,$1.99,$1.62,431.45%
621,2018-07-29,$0.32,$1.64,$1.89,$1.99,$1.62,457.81%
643,2018-07-22,$0.35,$1.64,$1.74,$1.99,$1.54,393.57%
662,2018-07-15,$0.48,$1.64,$1.89,$1.99,$1.62,271.88%
679,2018-07-08,$0.52,$1.51,$1.89,$1.99,$1.62,237.02%
697,2018-07-01,$0.53,$1.64,$1.89,$1.99,$1.62,236.79%
716,2018-06-24,$0.46,$1.35,$1.76,$1.99,$1.62,265.22%
733,2018-06-17,$0.31,$1.64,$1.89,$1.99,$1.69,481.45%
751,2018-06-10,$0.31,$1.35,$1.89,$1.99,$1.69,458.06%
769,2018-06-03,$0.33,$1.64,$1.86,$1.94,$1.62,434.85%
787,2018-05-27,$0.32,$1.35,$1.60,$1.94,$1.93,432.81%
803,2018-05-20,$0.32,$1.64,$1.86,$1.99,$1.62,455.47%
818,2018-05-13,$0.32,$1.35,$1.85,$1.94,$1.86,446.88%
833,2018-05-06,$0.39,$1.35,$1.89,$1.94,$1.53,330.13%
848,2018-04-29,$0.34,$1.35,$1.86,$1.94,$1.41,382.35%
862,2018-04-22,$0.32,$1.35,$1.89,$1.99,$1.36,414.84%
876,2018-04-15,$0.37,$1.35,$1.99,$1.94,$1.61,365.54%
890,2018-04-08,$0.37,$1.35,$1.89,$1.94,$1.69,364.19%
904,2018-04-01,$0.41,$1.35,$1.36,$1.94,$1.44,271.34%
918,2018-03-25,$0.48,$1.35,$1.91,$1.94,$1.49,248.44%
932,2018-03-18,$0.42,$1.35,$1.91,$1.94,$1.74,313.10%
945,2018-03-11,$0.35,$1.37,$1.89,$1.94,$1.62,387.14%
958,2018-02-25,$0.32,$1.37,$1.69,$1.94,$1.62,417.19%
971,2018-02-18,$0.30,$1.19,$1.69,$1.84,$1.62,428.33%
984,2018-02-11,$0.32,$1.37,$1.57,$1.94,$1.62,407.81%
996,2018-02-04,$0.33,$1.37,$1.49,$1.84,$1.64,380.30%
1008,2018-01-28,$0.33,$1.37,$1.56,$1.99,$1.99,423.48%
1021,2018-01-21,$0.32,$1.75,$1.57,$1.94,$1.67,441.41%
