,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
264,2018-12-30,$1.00,$2.66,$2.46,$2.87,$2.71,167.50%
278,2018-12-23,$1.00,$2.59,$2.34,$2.37,$2.59,147.25%
293,2018-12-16,$1.00,$2.49,$2.34,$2.12,$2.24,129.75%
308,2018-12-09,$0.89,$2.49,$1.96,$0.98,$1.96,107.58%
323,2018-12-02,$0.89,$2.34,$1.64,$2.37,$1.91,132.02%
336,2018-11-25,$0.89,$1.88,$1.96,$1.99,$2.21,125.84%
349,2018-11-18,$0.81,$2.13,$1.61,$1.99,$1.96,137.35%
363,2018-11-11,$0.81,$2.10,$1.88,$1.99,$1.96,144.75%
377,2018-11-04,$0.81,$1.96,$1.64,$1.99,$2.49,149.38%
392,2018-10-28,$0.89,$2.01,$2.32,$1.74,$2.49,140.45%
408,2018-10-21,$0.89,$2.23,$1.95,$1.99,$1.99,129.21%
424,2018-10-14,$0.89,$1.63,$2.14,$0.98,$1.66,80.06%
440,2018-10-07,$0.89,$2.38,$1.51,$2.24,$2.66,146.91%
456,2018-09-30,$0.89,$2.16,$1.68,$1.74,$2.16,117.42%
473,2018-09-23,$0.89,$2.00,$2.16,$1.48,$2.66,133.15%
490,2018-09-16,$0.97,$2.01,$1.98,$2.24,$2.16,116.24%
509,2018-09-09,$0.97,$2.26,$1.96,$2.24,$2.16,122.16%
526,2018-09-02,$0.97,$2.21,$2.21,$0.90,$2.16,92.78%
541,2018-08-26,$0.97,$2.15,$2.27,$1.99,$2.16,120.88%
560,2018-08-19,$0.84,$2.13,$1.99,$1.71,$1.82,127.68%
581,2018-08-12,$0.89,$1.74,$2.16,$1.99,$2.16,126.12%
601,2018-08-05,$0.94,$2.28,$2.36,$1.74,$1.99,122.61%
620,2018-07-29,$0.87,$2.11,$2.03,$0.95,$2.66,122.70%
627,2018-07-25,$1.05,$2.32,$2.16,$2.74,$3.09,145.48%
642,2018-07-22,$1.01,$2.53,$2.69,$2.24,$3.09,161.14%
715,2018-06-24,$1.44,$2.71,$3.49,$2.99,$3.21,115.28%
732,2018-06-17,$1.66,$2.45,$2.82,$2.49,$2.74,58.13%
750,2018-06-10,$1.66,$2.23,$2.91,$1.66,$2.86,45.48%
768,2018-06-03,$1.50,$2.28,$2.69,$1.87,$2.24,51.33%
786,2018-05-27,$1.33,$2.57,$2.46,$1.99,$2.44,77.82%
802,2018-05-20,$1.39,$2.31,$2.21,$2.62,$2.81,78.96%
1069,2017-12-24,$1.26,$2.90,$2.79,$2.87,$2.61,121.63%
1094,2017-12-10,$1.21,$2.90,$1.86,$2.74,$2.81,113.02%
1107,2017-12-03,$1.21,$2.68,$2.49,$2.12,$2.69,106.20%
1120,2017-11-26,$1.21,$2.23,$2.36,$2.87,$2.36,102.89%
1133,2017-11-19,$1.10,$2.11,$2.19,$2.74,$2.36,113.64%
1147,2017-11-12,$1.10,$1.94,$1.99,$2.49,$1.99,91.14%
1162,2017-11-05,$1.08,$2.06,$2.49,$2.49,$2.11,111.81%
1177,2017-10-29,$1.05,$1.86,$1.91,$2.24,$1.99,90.48%
1192,2017-10-22,$1.02,$2.12,$2.19,$1.99,$2.11,106.13%
1208,2017-10-15,$1.00,$2.24,$1.88,$1.71,$2.36,104.75%
