,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
6,2019-05-19,$0.31,$1.72,$1.70,$1.69,$1.71,450.00%
19,2019-05-12,$0.35,$1.72,$1.70,$1.69,$1.71,387.14%
33,2019-05-05,$0.34,$1.84,$1.71,$1.69,$1.85,421.32%
45,2019-04-28,$0.35,$1.84,$1.70,$1.84,$2.07,432.14%
58,2019-04-21,$0.43,$1.84,$1.77,$1.84,$2.07,337.21%
71,2019-04-14,$0.43,$2.59,$1.82,$1.92,$1.80,372.67%
85,2019-04-07,$0.39,$2.32,$1.93,$1.99,$1.81,416.03%
98,2019-03-31,$0.34,$2.59,$1.80,$1.99,$1.95,512.50%
112,2019-03-24,$0.34,$2.29,$1.93,$1.99,$1.92,497.79%
124,2019-03-17,$0.38,$2.59,$1.78,$1.99,$1.98,448.68%
137,2019-03-10,$0.48,$2.32,$1.93,$1.74,$1.98,315.10%
149,2019-03-03,$0.65,$2.32,$1.78,$1.74,$1.95,199.62%
162,2019-02-24,$0.82,$2.32,$1.93,$1.74,$1.87,139.63%
175,2019-02-17,$0.65,$2.32,$1.93,$1.74,$1.98,206.54%
188,2019-02-10,$0.42,$2.32,$1.90,$1.74,$1.91,368.45%
200,2019-02-03,$0.38,$2.32,$1.90,$1.74,$1.95,420.39%
213,2019-01-27,$0.41,$2.32,$1.75,$1.74,$1.92,371.34%
225,2019-01-20,$0.51,$2.32,$1.75,$1.74,$1.92,278.92%
231,2019-01-13,$0.66,$2.32,$1.85,$1.74,$1.95,197.73%
250,2019-01-06,$0.64,$2.59,$1.84,$1.74,$1.95,217.19%
263,2018-12-30,$0.61,$2.22,$1.84,$1.74,$1.95,217.62%
277,2018-12-23,$0.64,$2.59,$1.92,$1.67,$2.36,233.59%
292,2018-12-16,$0.90,$2.15,$1.92,$1.74,$2.36,126.94%
307,2018-12-09,$2.03,$2.09,$1.72,$1.74,$2.33,-2.96%
322,2018-12-02,$2.04,$2.49,$1.72,$1.92,$1.91,-1.47%
329,2018-11-28,$0.68,$1.74,$1.68,$1.42,$1.81,144.49%
335,2018-11-25,$1.84,$1.99,$1.75,$1.42,$1.91,-3.94%
362,2018-11-11,$0.69,$1.59,$1.76,$1.42,$1.82,138.77%
376,2018-11-04,$0.66,$1.59,$1.63,$1.42,$1.67,139.02%
391,2018-10-28,$0.55,$1.59,$1.57,$1.42,$1.67,184.09%
407,2018-10-21,$0.45,$1.74,$1.71,$1.42,$1.50,253.89%
423,2018-10-14,$0.43,$1.59,$1.63,$1.42,$1.52,258.14%
439,2018-10-07,$0.58,$1.59,$1.71,$1.32,$1.44,161.21%
455,2018-09-30,$0.67,$1.59,$1.63,$1.42,$1.47,127.99%
472,2018-09-23,$0.56,$1.59,$1.71,$1.42,$1.47,176.34%
489,2018-09-16,$0.37,$1.59,$1.63,$1.42,$1.47,312.84%
508,2018-09-09,$0.35,$1.69,$1.71,$1.42,$1.47,349.29%
525,2018-09-02,$0.35,$1.36,$1.63,$1.42,$1.47,320.00%
540,2018-08-26,$0.34,$1.69,$1.57,$1.42,$1.47,352.21%
559,2018-08-19,$0.35,$1.69,$1.78,$1.42,$1.47,354.29%
580,2018-08-12,$0.34,$1.69,$1.63,$1.42,$1.47,356.62%
600,2018-08-05,$0.30,$1.69,$1.48,$1.42,$1.47,405.00%
619,2018-07-29,$0.30,$1.69,$1.59,$1.42,$1.64,428.33%
641,2018-07-22,$0.32,$1.69,$1.71,$1.42,$1.47,391.41%
661,2018-07-15,$0.34,$1.69,$1.59,$1.34,$1.47,347.79%
678,2018-07-08,$0.33,$1.69,$1.71,$1.42,$1.64,389.39%
696,2018-07-01,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
714,2018-06-24,$0.29,$1.62,$1.71,$1.42,$1.64,450.86%
731,2018-06-17,$0.30,$1.62,$1.63,$1.42,$1.51,415.00%
749,2018-06-10,$0.30,$1.62,$1.71,$1.42,$1.64,432.50%
767,2018-06-03,$0.31,$1.62,$1.63,$1.42,$1.51,398.39%
785,2018-05-27,$0.35,$1.62,$1.61,$1.32,$1.65,342.86%
801,2018-05-20,$0.38,$1.62,$1.71,$1.42,$1.80,330.92%
817,2018-05-13,$0.53,$1.62,$1.61,$1.32,$1.65,192.45%
832,2018-05-06,$0.77,$1.62,$1.83,$1.32,$1.80,113.31%
847,2018-04-29,$0.76,$1.62,$1.63,$1.42,$1.65,107.89%
861,2018-04-22,$0.72,$1.62,$1.71,$1.44,$1.64,122.57%
875,2018-04-15,$0.64,$1.42,$1.63,$1.42,$1.61,137.50%
889,2018-04-08,$0.60,$1.42,$1.71,$1.47,$1.64,160.00%
903,2018-04-01,$0.44,$1.42,$1.63,$1.47,$1.76,256.82%
917,2018-03-25,$0.50,$1.42,$1.76,$1.47,$1.74,219.50%
931,2018-03-18,$0.53,$1.32,$1.63,$1.57,$1.79,197.64%
944,2018-03-11,$0.66,$1.42,$1.82,$1.52,$1.77,147.35%
957,2018-02-25,$0.56,$1.42,$1.71,$1.47,$1.57,175.45%
970,2018-02-18,$0.37,$1.42,$1.61,$1.47,$1.57,310.14%
983,2018-02-11,$0.30,$1.42,$1.68,$1.47,$1.57,411.67%
995,2018-02-04,$0.30,$1.42,$1.61,$1.47,$1.62,410.00%
1007,2018-01-28,$0.29,$1.42,$1.65,$1.42,$1.57,422.41%
1020,2018-01-21,$0.29,$1.42,$1.73,$1.34,$1.64,428.45%
1032,2018-01-14,$0.30,$1.32,$1.65,$1.42,$1.57,396.67%
1044,2018-01-07,$0.35,$1.32,$1.73,$1.42,$1.57,331.43%
1057,2017-12-31,$0.34,$1.42,$1.88,$1.42,$1.55,361.03%
1064,2017-12-24,$0.33,$1.52,$1.92,$1.42,$1.72,398.48%
1081,2017-12-17,$1.26,$2.77,$2.41,$2.99,$2.16,104.96%
1093,2017-12-10,$0.34,$1.52,$1.92,$1.42,$1.62,376.47%
1106,2017-12-03,$0.32,$1.49,$1.87,$1.42,$1.54,393.75%
1119,2017-11-26,$0.30,$1.52,$1.68,$1.42,$1.62,420.00%
1132,2017-11-19,$0.31,$1.52,$1.75,$1.42,$1.62,408.87%
1146,2017-11-12,$0.35,$1.52,$1.69,$1.42,$1.64,347.86%
1161,2017-11-05,$0.36,$1.52,$1.61,$1.42,$1.70,334.03%
1176,2017-10-29,$0.37,$1.52,$1.69,$1.32,$1.64,316.89%
1191,2017-10-22,$0.36,$1.52,$1.75,$1.42,$1.70,343.75%
1207,2017-10-15,$0.41,$1.52,$1.75,$1.32,$1.64,279.88%
1222,2017-10-08,$0.43,$1.52,$1.61,$1.32,$1.75,260.47%
1237,2017-10-01,$0.40,$1.52,$1.69,$1.32,$1.67,287.50%
1255,2017-09-24,$0.36,$1.52,$1.75,$1.47,$1.72,348.61%
1273,2017-09-17,$0.32,$1.52,$1.62,$1.47,$1.52,378.91%
1294,2017-09-10,$0.38,$1.52,$1.58,$1.52,$1.72,317.11%
1313,2017-09-03,$0.41,$1.52,$1.67,$1.47,$1.52,276.83%
1332,2017-08-27,$0.31,$1.42,$1.23,$1.39,$1.72,364.52%
1351,2017-08-20,$0.29,$1.42,$1.58,$1.39,$1.64,419.83%
1370,2017-08-13,$0.29,$1.42,$1.67,$1.47,$1.76,444.83%
1380,2017-08-06,$0.29,$1.55,$1.58,$1.39,$1.95,457.76%
1409,2017-07-30,$0.29,$1.75,$1.67,$1.39,$1.93,481.03%
