,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
348,2018-11-18,$1.66,$3.61,$3.95,$3.85,$4.61,141.27%
361,2018-11-11,$1.46,$4.49,$3.95,$3.85,$4.61,189.38%
375,2018-11-04,$1.33,$4.49,$4.09,$3.85,$1.67,165.04%
390,2018-10-28,$1.33,$3.27,$3.52,$3.66,$4.36,178.38%
406,2018-10-21,$1.62,$3.44,$4.09,$3.85,$4.61,146.76%
422,2018-10-14,$1.83,$3.27,$3.42,$3.66,$4.61,104.37%
438,2018-10-07,$1.75,$2.92,$4.09,$3.77,$4.11,112.71%
454,2018-09-30,$1.50,$3.61,$3.75,$3.66,$3.74,146.00%
471,2018-09-23,$0.96,$3.44,$3.75,$3.66,$3.74,279.95%
488,2018-09-16,$0.79,$3.61,$3.26,$3.66,$4.99,391.14%
507,2018-09-09,$0.96,$3.27,$3.26,$3.66,$4.61,285.42%
524,2018-09-02,$1.00,$3.49,$3.07,$3.48,$3.74,244.50%
539,2018-08-26,$1.00,$3.42,$3.81,$3.66,$3.82,267.75%
558,2018-08-19,$1.00,$3.61,$3.31,$3.66,$3.49,251.75%
579,2018-08-12,$1.00,$3.42,$3.31,$3.60,$3.36,242.25%
599,2018-08-05,$0.79,$3.61,$3.31,$3.85,$3.49,351.27%
618,2018-07-29,$0.58,$3.61,$3.56,$3.60,$3.86,530.60%
640,2018-07-22,$0.67,$3.61,$3.21,$3.85,$4.61,470.15%
660,2018-07-15,$0.83,$3.94,$3.21,$3.85,$4.36,362.65%
677,2018-07-08,$0.83,$3.94,$2.62,$3.85,$4.61,352.41%
695,2018-07-01,$1.08,$3.61,$2.82,$3.66,$4.61,240.28%
713,2018-06-24,$1.58,$3.61,$3.39,$2.98,$5.32,142.09%
730,2018-06-17,$1.83,$3.92,$3.39,$3.29,$4.61,107.79%
748,2018-06-10,$1.83,$3.94,$3.39,$3.41,$4.61,109.70%
766,2018-06-03,$1.66,$3.94,$2.69,$3.35,$4.36,115.96%
784,2018-05-27,$1.66,$3.61,$3.16,$3.16,$4.11,111.45%
800,2018-05-20,$1.66,$2.67,$3.14,$3.66,$4.36,108.28%
816,2018-05-13,$1.29,$3.61,$3.16,$3.66,$4.11,181.78%
1145,2017-11-12,$1.25,$3.94,$3.99,$3.60,$4.36,217.80%
1160,2017-11-05,$1.58,$4.49,$3.65,$4.01,$4.36,161.23%
1175,2017-10-29,$1.91,$3.92,$2.99,$4.01,$4.36,100.00%
1190,2017-10-22,$1.99,$3.99,$3.42,$3.32,$4.36,89.57%
1206,2017-10-15,$1.75,$3.24,$3.82,$3.48,$4.36,112.86%
1221,2017-10-08,$1.47,$3.74,$3.65,$3.73,$4.24,161.22%
1236,2017-10-01,$1.33,$3.24,$3.65,$3.48,$3.99,169.92%
1254,2017-09-24,$1.38,$2.99,$3.42,$3.26,$3.74,142.93%
1272,2017-09-17,$1.13,$3.24,$3.65,$2.98,$2.99,184.51%
1293,2017-09-10,$0.88,$3.49,$3.24,$3.48,$3.49,289.20%
1312,2017-09-03,$0.83,$3.17,$2.99,$2.98,$3.66,285.54%
1331,2017-08-27,$0.88,$2.92,$2.99,$3.60,$4.99,311.93%
1350,2017-08-20,$0.79,$2.92,$2.86,$3.48,$4.99,350.95%
1369,2017-08-13,$0.96,$3.42,$2.99,$3.48,$3.24,241.93%
1389,2017-08-06,$0.96,$3.17,$2.99,$3.85,$3.87,261.46%
1408,2017-07-30,$1.08,$4.27,$3.24,$3.85,$4.49,266.90%
1428,2017-07-23,$1.17,$3.74,$3.24,$3.85,$5.24,243.38%
1449,2017-07-16,$1.58,$3.61,$3.49,$4.82,$4.99,167.56%
1469,2017-07-09,$2.58,$3.92,$2.99,$4.35,$5.99,67.15%
1489,2017-07-02,$2.83,$3.92,$2.87,$4.35,$5.99,51.33%
1509,2017-06-25,$2.66,$4.27,$2.87,$3.85,$4.99,50.19%
1528,2017-06-18,$2.16,$3.92,$3.24,$3.85,$4.49,79.40%
1546,2017-06-11,$1.83,$3.92,$3.49,$3.85,$4.49,115.16%
1564,2017-06-04,$1.58,$3.94,$3.37,$3.60,$4.24,139.72%
1578,2017-05-28,$1.50,$3.27,$3.38,$3.56,$3.74,132.50%
1594,2017-05-21,$1.00,$3.61,$3.38,$3.85,$3.74,264.50%
1925,2016-11-13,$1.58,$3.74,$3.65,$3.56,$3.99,136.39%
1939,2016-11-06,$1.58,$3.49,$3.59,$3.66,$3.99,133.07%
1957,2016-10-30,$1.58,$3.87,$3.65,$3.66,$3.99,140.03%
1969,2016-10-23,$1.38,$3.87,$3.65,$3.66,$3.99,174.82%
1983,2016-10-16,$1.50,$3.87,$3.65,$3.66,$3.99,152.83%
1997,2016-10-09,$1.42,$3.87,$3.65,$3.66,$3.99,167.08%
2011,2016-10-02,$1.33,$3.37,$3.24,$3.41,$1.60,118.42%
2024,2016-09-25,$0.83,$3.37,$3.24,$3.16,$3.49,299.40%
2037,2016-09-18,$0.67,$3.99,$2.87,$3.41,$3.49,413.43%
2050,2016-09-11,$0.71,$3.12,$3.24,$3.10,$3.74,364.79%
2064,2016-09-04,$0.79,$3.89,$3.24,$3.56,$3.24,340.82%
2081,2016-08-28,$0.72,$3.12,$2.74,$2.91,$3.24,317.01%
2097,2016-08-21,$0.79,$3.12,$2.49,$2.91,$3.74,287.97%
2115,2016-08-14,$0.71,$3.12,$2.74,$2.79,$3.24,318.66%
2132,2016-08-07,$0.88,$2.74,$3.24,$3.35,$3.36,260.51%
2150,2016-07-31,$0.88,$3.37,$2.62,$3.41,$3.99,280.40%
2167,2016-07-24,$1.04,$2.92,$2.99,$2.95,$3.99,208.89%
2183,2016-07-17,$1.21,$3.67,$3.12,$3.85,$3.99,202.27%
2195,2016-07-10,$1.29,$3.74,$3.37,$3.56,$4.32,190.50%
2212,2016-07-03,$1.13,$3.99,$3.37,$3.66,$3.99,232.08%
2229,2016-06-26,$1.19,$3.99,$2.74,$3.57,$3.65,193.07%
2244,2016-06-19,$1.04,$3.99,$2.99,$3.57,$3.65,241.35%
2259,2016-06-12,$1.00,$2.98,$3.12,$3.20,$3.74,226.00%
2276,2016-06-05,$1.08,$4.99,$3.04,$3.41,$3.99,257.18%
2291,2016-05-29,$1.17,$3.99,$3.17,$3.78,$3.99,219.02%
2306,2016-05-22,$1.37,$3.49,$3.24,$4.10,$4.99,188.69%
2321,2016-05-15,$1.50,$3.99,$3.33,$4.10,$3.74,152.67%
2677,2015-11-08,$1.42,$4.49,$3.65,$3.97,$4.74,196.65%
2686,2015-11-01,$1.54,$4.49,$3.65,$3.97,$4.74,173.54%
2695,2015-10-25,$1.54,$4.49,$3.65,$3.97,$4.74,173.54%
2720,2015-10-18,$1.42,$4.49,$3.22,$3.96,$4.49,184.51%
2727,2015-10-11,$1.42,$3.99,$3.74,$3.97,$4.99,193.84%
2737,2015-10-04,$1.44,$3.24,$3.74,$3.50,$4.99,168.58%
2762,2015-09-27,$1.42,$3.24,$3.74,$3.59,$4.49,165.14%
2768,2015-09-20,$1.17,$3.16,$3.86,$3.59,$4.49,222.65%
2792,2015-09-13,$0.92,$3.56,$3.86,$3.50,$4.74,325.54%
2816,2015-09-06,$0.96,$3.36,$3.86,$3.16,$5.24,306.77%
2838,2015-08-30,$1.13,$3.36,$3.61,$2.66,$5.49,234.51%
2850,2015-08-23,$1.13,$3.11,$3.86,$3.21,$5.49,246.68%
2862,2015-08-16,$1.42,$3.15,$3.49,$3.41,$4.74,160.39%
2885,2015-08-09,$1.46,$3.49,$3.24,$3.31,$5.24,161.64%
2908,2015-08-02,$1.54,$3.36,$3.24,$3.59,$5.24,150.49%
2932,2015-07-19,$1.46,$3.19,$3.36,$3.69,$5.24,165.07%
2938,2015-07-12,$1.46,$3.10,$3.53,$3.69,$4.99,162.16%
2959,2015-07-05,$1.58,$3.19,$3.49,$3.69,$5.24,146.99%
2983,2015-06-28,$1.63,$3.05,$3.65,$3.41,$5.49,139.26%
3007,2015-06-21,$1.49,$3.39,$3.32,$3.69,$4.99,158.22%
3030,2015-06-14,$1.46,$3.52,$3.30,$3.94,$4.99,169.69%
3035,2015-06-07,$1.17,$3.52,$3.39,$3.31,$4.99,225.00%
3059,2015-05-31,$0.88,$3.35,$3.61,$3.94,$4.99,351.42%
3068,2015-05-24,$1.08,$3.49,$3.61,$3.94,$5.24,276.85%
3441,2014-11-09,$1.99,$4.32,$3.99,$3.62,$5.74,121.98%
3452,2014-11-02,$1.46,$4.49,$4.49,$3.53,$5.74,212.50%
3476,2014-10-26,$1.63,$3.99,$4.49,$3.50,$5.74,171.78%
3486,2014-10-19,$1.71,$3.99,$4.49,$3.78,$5.74,163.16%
3496,2014-10-12,$1.50,$3.65,$3.99,$3.78,$5.74,186.00%
3507,2014-10-05,$1.38,$3.65,$3.99,$3.59,$5.74,207.43%
3518,2014-09-28,$1.17,$3.32,$3.99,$3.59,$5.74,255.56%
3537,2014-09-21,$1.04,$3.32,$3.61,$3.41,$5.99,292.55%
3563,2014-09-17,$1.04,$3.32,$3.62,$3.22,$5.74,282.21%
3567,2014-08-31,$1.04,$3.24,$4.22,$2.39,$5.74,274.76%
3592,2014-08-24,$1.04,$2.99,$3.67,$3.03,$5.99,276.92%
3609,2014-08-17,$1.13,$3.24,$0.00,$0.00,$0.00,-28.32%
3628,2014-08-17,$1.13,$3.24,$3.84,$3.03,$5.99,256.19%
3644,2014-08-10,$1.13,$3.74,$3.79,$3.22,$5.99,270.35%
3683,2014-08-03,$1.13,$3.61,$3.62,$3.50,$5.74,264.38%
3707,2014-07-27,$1.38,$3.49,$3.67,$3.50,$5.49,192.57%
3710,2014-07-20,$1.50,$3.66,$3.17,$3.31,$5.74,164.67%
3733,2014-07-06,$1.79,$3.86,$3.49,$3.50,$4.82,118.85%
3757,2014-06-29,$1.83,$3.74,$3.54,$3.56,$5.99,129.92%
3781,2014-06-22,$1.87,$3.86,$3.32,$3.41,$5.62,116.71%
3786,2014-06-15,$1.83,$3.49,$3.29,$3.41,$5.24,110.79%
3810,2014-06-08,$1.45,$2.99,$3.29,$3.69,$5.24,162.24%
3834,2014-06-01,$1.58,$3.32,$3.49,$3.69,$4.99,145.09%
3839,2014-05-25,$1.87,$3.96,$3.49,$3.41,$5.24,115.24%
3860,2014-05-18,$1.83,$3.74,$3.92,$3.32,$5.74,128.42%
4225,2013-11-10,$1.12,$3.85,$4.66,$3.53,$5.74,296.88%
4236,2013-11-06,$1.75,$3.42,$4.66,$3.38,$5.74,145.71%
4259,2013-11-03,$1.42,$3.85,$4.66,$3.66,$5.74,215.32%
4268,2013-10-27,$1.75,$3.42,$4.66,$3.38,$5.74,145.71%
4314,2013-09-22,$1.21,$3.19,$3.92,$2.88,$4.74,204.34%
