,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
5,2019-05-19,$0.35,$1.39,$1.46,$1.69,$1.56,335.71%
18,2019-05-12,$0.36,$1.44,$1.46,$1.69,$1.49,322.22%
32,2019-05-05,$0.38,$1.44,$1.46,$1.69,$1.31,288.16%
44,2019-04-28,$0.35,$1.44,$1.56,$1.84,$1.56,357.14%
57,2019-04-21,$0.42,$1.29,$1.56,$1.84,$1.49,267.86%
70,2019-04-14,$0.57,$1.49,$1.61,$1.84,$1.56,185.09%
84,2019-04-07,$0.50,$1.29,$1.61,$1.84,$1.61,217.50%
97,2019-03-31,$0.51,$1.49,$1.56,$1.84,$1.99,237.25%
111,2019-03-24,$0.56,$1.49,$1.61,$1.79,$2.24,218.30%
123,2019-03-17,$0.92,$1.51,$1.56,$1.77,$2.24,92.39%
136,2019-03-10,$0.75,$1.31,$1.56,$1.67,$2.36,130.00%
148,2019-03-03,$1.03,$1.46,$1.56,$1.52,$2.24,64.56%
161,2019-02-24,$1.34,$1.51,$1.44,$1.52,$1.76,16.23%
174,2019-02-17,$0.88,$1.51,$1.31,$1.52,$1.51,66.19%
187,2019-02-10,$0.41,$1.51,$1.56,$1.52,$1.81,290.24%
199,2019-02-03,$0.40,$1.51,$1.31,$1.42,$2.06,293.75%
212,2019-01-27,$0.37,$1.19,$1.61,$1.42,$1.81,307.43%
224,2019-01-20,$0.41,$1.16,$1.61,$1.42,$1.94,273.78%
237,2019-01-13,$0.78,$1.36,$1.66,$1.54,$2.06,112.18%
249,2019-01-06,$0.74,$1.21,$1.86,$1.67,$2.06,129.73%
262,2018-12-30,$0.47,$1.29,$1.54,$1.67,$,139.36%
276,2018-12-23,$0.39,$1.29,$1.69,$1.67,$2.36,349.36%
291,2018-12-16,$0.45,$1.19,$2.11,$1.92,$2.56,332.22%
306,2018-12-09,$1.84,$1.19,$2.01,$1.99,$2.56,5.30%
321,2018-12-02,$2.16,$1.24,$1.51,$1.74,$2.24,-22.11%
334,2018-11-25,$1.91,$1.05,$1.52,$1.24,$1.82,-26.31%
347,2018-11-18,$0.72,$1.04,$1.39,$1.34,$1.92,97.57%
359,2018-11-11,$0.79,$1.04,$1.39,$1.24,$1.69,69.62%
374,2018-11-04,$0.74,$1.04,$1.39,$1.34,$1.64,82.77%
389,2018-10-28,$0.90,$1.04,$1.39,$1.14,$1.66,45.28%
405,2018-10-21,$0.76,$1.04,$1.31,$1.14,$1.56,66.12%
421,2018-10-14,$0.40,$1.04,$1.39,$1.14,$1.66,226.88%
437,2018-10-07,$0.42,$1.04,$1.31,$1.32,$1.56,211.31%
453,2018-09-30,$0.58,$1.04,$1.39,$1.14,$1.56,121.12%
470,2018-09-23,$0.75,$1.04,$1.39,$1.14,$1.56,71.00%
487,2018-09-16,$0.50,$0.99,$1.14,$1.14,$1.56,141.50%
506,2018-09-09,$0.38,$1.04,$1.31,$1.14,$1.56,232.24%
523,2018-09-02,$0.40,$1.04,$1.39,$1.14,$1.00,185.63%
538,2018-08-26,$0.42,$1.05,$1.31,$1.14,$1.56,201.19%
557,2018-08-19,$0.54,$1.07,$1.31,$1.14,$1.64,138.89%
578,2018-08-12,$0.81,$1.05,$1.31,$1.14,$1.56,56.17%
598,2018-08-05,$0.50,$1.05,$1.31,$1.14,$1.64,157.00%
617,2018-07-29,$0.35,$1.05,$1.44,$1.14,$1.56,270.71%
639,2018-07-22,$0.37,$1.06,$1.31,$1.14,$1.56,242.57%
659,2018-07-15,$0.55,$1.05,$1.39,$1.14,$1.56,133.64%
676,2018-07-08,$0.40,$0.99,$1.39,$1.14,$1.56,217.50%
694,2018-07-01,$0.41,$0.99,$1.39,$1.14,$1.75,221.34%
712,2018-06-24,$0.52,$0.99,$1.31,$1.14,$1.64,144.23%
729,2018-06-17,$0.71,$0.99,$1.06,$1.14,$1.65,70.42%
747,2018-06-10,$0.68,$0.99,$0.94,$1.14,$1.52,68.75%
765,2018-06-03,$0.32,$0.99,$1.36,$1.24,$1.39,289.06%
783,2018-05-27,$0.33,$0.99,$1.36,$1.29,$1.21,267.42%
799,2018-05-20,$0.34,$0.99,$1.24,$1.24,$1.66,277.21%
815,2018-05-13,$0.50,$0.99,$1.36,$1.29,$1.59,161.50%
831,2018-05-06,$0.80,$0.99,$1.36,$1.34,$1.59,65.00%
846,2018-04-29,$0.77,$0.99,$1.36,$1.29,$1.59,69.81%
860,2018-04-22,$0.63,$0.99,$1.49,$1.19,$1.59,108.73%
874,2018-04-15,$0.46,$0.99,$1.19,$1.29,$1.59,175.00%
888,2018-04-08,$0.43,$0.99,$1.24,$1.29,$1.59,197.09%
902,2018-04-01,$0.37,$0.99,$1.36,$1.39,$1.66,264.86%
916,2018-03-25,$0.42,$0.87,$1.41,$1.39,$1.65,216.67%
930,2018-03-18,$0.61,$0.99,$1.41,$1.49,$1.66,127.46%
943,2018-03-11,$0.79,$0.99,$1.41,$1.39,$1.65,72.15%
956,2018-02-25,$0.64,$0.99,$1.41,$1.34,$1.77,115.23%
969,2018-02-18,$0.41,$0.99,$1.46,$1.34,$1.65,231.71%
982,2018-02-11,$0.32,$0.99,$1.46,$1.24,$1.59,312.50%
994,2018-02-04,$0.32,$0.99,$1.46,$1.34,$1.59,320.31%
1006,2018-01-28,$0.31,$1.24,$1.46,$1.24,$1.66,351.61%
1019,2018-01-21,$0.32,$0.99,$1.46,$1.24,$1.61,314.06%
1031,2018-01-14,$0.33,$0.99,$1.46,$1.24,$1.66,305.30%
1043,2018-01-07,$0.39,$0.99,$1.41,$1.24,$1.61,236.54%
1056,2017-12-31,$0.38,$0.99,$1.36,$1.24,$1.72,249.34%
1068,2017-12-24,$0.35,$0.99,$1.44,$1.24,$1.69,282.86%
1080,2017-12-17,$0.35,$0.99,$1.49,$1.24,$1.59,279.29%
1092,2017-12-10,$0.39,$0.99,$1.41,$1.24,$1.59,235.26%
1105,2017-12-03,$0.33,$0.99,$1.23,$1.24,$1.59,282.58%
1118,2017-11-26,$0.32,$0.99,$1.41,$1.24,$1.61,310.16%
1131,2017-11-19,$0.31,$0.99,$1.41,$1.24,$1.59,321.77%
1144,2017-11-12,$0.33,$0.99,$1.28,$1.24,$1.54,282.58%
1159,2017-11-05,$0.34,$0.99,$1.74,$1.24,$1.66,313.97%
1174,2017-10-29,$0.43,$0.99,$1.66,$1.24,$1.66,222.67%
1189,2017-10-22,$0.50,$0.99,$1.61,$1.12,$1.66,169.00%
1205,2017-10-15,$1.23,$1.04,$1.31,$0.99,$1.66,1.63%
1220,2017-10-08,$1.56,$0.99,$1.31,$0.99,$1.75,-19.23%
1235,2017-10-01,$1.13,$0.96,$1.31,$0.99,$1.64,8.41%
1253,2017-09-24,$0.92,$0.99,$1.34,$1.39,$1.44,40.22%
1271,2017-09-17,$0.31,$0.99,$1.18,$1.39,$1.56,312.90%
1292,2017-09-10,$0.36,$0.99,$1.39,$1.39,$1.56,270.14%
1311,2017-09-03,$0.36,$0.99,$1.41,$1.39,$1.52,268.75%
1330,2017-08-27,$0.38,$1.24,$1.31,$1.39,$1.64,267.11%
1349,2017-08-20,$0.48,$1.24,$1.31,$1.39,$1.64,190.63%
1368,2017-08-13,$0.42,$1.24,$1.31,$1.39,$1.69,235.12%
1388,2017-08-06,$0.34,$1.24,$1.31,$1.39,$1.69,313.97%
1407,2017-07-30,$0.38,$1.24,$1.31,$1.44,$1.69,273.68%
1427,2017-07-23,$0.48,$1.24,$1.31,$1.39,$1.69,193.23%
1448,2017-07-16,$0.52,$1.24,$1.16,$1.44,$1.69,165.87%
1468,2017-07-09,$0.61,$1.24,$1.29,$1.26,$1.69,124.59%
1488,2017-07-02,$0.50,$0.98,$1.24,$1.44,$1.69,167.50%
1508,2017-06-25,$0.45,$1.49,$1.29,$1.39,$1.69,225.56%
1525,2017-06-18,$0.43,$1.24,$1.22,$1.39,$1.75,225.58%
1545,2017-06-11,$0.46,$1.24,$1.29,$1.44,$1.59,202.17%
1563,2017-06-04,$0.53,$1.24,$1.41,$1.44,$1.61,168.87%
