,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
522,2018-09-02,$0.66,$1.88,$1.64,$2.24,$2.49,212.50%
556,2018-08-19,$0.66,$2.23,$1.64,$1.44,$2.49,195.45%
577,2018-08-12,$0.66,$2.02,$1.71,$1.74,$2.49,201.52%
597,2018-08-05,$0.72,$2.21,$1.96,$2.24,$2.49,209.03%
638,2018-07-22,$0.72,$2.16,$2.29,$1.74,$1.99,184.03%
658,2018-07-15,$0.72,$2.37,$1.84,$1.99,$1.99,184.38%
675,2018-07-08,$0.72,$1.89,$1.59,$1.99,$1.99,159.03%
693,2018-07-01,$0.76,$1.49,$1.64,$1.99,$1.99,133.88%
782,2018-05-27,$1.04,$2.99,$1.99,$2.32,$1.99,123.32%
1270,2017-09-17,$0.88,$2.24,$2.01,$2.49,$2.49,162.22%
1291,2017-09-10,$0.88,$1.17,$1.91,$2.24,$1.99,107.67%
1310,2017-09-03,$0.88,$2.08,$1.99,$2.37,$2.36,150.00%
1329,2017-08-27,$0.88,$1.63,$1.86,$1.61,$1.96,100.57%
1348,2017-08-20,$0.96,$1.63,$1.99,$1.74,$2.09,94.01%
1367,2017-08-13,$0.96,$1.50,$2.04,$2.12,$1.79,94.01%
1387,2017-08-06,$0.96,$1.17,$1.74,$2.24,$2.16,90.36%
1406,2017-07-30,$0.96,$1.45,$1.84,$2.24,$2.16,100.26%
1426,2017-07-23,$0.96,$1.30,$2.01,$1.99,$2.54,104.17%
1444,2017-07-16,$0.92,$1.82,$1.89,$1.62,$2.04,100.27%
1464,2017-07-09,$0.92,$1.70,$2.36,$1.12,$2.04,96.20%
1484,2017-07-02,$0.84,$2.15,$1.86,$1.99,$2.04,139.29%
1504,2017-06-25,$0.84,$2.49,$2.36,$1.86,$2.36,169.94%
1523,2017-06-18,$0.88,$2.32,$1.68,$1.82,$2.36,132.39%
1541,2017-06-11,$0.88,$2.19,$2.36,$2.24,$2.36,159.94%
1559,2017-06-04,$0.88,$2.32,$2.11,$1.49,$2.16,129.55%
2079,2016-08-28,$0.62,$2.40,$2.49,$1.87,$1.99,252.82%
2113,2016-08-14,$0.62,$2.17,$1.76,$1.46,$0.99,157.26%
2130,2016-08-07,$0.56,$1.99,$1.66,$1.62,$1.68,210.27%
2148,2016-07-31,$0.54,$2.17,$1.61,$1.49,$2.99,282.41%
2165,2016-07-24,$0.54,$1.72,$1.46,$1.62,$1.34,184.26%
2181,2016-07-17,$0.54,$2.17,$1.61,$1.12,$1.50,196.30%
2193,2016-07-10,$0.54,$2.30,$1.61,$1.49,$1.68,227.78%
2210,2016-07-03,$0.56,$2.25,$1.66,$1.74,$1.49,218.75%
2227,2016-06-26,$0.56,$2.30,$1.62,$1.87,$1.74,236.16%
2257,2016-06-12,$0.54,$2.03,$2.11,$1.49,$1.99,252.78%
2274,2016-06-05,$0.58,$1.86,$1.69,$0.99,$1.99,181.47%
2819,2015-09-06,$0.76,$0.00,$1.94,$1.74,$2.99,119.41%
2821,2015-08-30,$0.76,$0.00,$1.89,$1.69,$2.99,116.12%
2841,2015-08-23,$0.68,$0.00,$1.81,$1.74,$2.99,140.44%
2865,2015-08-16,$0.68,$0.00,$1.61,$1.37,$2.34,95.59%
2888,2015-08-09,$0.68,$0.00,$1.94,$1.62,$2.99,140.81%
2911,2015-08-02,$0.68,$0.00,$2.06,$1.87,$2.32,129.78%
2935,2015-07-19,$0.58,$1.69,$2.01,$1.24,$1.84,192.24%
