,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
4,2019-05-19,$0.41,$1.42,$1.45,$1.34,$2.05,281.71%
17,2019-05-12,$0.41,$1.42,$1.55,$1.31,$1.90,276.83%
31,2019-05-05,$0.41,$1.42,$1.53,$1.17,$1.78,259.76%
43,2019-04-28,$0.41,$1.47,$1.47,$1.17,$1.99,271.95%
56,2019-04-21,$0.41,$1.44,$1.54,$0.99,$1.99,263.41%
69,2019-04-14,$0.41,$1.32,$1.34,$1.31,$2.10,270.12%
83,2019-04-07,$0.41,$1.57,$1.49,$0.99,$1.70,250.61%
96,2019-03-31,$0.42,$1.58,$1.58,$1.34,$1.70,269.05%
110,2019-03-24,$0.34,$1.58,$1.49,$1.34,$1.75,352.94%
122,2019-03-17,$0.42,$1.45,$1.53,$0.99,$1.62,232.74%
135,2019-03-10,$0.42,$1.58,$1.68,$1.34,$1.62,270.24%
147,2019-03-03,$0.42,$1.58,$1.72,$1.52,$1.67,286.31%
160,2019-02-24,$0.42,$1.54,$1.53,$1.34,$1.74,266.07%
173,2019-02-17,$0.41,$1.54,$1.19,$1.34,$1.74,254.27%
182,2019-02-10,$0.41,$1.72,$1.64,$0.99,$1.97,285.37%
198,2019-02-03,$0.41,$1.55,$1.59,$0.99,$1.65,252.44%
211,2019-01-27,$0.41,$1.46,$1.45,$0.99,$1.87,251.83%
223,2019-01-20,$0.45,$1.46,$1.18,$0.99,$1.87,205.56%
236,2019-01-13,$0.45,$1.53,$1.58,$1.17,$2.10,254.44%
248,2019-01-06,$0.49,$1.53,$1.64,$0.99,$1.87,207.65%
261,2018-12-30,$0.49,$1.50,$1.49,$1.34,$2.10,228.06%
275,2018-12-23,$0.51,$1.58,$1.36,$1.42,$1.89,206.37%
290,2018-12-16,$0.51,$1.50,$1.54,$1.42,$1.67,200.49%
305,2018-12-09,$0.52,$1.50,$1.37,$1.42,$1.82,193.75%
320,2018-12-02,$0.55,$1.63,$1.37,$0.99,$1.90,167.73%
333,2018-11-25,$0.55,$1.71,$1.64,$0.99,$1.77,177.73%
346,2018-11-18,$0.55,$1.51,$1.54,$1.34,$2.01,190.91%
360,2018-11-11,$0.55,$1.58,$1.54,$1.34,$2.13,199.55%
373,2018-11-04,$0.56,$1.63,$1.54,$1.34,$2.13,196.43%
388,2018-10-28,$0.60,$1.63,$1.54,$1.37,$1.90,168.33%
404,2018-10-21,$0.51,$1.63,$1.41,$1.47,$1.90,214.22%
420,2018-10-14,$0.53,$1.63,$1.54,$1.49,$1.90,209.43%
436,2018-10-07,$0.53,$1.63,$1.41,$1.47,$2.01,207.55%
452,2018-09-30,$0.53,$1.54,$1.49,$1.47,$2.01,207.08%
469,2018-09-23,$0.53,$1.53,$1.45,$1.29,$2.01,196.23%
486,2018-09-16,$0.53,$1.45,$1.35,$1.42,$1.93,190.09%
505,2018-09-09,$0.53,$1.51,$1.36,$1.37,$1.78,183.96%
521,2018-09-02,$0.53,$1.51,$1.07,$1.62,$2.23,203.30%
537,2018-08-26,$0.53,$1.71,$1.37,$1.49,$1.80,200.47%
555,2018-08-19,$0.53,$1.34,$1.34,$1.34,$1.95,181.60%
576,2018-08-12,$0.53,$1.71,$1.16,$1.47,$1.95,196.70%
596,2018-08-05,$0.53,$1.58,$1.32,$1.74,$1.93,209.91%
616,2018-07-29,$0.53,$1.71,$1.54,$1.59,$2.35,239.15%
637,2018-07-22,$0.53,$1.58,$1.36,$1.87,$2.12,226.89%
657,2018-07-15,$0.53,$1.58,$1.54,$1.74,$2.30,237.74%
674,2018-07-08,$0.53,$1.45,$1.49,$1.74,$2.68,247.17%
692,2018-07-01,$0.53,$1.74,$1.49,$1.59,$2.36,238.68%
711,2018-06-24,$0.53,$2.04,$1.45,$1.54,$2.36,248.58%
728,2018-06-17,$0.53,$1.74,$1.49,$1.54,$2.36,236.32%
746,2018-06-10,$0.53,$1.62,$1.49,$1.49,$2.36,228.30%
764,2018-06-03,$0.77,$1.62,$1.39,$1.42,$2.17,114.29%
781,2018-05-27,$0.72,$1.43,$1.32,$1.34,$1.75,102.78%
798,2018-05-20,$0.70,$1.43,$1.35,$1.34,$2.39,132.50%
814,2018-05-13,$0.66,$1.38,$1.40,$1.34,$2.00,131.82%
830,2018-05-06,$0.63,$1.42,$1.40,$1.34,$2.17,151.19%
845,2018-04-29,$0.63,$1.29,$1.32,$1.34,$1.88,131.35%
859,2018-04-22,$0.57,$1.29,$1.32,$0.96,$2.00,144.30%
873,2018-04-15,$0.54,$1.29,$1.27,$1.34,$1.88,167.59%
887,2018-04-08,$0.52,$1.29,$1.32,$0.99,$2.11,174.52%
901,2018-04-01,$0.52,$1.30,$1.27,$1.34,$1.88,178.37%
915,2018-03-25,$0.51,$1.42,$1.14,$1.34,$1.88,183.33%
929,2018-03-18,$0.54,$1.42,$1.12,$1.34,$2.05,174.54%
942,2018-03-11,$0.52,$1.42,$1.24,$0.99,$2.00,171.63%
955,2018-02-25,$0.53,$1.60,$1.41,$1.32,$1.88,192.92%
968,2018-02-18,$0.53,$1.35,$1.61,$1.34,$1.76,185.85%
981,2018-02-11,$0.53,$1.61,$1.35,$1.34,$1.88,191.51%
993,2018-02-04,$0.55,$1.37,$1.59,$1.34,$2.00,186.36%
1002,2018-01-28,$0.54,$1.48,$1.61,$1.34,$1.76,186.57%
