,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
504,2018-09-09,$0.64,$1.68,$1.64,$1.99,$2.49,204.69%
520,2018-09-02,$0.64,$1.68,$1.89,$1.74,$2.49,204.69%
554,2018-08-19,$0.64,$1.98,$1.41,$0.94,$2.49,166.41%
575,2018-08-12,$0.64,$2.37,$1.66,$1.99,$2.49,232.42%
595,2018-08-05,$0.54,$2.37,$1.91,$1.74,$2.49,293.98%
615,2018-07-29,$0.64,$2.37,$1.64,$1.74,$1.99,202.34%
636,2018-07-22,$0.64,$2.30,$1.64,$1.74,$1.99,199.61%
656,2018-07-15,$0.64,$2.75,$1.79,$1.99,$1.99,232.81%
673,2018-07-08,$0.64,$2.19,$1.59,$1.99,$1.99,203.13%
745,2018-06-10,$0.72,$0.79,$1.74,$1.99,$3.99,195.49%
780,2018-05-27,$0.96,$2.99,$1.99,$2.32,$3.14,171.88%
1251,2017-09-24,$0.78,$1.83,$1.49,$1.99,$2.15,139.10%
1268,2017-09-17,$0.78,$1.61,$1.64,$1.74,$1.84,118.91%
1289,2017-09-10,$0.78,$1.74,$1.79,$2.24,$1.91,146.15%
1308,2017-09-03,$0.78,$1.45,$1.91,$2.24,$2.36,155.13%
1327,2017-08-27,$0.78,$1.50,$1.29,$1.74,$1.91,106.41%
1346,2017-08-20,$0.84,$1.50,$2.29,$1.62,$1.91,117.86%
1365,2017-08-13,$0.88,$1.40,$1.61,$1.87,$1.71,87.22%
1385,2017-08-06,$0.92,$1.17,$1.74,$1.99,$2.29,95.38%
1404,2017-07-30,$0.94,$1.75,$1.84,$2.12,$2.39,115.43%
1424,2017-07-23,$0.94,$1.20,$2.01,$1.99,$2.01,91.76%
1442,2017-07-16,$0.94,$1.69,$1.89,$1.99,$2.26,108.24%
1462,2017-07-09,$0.94,$1.45,$2.36,$1.24,$2.04,88.56%
1482,2017-07-02,$0.94,$2.49,$1.74,$2.12,$2.04,123.14%
1502,2017-06-25,$0.94,$2.31,$1.99,$1.86,$2.04,118.09%
1521,2017-06-18,$0.92,$2.08,$1.68,$2.24,$2.36,127.17%
1539,2017-06-11,$0.96,$1.69,$1.99,$1.99,$2.24,105.99%
1557,2017-06-04,$0.88,$2.49,$1.99,$2.16,$2.36,155.68%
2146,2016-07-31,$0.54,$1.85,$1.76,$1.49,$2.99,274.54%
2180,2016-07-17,$0.54,$2.27,$1.49,$1.12,$1.50,195.37%
2225,2016-06-26,$0.52,$2.01,$1.45,$1.62,$1.68,225.00%
2272,2016-06-05,$0.56,$1.59,$1.69,$0.99,$1.99,179.46%
2796,2015-09-13,$0.60,$1.68,$2.01,$1.62,$1.98,203.75%
2803,2015-09-06,$0.60,$1.68,$2.01,$1.44,$0.00,113.75%
2825,2015-08-30,$0.60,$0.00,$1.69,$1.57,$1.69,106.25%
2843,2015-08-23,$0.60,$0.00,$1.94,$1.62,$1.99,131.25%
2869,2015-08-16,$0.60,$0.00,$1.61,$1.24,$0.00,18.75%
2892,2015-08-09,$0.60,$0.00,$1.74,$1.37,$0.00,29.58%
2915,2015-08-02,$0.60,$0.00,$1.86,$1.87,$1.69,125.83%
2921,2015-07-19,$0.60,$1.69,$1.81,$1.24,$0.00,97.50%
2942,2015-07-12,$0.60,$0.00,$1.89,$0.99,$0.00,20.00%
2966,2015-07-05,$0.60,$1.69,$1.79,$1.74,$1.69,187.92%
2990,2015-06-28,$0.60,$0.00,$1.71,$1.62,$2.99,163.33%
2995,2015-06-21,$0.60,$1.69,$1.74,$1.69,$1.69,183.75%
3019,2015-06-14,$0.60,$0.00,$1.24,$1.81,$0.00,27.08%
3042,2015-06-07,$0.80,$2.99,$1.89,$1.69,$0.00,105.31%
3066,2015-05-31,$0.96,$2.99,$1.94,$2.19,$0.00,85.42%
3539,2014-09-21,$0.59,$0.00,$1.64,$1.99,$0.00,53.81%
3552,2014-09-17,$0.59,$0.00,$1.94,$2.07,$0.00,69.92%
3572,2014-08-31,$0.59,$0.00,$1.99,$1.12,$0.00,31.78%
3597,2014-08-24,$0.59,$0.00,$1.89,$1.99,$0.00,64.41%
3605,2014-08-17,$0.69,$0.00,$2.12,$1.37,$0.00,26.45%
3648,2014-08-10,$0.75,$2.39,$1.89,$1.62,$0.00,96.67%
3690,2014-08-03,$0.75,$0.00,$2.02,$1.62,$1.98,87.33%
3695,2014-07-27,$0.75,$1.99,$1.55,$1.62,$0.00,72.00%
3717,2014-07-20,$0.75,$0.00,$1.66,$1.37,$0.00,1.00%
3740,2014-07-06,$0.53,$0.00,$1.94,$1.62,$0.00,67.92%
3763,2014-06-29,$0.73,$0.00,$1.89,$1.62,$0.00,20.21%
3769,2014-06-22,$0.75,$0.00,$2.01,$1.74,$0.00,25.00%
3793,2014-06-15,$0.81,$0.00,$1.94,$1.62,$0.00,9.88%
3817,2014-06-08,$0.81,$0.00,$1.94,$1.12,$0.00,-5.56%
3822,2014-06-01,$0.83,$0.00,$1.94,$1.87,$0.00,14.76%
3846,2014-05-25,$0.91,$2.99,$2.19,$2.74,$0.00,117.58%
3863,2014-05-18,$1.11,$0.00,$2.06,$2.49,$3.99,92.34%
4355,2013-08-25,$0.42,$0.00,$1.74,$1.49,$0.00,92.26%
4382,2013-08-18,$0.42,$0.00,$1.66,$1.49,$0.00,87.50%
4388,2013-08-11,$0.42,$0.00,$1.87,$1.37,$0.00,92.86%
4410,2013-08-04,$0.42,$1.69,$1.87,$1.24,$2.99,363.69%
4435,2013-07-28,$0.40,$0.00,$1.82,$1.24,$1.49,184.38%
4441,2013-07-21,$0.40,$0.00,$1.69,$1.49,$0.00,98.75%
4460,2013-07-14,$0.40,$1.68,$1.82,$1.24,$1.49,289.38%
4486,2013-07-07,$0.40,$1.99,$1.82,$1.37,$2.24,363.75%
4494,2013-06-30,$0.46,$1.99,$1.78,$1.37,$0.00,179.35%
4517,2013-06-23,$0.52,$2.49,$1.81,$1.49,$0.00,178.37%
4543,2013-06-16,$0.56,$0.00,$1.89,$1.74,$2.14,157.59%
4548,2013-06-09,$0.64,$0.00,$2.56,$1.84,$0.00,71.88%
4573,2013-06-02,$0.66,$0.00,$2.61,$2.12,$0.00,79.17%
5058,2012-09-23,$0.60,$1.75,$1.97,$1.62,$2.99,247.08%
5083,2012-09-16,$0.60,$1.48,$1.64,$1.62,$2.74,211.67%
5090,2012-09-09,$0.56,$1.74,$1.72,$1.62,$2.49,237.95%
5112,2012-09-02,$0.56,$1.48,$1.72,$1.62,$1.88,199.11%
5139,2012-08-26,$0.56,$1.48,$1.84,$1.24,$2.74,225.89%
5145,2012-08-19,$0.56,$1.48,$1.72,$1.62,$2.99,248.66%
5175,2012-08-12,$0.56,$1.49,$1.42,$1.37,$2.49,202.23%
5186,2012-08-12,$0.56,$1.49,$1.42,$1.37,$2.49,202.23%
5213,2012-08-05,$0.56,$0.00,$1.59,$1.62,$1.88,127.23%
5220,2012-07-29,$0.56,$1.89,$1.54,$1.37,$0.99,158.48%
5242,2012-07-22,$0.56,$1.94,$1.32,$1.24,$0.00,100.89%
