,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
503,2018-09-09,$0.71,$1.99,$1.96,$1.74,$2.49,188.03%
553,2018-08-19,$0.71,$2.99,$2.11,$1.31,$2.49,213.38%
574,2018-08-12,$0.71,$3.75,$1.66,$1.99,$2.49,248.24%
594,2018-08-05,$0.86,$1.29,$2.11,$1.99,$2.49,129.07%
635,2018-07-22,$0.86,$1.99,$2.26,$1.99,$1.99,139.24%
672,2018-07-08,$0.86,$1.99,$2.11,$1.99,$1.99,134.88%
710,2018-06-24,$1.14,$1.99,$1.69,$2.24,$2.99,95.39%
1250,2017-09-24,$0.89,$1.99,$2.15,$1.99,$2.24,135.11%
1267,2017-09-17,$0.98,$2.15,$2.24,$1.74,$2.74,126.28%
1288,2017-09-10,$0.98,$2.15,$1.89,$2.62,$1.99,120.66%
1307,2017-09-03,$0.98,$1.52,$1.91,$2.24,$2.36,104.85%
1326,2017-08-27,$1.00,$1.40,$1.96,$1.99,$1.96,82.75%
1345,2017-08-20,$0.93,$1.40,$2.04,$1.74,$2.21,98.66%
1364,2017-08-13,$0.93,$1.27,$1.91,$1.99,$2.09,95.16%
1384,2017-08-06,$0.93,$1.26,$1.86,$2.24,$2.59,113.71%
1403,2017-07-30,$0.89,$1.72,$1.92,$2.12,$2.21,123.88%
1423,2017-07-23,$0.93,$1.17,$1.86,$2.12,$2.29,100.00%
1441,2017-07-16,$0.93,$1.81,$1.79,$1.99,$2.21,109.68%
1461,2017-07-09,$1.00,$1.59,$2.11,$1.49,$2.11,82.50%
1481,2017-07-02,$1.18,$1.99,$2.11,$1.99,$2.49,81.78%
1501,2017-06-25,$1.25,$2.31,$2.24,$1.99,$2.36,78.00%
1520,2017-06-18,$1.25,$2.42,$1.99,$2.24,$2.49,82.80%
1538,2017-06-11,$1.30,$1.99,$2.24,$1.66,$2.36,58.65%
2078,2016-08-28,$1.00,$1.84,$1.64,$1.99,$1.99,86.50%
2111,2016-08-14,$0.78,$1.55,$1.84,$1.71,$0.99,95.19%
2145,2016-07-31,$0.73,$1.39,$1.76,$1.99,$2.99,178.42%
2163,2016-07-24,$0.55,$1.55,$1.76,$1.87,$0.99,180.45%
2224,2016-06-26,$0.78,$1.72,$1.65,$1.99,$1.89,132.37%
2772,2015-09-20,$0.93,$0.00,$1.89,$1.74,$0.00,-2.42%
2798,2015-09-13,$0.93,$1.99,$1.84,$1.87,$2.99,133.60%
2805,2015-09-06,$0.82,$0.00,$1.84,$1.87,$0.00,13.11%
2827,2015-08-30,$0.82,$1.99,$1.91,$1.87,$2.99,167.07%
2844,2015-08-23,$0.82,$0.00,$1.81,$1.87,$0.00,12.20%
2871,2015-08-16,$0.82,$0.00,$1.76,$1.74,$1.69,58.23%
2894,2015-08-09,$0.78,$0.00,$1.76,$1.99,$0.00,20.19%
2917,2015-08-02,$0.78,$0.00,$1.99,$1.87,$0.00,23.72%
3541,2014-09-21,$0.82,$1.74,$1.64,$1.74,$0.00,56.10%
3554,2014-09-17,$0.92,$1.48,$2.06,$2.49,$1.79,112.50%
3574,2014-08-31,$0.92,$0.00,$2.06,$1.87,$0.00,6.79%
3608,2014-08-17,$0.78,$1.98,$0.00,$0.00,$0.00,-36.54%
3616,2014-08-17,$0.78,$1.98,$2.12,$2.24,$1.79,160.58%
3649,2014-08-10,$0.78,$2.24,$2.01,$1.87,$0.00,96.15%
3656,2014-08-03,$0.71,$2.19,$2.12,$1.99,$1.99,191.90%
3672,2014-08-03,$0.71,$2.19,$2.12,$1.99,$1.99,191.90%
3697,2014-07-27,$0.71,$1.99,$2.29,$1.87,$1.99,186.62%
3719,2014-07-20,$0.71,$0.00,$2.29,$2.12,$1.79,118.31%
3742,2014-07-06,$0.67,$0.00,$1.94,$2.49,$1.99,139.55%
3765,2014-06-29,$0.89,$1.98,$2.06,$2.37,$2.99,164.04%
3771,2014-06-22,$0.99,$2.88,$1.94,$2.32,$0.00,80.30%
3824,2014-06-01,$0.00,$2.99,$2.49,$2.74,$2.99,0.00%
4357,2013-08-25,$0.54,$0.00,$1.74,$1.62,$1.74,136.11%
4367,2013-08-18,$0.50,$0.00,$1.92,$1.49,$1.82,161.50%
4390,2013-08-11,$0.50,$1.84,$1.62,$1.74,$1.74,247.00%
4412,2013-08-04,$0.47,$1.99,$1.74,$0.96,$1.74,242.02%
4437,2013-07-28,$0.41,$1.69,$1.87,$1.49,$1.82,318.90%
4443,2013-07-21,$0.47,$0.00,$1.49,$1.49,$1.74,151.06%
4461,2013-07-14,$0.52,$2.19,$1.87,$1.87,$1.74,268.75%
4488,2013-07-07,$0.59,$1.99,$1.87,$1.24,$1.99,200.42%
4496,2013-06-30,$0.63,$1.99,$1.72,$1.87,$0.00,121.43%
