,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
3,2019-05-19,$1.50,$5.32,$5.14,$3.99,$6.22,244.50%
16,2019-05-12,$1.50,$5.07,$5.14,$3.99,$6.22,240.33%
30,2019-05-05,$1.60,$5.07,$5.14,$3.99,$6.22,219.06%
42,2019-04-28,$1.60,$4.97,$5.14,$3.99,$6.22,217.50%
55,2019-04-21,$1.60,$4.97,$4.31,$3.99,$6.22,204.53%
68,2019-04-14,$1.60,$5.07,$4.97,$3.99,$6.22,216.41%
82,2019-04-07,$1.60,$4.07,$4.97,$3.99,$6.22,200.78%
95,2019-03-31,$1.60,$4.97,$4.97,$3.99,$6.22,214.84%
109,2019-03-24,$1.70,$3.66,$4.97,$3.99,$5.44,165.59%
121,2019-03-17,$1.70,$4.97,$4.97,$3.99,$5.97,192.65%
134,2019-03-10,$1.70,$4.72,$4.47,$3.99,$6.22,185.29%
146,2019-03-03,$1.70,$3.97,$4.47,$3.99,$5.97,170.59%
159,2019-02-24,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
172,2019-02-17,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
186,2019-02-10,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
197,2019-02-03,$1.70,$4.72,$4.47,$3.99,$5.47,174.26%
210,2019-01-27,$1.70,$4.87,$4.81,$3.99,$4.94,173.68%
222,2019-01-20,$1.70,$4.87,$4.81,$3.99,$4.94,173.68%
235,2019-01-13,$1.70,$4.72,$4.81,$3.99,$6.47,193.97%
247,2019-01-06,$1.70,$4.97,$4.81,$3.99,$6.47,197.65%
260,2018-12-30,$1.70,$3.98,$4.81,$3.99,$6.47,183.09%
274,2018-12-23,$1.70,$6.11,$4.81,$3.99,$4.94,191.91%
289,2018-12-16,$1.70,$5.11,$4.97,$3.99,$6.47,202.06%
304,2018-12-09,$1.70,$5.11,$4.81,$3.99,$7.99,222.06%
319,2018-12-02,$1.70,$4.81,$4.81,$3.99,$6.47,195.29%
332,2018-11-25,$1.70,$6.14,$4.81,$3.49,$6.47,207.50%
