,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
2,2019-05-19,$0.32,$1.84,$1.84,$1.69,$1.89,467.19%
15,2019-05-12,$0.34,$1.84,$1.75,$1.69,$1.75,416.91%
29,2019-05-05,$0.34,$1.84,$1.73,$1.69,$2.12,442.65%
41,2019-04-28,$0.38,$1.69,$1.75,$1.84,$1.86,369.74%
54,2019-04-21,$0.45,$1.84,$1.98,$1.84,$1.86,317.78%
67,2019-04-14,$0.44,$2.32,$2.03,$1.92,$1.90,364.20%
81,2019-04-07,$0.43,$2.32,$1.86,$1.99,$2.00,375.00%
94,2019-03-31,$0.34,$1.82,$2.00,$1.99,$2.06,478.68%
108,2019-03-24,$0.35,$1.79,$1.85,$1.99,$2.09,451.43%
120,2019-03-17,$0.60,$2.59,$1.73,$1.99,$2.06,248.75%
133,2019-03-10,$0.48,$2.59,$1.88,$1.74,$2.09,332.29%
145,2019-03-03,$0.64,$2.32,$1.85,$1.74,$1.95,207.03%
158,2019-02-24,$0.82,$2.32,$1.97,$1.74,$1.95,143.29%
171,2019-02-17,$0.68,$2.32,$1.98,$1.74,$2.00,195.59%
185,2019-02-10,$0.46,$2.32,$1.98,$1.74,$1.97,335.33%
196,2019-02-03,$0.44,$2.32,$1.98,$1.74,$2.00,356.82%
209,2019-01-27,$0.42,$2.32,$1.83,$1.74,$2.01,370.24%
221,2019-01-20,$0.51,$2.32,$1.83,$1.74,$2.01,287.25%
234,2019-01-13,$0.66,$2.32,$1.98,$1.74,$,128.79%
246,2019-01-06,$0.66,$2.59,$1.91,$1.74,$2.00,212.12%
259,2018-12-30,$0.64,$2.22,$2.00,$1.74,$2.00,210.94%
273,2018-12-23,$0.65,$2.59,$2.00,$1.67,$2.45,235.00%
288,2018-12-16,$0.90,$2.15,$2.00,$1.74,$2.45,131.67%
303,2018-12-09,$2.03,$2.09,$1.80,$1.74,$2.42,-0.86%
318,2018-12-02,$2.04,$2.39,$1.80,$1.92,$1.97,-0.98%
344,2018-11-18,$0.73,$1.74,$1.76,$1.42,$1.87,132.53%
357,2018-11-11,$0.72,$1.59,$1.80,$1.42,$1.90,132.99%
371,2018-11-04,$0.40,$1.74,$1.71,$1.42,$1.72,311.88%
386,2018-10-28,$0.41,$1.59,$1.64,$1.42,$1.72,288.41%
402,2018-10-21,$0.32,$1.59,$1.75,$1.42,$1.56,393.75%
418,2018-10-14,$0.32,$1.59,$1.71,$1.42,$1.63,396.09%
434,2018-10-07,$0.36,$1.74,$1.75,$1.42,$1.63,354.17%
450,2018-09-30,$0.36,$1.59,$1.71,$1.42,$1.57,336.81%
467,2018-09-23,$0.34,$4.47,$4.64,$3.99,$5.97,"1,302.21%"
485,2018-09-16,$0.30,$1.59,$1.71,$1.42,$1.57,424.17%
501,2018-09-09,$0.33,$1.69,$1.75,$1.42,$1.62,390.91%
519,2018-09-02,$0.32,$1.36,$1.71,$1.42,$1.57,373.44%
536,2018-08-26,$0.29,$1.69,$1.64,$1.42,$1.57,444.83%
552,2018-08-19,$0.32,$1.69,$1.75,$1.42,$1.62,406.25%
572,2018-08-12,$0.30,$1.69,$1.71,$1.42,$1.57,432.50%
592,2018-08-05,$0.30,$1.69,$1.52,$1.42,$1.62,420.83%
613,2018-07-29,$0.29,$1.69,$1.66,$1.42,$1.70,457.76%
633,2018-07-22,$0.30,$1.69,$1.75,$1.42,$1.66,443.33%
654,2018-07-15,$0.30,$1.69,$1.66,$1.34,$1.57,421.67%
670,2018-07-08,$0.30,$1.89,$1.75,$1.42,$1.90,480.00%
690,2018-07-01,$0.31,$1.62,$1.71,$1.42,$,283.06%
708,2018-06-24,$0.29,$1.79,$1.75,$1.42,$1.79,481.90%
726,2018-06-17,$0.29,$1.62,$1.71,$1.42,$1.66,452.59%
743,2018-06-10,$0.29,$1.62,$1.75,$1.42,$1.79,467.24%
762,2018-06-03,$0.31,$1.62,$1.78,$1.42,$1.66,422.58%
778,2018-05-27,$0.34,$1.62,$1.68,$1.32,$1.81,372.79%
796,2018-05-20,$0.38,$1.62,$1.83,$1.42,$1.89,344.74%
812,2018-05-13,$0.54,$1.62,$1.68,$1.32,$1.81,197.69%
828,2018-05-06,$0.70,$1.62,$1.88,$1.74,$1.95,156.79%
843,2018-04-29,$0.69,$1.62,$1.71,$1.42,$1.81,137.68%
857,2018-04-22,$0.68,$1.42,$1.83,$1.44,$1.79,138.24%
871,2018-04-15,$0.56,$1.42,$1.71,$1.42,$1.66,177.23%
885,2018-04-08,$0.55,$1.42,$1.83,$1.47,$1.79,195.91%
899,2018-04-01,$0.39,$1.42,$1.71,$1.57,$1.87,321.15%
913,2018-03-25,$0.41,$1.42,$1.73,$1.47,$1.82,292.68%
927,2018-03-18,$0.43,$1.42,$1.71,$1.57,$1.83,279.65%
940,2018-03-11,$0.46,$1.42,$2.00,$1.52,$1.89,271.20%
953,2018-02-25,$0.44,$1.42,$1.75,$1.47,$1.65,257.39%
966,2018-02-18,$0.34,$1.42,$1.56,$1.47,$1.60,344.85%
979,2018-02-11,$0.30,$1.42,$1.73,$1.47,$1.65,422.50%
991,2018-02-04,$0.30,$1.42,$1.68,$1.47,$1.66,419.17%
1004,2018-01-28,$0.29,$1.49,$1.73,$1.42,$1.60,437.93%
1016,2018-01-21,$0.29,$1.42,$1.70,$1.42,$1.72,439.66%
1028,2018-01-14,$0.30,$1.34,$1.73,$1.42,$1.60,407.50%
1040,2018-01-07,$0.35,$1.34,$1.78,$1.42,$1.65,342.14%
1053,2017-12-31,$0.34,$1.49,$1.96,$1.42,$1.59,375.00%
1065,2017-12-24,$0.34,$1.52,$2.00,$1.42,$1.74,391.18%
1077,2017-12-17,$0.34,$1.52,$1.78,$1.42,$1.55,361.03%
1089,2017-12-10,$0.35,$1.52,$2.00,$1.42,$1.60,367.14%
1102,2017-12-03,$0.31,$1.49,$1.92,$1.42,$1.62,420.16%
1115,2017-11-26,$0.31,$1.52,$1.75,$1.42,$1.55,403.23%
1128,2017-11-19,$0.34,$1.52,$1.82,$1.42,$1.60,367.65%
1141,2017-11-12,$0.36,$1.52,$1.66,$1.42,$1.74,340.28%
1156,2017-11-05,$0.35,$1.52,$1.68,$1.42,$1.74,354.29%
1171,2017-10-29,$0.37,$1.52,$1.73,$1.37,$1.74,329.73%
1186,2017-10-22,$0.36,$1.52,$1.82,$1.42,$1.74,351.39%
1202,2017-10-15,$0.38,$1.52,$1.80,$1.32,$1.72,318.42%
1217,2017-10-08,$0.41,$1.52,$1.68,$1.32,$1.79,284.76%
1232,2017-10-01,$0.40,$1.52,$1.73,$1.32,$1.79,297.50%
1248,2017-09-24,$0.36,$1.52,$2.08,$1.47,$1.72,371.53%
1266,2017-09-17,$0.32,$1.52,$1.66,$1.47,$1.67,393.75%
1286,2017-09-10,$0.38,$1.52,$1.66,$1.52,$1.72,322.37%
1306,2017-09-03,$0.41,$1.52,$1.71,$1.47,$1.67,288.41%
1325,2017-08-27,$0.29,$1.42,$1.28,$1.39,$1.72,400.86%
1343,2017-08-20,$0.29,$1.42,$1.66,$1.39,$1.67,429.31%
1363,2017-08-13,$0.29,$1.42,$1.71,$1.47,$1.77,449.14%
1383,2017-08-06,$0.29,$1.55,$1.66,$1.39,$2.04,472.41%
1401,2017-07-30,$0.29,$1.52,$1.71,$1.39,$2.11,480.17%
1421,2017-07-23,$0.30,$1.52,$1.75,$1.39,$1.92,448.33%
1445,2017-07-16,$0.33,$1.52,$1.41,$1.39,$1.82,365.15%
1465,2017-07-09,$0.31,$1.52,$1.48,$1.39,$1.92,408.87%
1485,2017-07-02,$0.32,$1.52,$1.98,$1.39,$1.89,429.69%
