,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1,2019-05-19,$0.35,$1.72,$2.00,$1.69,$1.99,428.57%
14,2019-05-12,$0.36,$1.74,$2.00,$1.69,$1.99,415.28%
28,2019-05-05,$0.36,$1.89,$2.00,$1.69,$1.99,425.69%
40,2019-04-28,$0.39,$1.89,$2.00,$1.69,$1.86,376.92%
53,2019-04-21,$0.51,$2.09,$2.00,$1.77,$1.86,278.43%
66,2019-04-14,$0.56,$1.99,$2.12,$1.77,$2.02,252.68%
80,2019-04-07,$0.46,$1.99,$2.28,$1.69,$1.96,330.43%
93,2019-03-31,$0.39,$2.14,$2.12,$1.69,$1.96,407.05%
107,2019-03-24,$0.34,$1.99,$2.12,$1.69,$,326.47%
119,2019-03-17,$0.43,$2.09,$2.12,$1.69,$2.50,388.37%
132,2019-03-10,$0.49,$2.49,$2.28,$1.52,$2.36,341.33%
144,2019-03-03,$0.70,$1.89,$2.20,$1.52,$2.17,177.86%
157,2019-02-24,$0.79,$1.89,$2.04,$1.52,$2.17,141.14%
170,2019-02-17,$0.60,$1.89,$2.20,$1.52,$2.02,217.92%
184,2019-02-10,$0.40,$1.89,$2.20,$1.52,$1.86,366.88%
195,2019-02-03,$0.35,$1.99,$2.20,$1.59,$1.86,445.71%
208,2019-01-27,$0.32,$1.99,$2.25,$1.67,$1.98,516.41%
220,2019-01-20,$0.33,$1.89,$2.25,$1.67,$1.98,490.15%
233,2019-01-13,$0.35,$1.99,$2.22,$1.56,$1.99,454.29%
245,2019-01-06,$0.36,$2.31,$2.22,$1.56,$1.99,461.11%
258,2018-12-30,$0.34,$2.22,$2.22,$1.67,$1.99,495.59%
272,2018-12-23,$0.35,$1.89,$2.09,$1.67,$2.19,460.00%
287,2018-12-16,$0.35,$1.80,$2.22,$1.67,$2.82,507.86%
302,2018-12-09,$0.63,$2.05,$2.14,$1.67,$2.89,247.22%
317,2018-12-02,$1.01,$1.75,$2.14,$1.34,$2.49,91.09%
356,2018-11-11,$1.06,$1.75,$2.04,$1.42,$2.05,71.23%
370,2018-11-04,$1.07,$2.06,$2.09,$1.42,$1.84,73.13%
385,2018-10-28,$0.96,$1.94,$2.06,$1.42,$1.83,88.80%
401,2018-10-21,$0.59,$1.94,$1.99,$1.42,$1.83,204.24%
417,2018-10-14,$0.49,$1.94,$2.16,$1.42,$1.74,270.41%
433,2018-10-07,$0.57,$2.31,$1.99,$1.47,$1.74,229.39%
449,2018-09-30,$0.52,$1.59,$2.09,$1.42,$1.74,228.85%
466,2018-09-23,$0.44,$1.59,$1.99,$1.42,$,184.09%
483,2018-09-16,$0.39,$1.59,$2.09,$1.42,$1.74,338.46%
500,2018-09-09,$0.39,$2.01,$1.99,$1.42,$1.74,358.97%
518,2018-09-02,$0.39,$1.36,$2.16,$1.42,$1.74,328.21%
535,2018-08-26,$0.38,$1.69,$2.06,$1.42,$1.74,354.61%
551,2018-08-19,$0.39,$1.69,$1.99,$1.42,$1.74,338.46%
571,2018-08-12,$0.34,$1.69,$2.09,$1.42,$1.74,410.29%
591,2018-08-05,$0.29,$1.69,$1.82,$1.42,$1.74,475.00%
612,2018-07-29,$0.29,$1.69,$2.16,$1.42,$1.86,514.66%
632,2018-07-22,$0.30,$1.69,$1.99,$1.42,$1.83,477.50%
653,2018-07-15,$0.31,$1.69,$2.16,$1.34,$1.83,466.13%
669,2018-07-08,$0.32,$1.69,$1.84,$1.42,$1.74,422.66%
689,2018-07-01,$0.31,$1.62,$2.09,$1.42,$1.74,454.03%
707,2018-06-24,$0.31,$1.62,$1.99,$1.42,$1.74,445.97%
725,2018-06-17,$0.30,$1.62,$2.09,$1.42,$1.93,488.33%
742,2018-06-10,$0.28,$1.62,$2.09,$1.42,$2.08,543.75%
761,2018-06-03,$0.30,$1.62,$2.09,$1.42,$1.99,493.33%
777,2018-05-27,$0.31,$1.62,$2.07,$1.32,$1.99,464.52%
795,2018-05-20,$0.30,$1.62,$1.99,$1.32,$1.99,476.67%
811,2018-05-13,$0.30,$1.62,$2.07,$1.32,$1.99,483.33%
827,2018-05-06,$0.32,$1.62,$2.17,$1.77,$1.99,489.84%
842,2018-04-29,$0.34,$1.62,$2.22,$1.47,$1.83,425.00%
856,2018-04-22,$0.50,$1.62,$2.09,$1.52,$1.99,261.00%
870,2018-04-15,$0.72,$1.62,$2.22,$1.47,$1.83,147.92%
884,2018-04-08,$0.77,$1.79,$2.09,$1.57,$1.99,141.56%
898,2018-04-01,$0.67,$1.62,$2.22,$1.57,$1.90,172.76%
912,2018-03-25,$0.68,$1.69,$2.09,$1.57,$2.07,172.79%
926,2018-03-18,$0.73,$1.62,$2.22,$1.57,$2.09,156.85%
939,2018-03-11,$0.90,$1.62,$2.09,$1.52,$1.94,99.17%
952,2018-02-25,$0.78,$1.79,$2.09,$1.47,$1.97,134.62%
965,2018-02-18,$0.38,$1.62,$2.19,$1.47,$1.85,369.08%
978,2018-02-11,$0.30,$1.79,$2.07,$1.47,$1.85,498.33%
990,2018-02-04,$0.30,$1.99,$2.19,$1.47,$1.85,525.00%
1003,2018-01-28,$0.28,$1.62,$2.19,$1.47,$1.85,536.61%
1015,2018-01-21,$0.28,$1.62,$2.07,$1.44,$1.88,525.89%
1027,2018-01-14,$0.29,$1.52,$2.19,$1.47,$1.85,506.03%
1039,2018-01-07,$0.34,$1.52,$2.07,$1.47,$1.85,408.09%
1052,2017-12-31,$0.35,$1.85,$2.41,$1.47,$1.85,441.43%
1063,2017-12-24,$0.32,$1.75,$2.47,$1.47,$1.68,475.78%
1076,2017-12-17,$0.34,$2.02,$2.07,$1.47,$1.85,444.85%
1088,2017-12-10,$0.34,$1.75,$2.47,$1.47,$1.76,447.79%
1101,2017-12-03,$0.33,$1.81,$2.09,$1.47,$1.97,456.06%
1114,2017-11-26,$0.31,$1.75,$2.18,$1.47,$1.93,491.13%
1127,2017-11-19,$0.35,$1.75,$2.27,$1.47,$1.93,430.00%
1140,2017-11-12,$0.35,$2.06,$2.01,$1.52,$1.74,423.57%
1155,2017-11-05,$0.38,$1.75,$2.13,$1.47,$1.74,366.45%
1170,2017-10-29,$0.47,$1.75,$2.01,$1.44,$1.76,270.21%
1185,2017-10-22,$0.53,$1.75,$2.23,$1.57,$1.76,244.81%
1201,2017-10-15,$0.78,$1.62,$1.93,$1.32,$1.76,112.50%
1216,2017-10-08,$0.86,$1.78,$2.13,$1.32,$2.01,110.47%
1231,2017-10-01,$0.78,$1.52,$1.91,$1.32,$2.17,121.79%
1247,2017-09-24,$0.56,$1.94,$2.16,$1.47,$1.84,230.80%
1265,2017-09-17,$0.39,$1.64,$1.98,$1.47,$1.84,344.23%
1285,2017-09-10,$0.36,$1.52,$2.10,$1.52,$1.84,384.72%
1305,2017-09-03,$0.49,$1.86,$1.98,$1.47,$1.84,264.80%
1324,2017-08-27,$0.42,$1.85,$2.01,$1.39,$1.84,322.02%
1344,2017-08-20,$0.32,$1.85,$2.10,$1.39,$1.84,460.94%
1362,2017-08-13,$0.32,$1.36,$1.98,$1.47,$1.84,419.53%
1382,2017-08-06,$0.31,$1.86,$2.10,$1.39,$2.16,505.65%
1400,2017-07-30,$0.31,$1.46,$1.98,$1.39,$2.16,463.71%
1420,2017-07-23,$0.32,$1.96,$1.78,$1.39,$1.94,452.34%
1447,2017-07-16,$0.30,$1.96,$1.66,$1.39,$2.05,488.33%
1467,2017-07-09,$0.35,$1.96,$1.93,$1.39,$1.94,415.71%
1487,2017-07-02,$0.35,$1.96,$2.36,$1.44,$1.94,450.00%
1507,2017-06-25,$0.35,$1.64,$2.40,$1.44,$1.99,433.57%
1527,2017-06-18,$0.35,$1.89,$2.36,$1.44,$1.94,445.00%
1544,2017-06-11,$0.29,$1.89,$2.47,$1.39,$1.94,562.93%
1562,2017-06-04,$0.28,$1.49,$2.33,$1.39,$2.24,565.18%
1576,2017-05-28,$0.28,$1.52,$2.29,$1.74,$2.30,600.89%
