,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
0,2019-05-19,$1.16,$2.23,$1.70,$1.99,$2.54,82.33%
13,2019-05-12,$0.91,$2.67,$1.89,$2.47,$2.66,166.21%
27,2019-05-05,$0.58,$2.42,$1.89,$2.12,$2.91,302.59%
39,2019-04-28,$0.58,$2.79,$1.95,$2.38,$2.96,334.48%
52,2019-04-21,$0.69,$2.92,$2.04,$2.38,$3.16,280.43%
65,2019-04-14,$0.90,$3.04,$2.31,$2.50,$3.41,212.78%
79,2019-04-07,$1.08,$3.04,$2.94,$2.62,$3.74,185.65%
92,2019-03-31,$1.81,$2.79,$3.07,$2.87,$3.24,65.33%
106,2019-03-24,$1.81,$2.82,$3.06,$3.12,$3.48,72.38%
118,2019-03-17,$1.88,$2.79,$3.07,$2.32,$3.49,55.19%
131,2019-03-10,$1.88,$2.66,$2.99,$2.75,$2.94,50.80%
143,2019-03-03,$1.88,$2.46,$2.31,$2.99,$3.06,43.88%
156,2019-02-24,$1.75,$2.66,$1.88,$2.99,$2.99,50.29%
169,2019-02-17,$1.63,$3.12,$3.65,$4.12,$3.48,120.40%
183,2019-02-10,$2.25,$2.99,$3.36,$3.96,$3.36,51.89%
207,2019-01-27,$2.63,$3.96,$3.44,$3.49,$5.11,52.09%
219,2019-01-20,$2.63,$2.97,$3.31,$2.95,$5.11,36.31%
232,2019-01-13,$2.50,$3.58,$3.74,$4.99,$5.11,74.20%
244,2019-01-06,$2.63,$3.96,$4.21,$4.24,$5.66,71.77%
257,2018-12-30,$2.50,$3.71,$4.59,$4.49,$5.71,85.00%
271,2018-12-23,$2.88,$3.86,$4.46,$4.99,$4.09,51.04%
286,2018-12-16,$3.06,$3.16,$4.28,$4.99,$4.95,41.99%
301,2018-12-09,$3.25,$3.66,$4.21,$3.99,$4.95,29.31%
316,2018-12-02,$2.88,$3.71,$3.99,$3.99,$5.16,46.27%
331,2018-11-25,$2.69,$3.36,$3.84,$3.99,$,4.00%
343,2018-11-18,$2.08,$2.99,$3.84,$3.99,$3.86,76.44%
355,2018-11-11,$2.17,$2.91,$2.99,$3.74,$3.99,57.03%
369,2018-11-04,$1.06,$3.06,$2.92,$3.74,$3.19,204.48%
384,2018-10-28,$1.10,$2.99,$2.66,$3.24,$3.56,182.95%
400,2018-10-21,$1.19,$2.65,$2.62,$3.12,$3.44,148.53%
416,2018-10-14,$1.31,$2.70,$2.54,$3.04,$3.56,125.95%
432,2018-10-07,$1.63,$2.49,$2.03,$3.12,$3.31,67.94%
448,2018-09-30,$0.92,$3.09,$2.41,$3.24,$3.56,234.24%
462,2018-09-26,$1.34,$2.69,$2.29,$2.57,$3.34,103.17%
465,2018-09-23,$1.06,$2.70,$2.57,$3.49,$3.44,187.74%
