,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
270,2018-12-23,$1.13,$2.69,$2.46,$2.49,$2.59,126.33%
285,2018-12-16,$1.10,$2.42,$2.34,$2.49,$2.24,115.68%
300,2018-12-09,$1.10,$2.42,$1.96,$1.23,$1.96,72.05%
315,2018-12-02,$0.85,$2.31,$1.64,$2.12,$,78.53%
330,2018-11-25,$0.85,$1.98,$1.96,$2.24,$2.21,146.76%
342,2018-11-18,$0.83,$2.31,$1.61,$1.99,$1.96,137.05%
354,2018-11-11,$0.85,$2.35,$2.14,$1.74,$1.99,141.76%
368,2018-11-04,$0.83,$2.31,$2.14,$1.74,$2.49,161.45%
383,2018-10-28,$0.85,$2.18,$2.32,$1.74,$2.49,156.76%
399,2018-10-21,$0.85,$2.47,$2.19,$1.99,$1.99,154.12%
415,2018-10-14,$0.87,$2.27,$2.14,$0.98,$1.66,102.59%
431,2018-10-07,$0.87,$2.38,$1.51,$1.74,$2.66,138.22%
447,2018-09-30,$0.87,$2.09,$1.68,$2.24,$2.49,144.25%
464,2018-09-23,$0.89,$1.88,$2.22,$0.98,$2.66,117.42%
482,2018-09-16,$0.93,$1.88,$2.39,$2.24,$2.16,133.06%
533,2018-08-26,$0.79,$2.15,$2.27,$1.74,$2.16,163.29%
549,2018-08-19,$0.94,$2.51,$1.99,$2.24,$1.82,127.66%
569,2018-08-12,$0.94,$2.11,$2.16,$1.74,$2.16,117.29%
589,2018-08-05,$0.94,$2.28,$2.36,$2.24,$2.66,153.72%
610,2018-07-29,$1.00,$2.11,$3.09,$0.95,$2.82,124.25%
651,2018-07-15,$1.16,$2.32,$2.41,$2.74,$3.11,128.02%
687,2018-07-01,$1.39,$2.76,$2.94,$2.99,$3.74,123.56%
705,2018-06-24,$1.44,$2.56,$3.49,$2.99,$3.61,119.62%
723,2018-06-17,$1.89,$2.33,$3.24,$2.49,$3.46,52.38%
740,2018-06-10,$1.89,$2.43,$2.84,$1.66,$3.46,37.43%
759,2018-06-03,$1.83,$2.48,$2.44,$2.74,$2.99,45.49%
776,2018-05-27,$1.78,$3.02,$2.89,$3.24,$3.44,76.83%
1283,2017-09-10,$0.89,$1.59,$2.04,$1.39,$2.61,114.33%
1303,2017-09-03,$0.89,$2.01,$1.84,$1.74,$2.46,126.12%
1322,2017-08-27,$0.92,$1.93,$2.14,$1.57,$2.31,116.03%
1340,2017-08-20,$0.94,$1.93,$1.84,$1.62,$1.71,88.83%
1360,2017-08-13,$0.89,$1.74,$1.96,$1.99,$2.45,128.65%
1840,2016-12-25,$1.68,$3.99,$3.19,$3.62,$3.32,110.12%
1853,2016-12-18,$1.68,$3.61,$2.94,$3.37,$2.74,88.39%
1869,2016-12-11,$1.68,$3.49,$2.56,$3.49,$2.99,86.46%
1879,2016-12-04,$1.68,$3.11,$2.81,$3.19,$3.24,83.78%
1892,2016-11-27,$1.09,$2.69,$2.36,$3.19,$2.74,151.83%
1906,2016-11-20,$1.09,$2.69,$2.36,$3.19,$2.61,148.85%
1919,2016-11-13,$1.01,$2.69,$2.24,$2.44,$2.49,144.06%
1933,2016-11-06,$1.01,$2.24,$2.36,$2.12,$2.36,124.75%
1948,2016-10-30,$1.00,$2.14,$1.79,$2.37,$2.49,119.75%
2059,2016-09-04,$0.94,$2.14,$1.81,$1.84,$2.49,120.21%
2074,2016-08-28,$0.97,$2.24,$1.64,$1.37,$2.11,89.69%
2092,2016-08-21,$1.00,$2.35,$1.28,$1.84,$1.99,86.50%
2107,2016-08-14,$1.00,$2.14,$1.33,$1.72,$2.36,88.75%
2125,2016-08-07,$1.00,$2.71,$1.26,$1.49,$2.49,98.75%
2141,2016-07-31,$1.00,$2.06,$1.84,$1.72,$1.99,90.25%
2790,2015-09-13,$0.94,$2.11,$1.76,$1.84,$2.11,107.98%
2815,2015-09-06,$0.94,$2.04,$1.76,$2.21,$1.73,105.85%
2837,2015-08-30,$0.92,$1.79,$1.89,$1.99,$2.99,135.33%
2849,2015-08-23,$0.97,$1.99,$1.74,$1.71,$1.99,91.49%
2861,2015-08-16,$0.94,$1.74,$1.69,$1.84,$2.87,116.49%
2884,2015-08-09,$0.89,$1.89,$1.81,$1.94,$1.99,114.33%
2907,2015-08-02,$0.87,$2.06,$1.96,$2.09,$2.67,152.30%
3534,2014-09-21,$0.87,$1.94,$1.97,$2.45,$2.24,147.13%
3549,2014-09-17,$0.81,$2.11,$2.09,$1.95,$2.49,166.67%
3582,2014-08-31,$0.84,$2.11,$1.86,$1.71,$2.74,150.60%
3588,2014-08-24,$0.79,$1.99,$2.24,$1.59,$2.49,162.97%
3623,2014-08-17,$0.88,$1.86,$1.96,$1.71,$2.74,134.94%
3630,2014-08-17,$0.88,$1.86,$0.00,$0.00,$0.00,-47.16%
3642,2014-08-10,$0.89,$1.99,$1.46,$2.46,$2.49,135.96%
3682,2014-08-03,$0.89,$2.11,$1.91,$1.71,$2.99,144.94%
3705,2014-07-27,$0.89,$2.44,$2.04,$2.59,$2.24,161.52%
3727,2014-07-20,$0.89,$2.26,$2.29,$2.46,$2.49,166.85%
4308,2013-09-22,$0.79,$1.76,$2.09,$2.37,$1.74,151.90%
4331,2013-09-15,$0.78,$2.21,$1.72,$2.12,$2.37,169.87%
4342,2013-09-01,$0.78,$2.01,$2.04,$2.12,$2.36,173.40%
4365,2013-08-25,$0.77,$1.84,$1.86,$2.09,$2.36,164.61%
4398,2013-08-11,$0.79,$1.94,$1.78,$2.12,$2.36,159.49%
4402,2013-08-04,$0.79,$2.06,$1.78,$1.99,$1.99,147.47%
4427,2013-07-28,$0.79,$2.06,$2.29,$2.09,$1.86,162.66%
5100,2012-09-09,$0.85,$1.89,$1.67,$1.82,$1.87,113.24%
5120,2012-09-02,$0.72,$1.71,$1.70,$1.87,$1.87,148.26%
5128,2012-08-26,$0.74,$2.16,$1.72,$1.81,$2.49,176.35%
5153,2012-08-19,$0.72,$1.79,$1.16,$1.46,$1.87,118.06%
5165,2012-08-12,$0.72,$1.99,$1.62,$1.34,$1.62,128.13%
5198,2012-08-12,$0.72,$1.99,$1.62,$1.34,$1.62,128.13%
5205,2012-08-05,$0.73,$1.94,$1.74,$1.81,$2.37,169.18%
5230,2012-07-29,$0.85,$1.96,$1.62,$1.59,$2.87,136.47%
5425,2012-05-13,$1.89,$4.16,$2.49,$3.29,$3.99,84.26%
5441,2012-05-13,$1.89,$4.16,$2.49,$3.29,$3.99,84.26%
5862,2011-10-09,$0.74,$1.69,$1.59,$2.87,$1.99,175.00%
5890,2011-10-02,$0.76,$1.84,$1.99,$1.81,$2.49,167.43%
5912,2011-09-25,$0.76,$1.76,$1.49,$1.82,$1.74,124.01%
5917,2011-09-18,$0.74,$1.65,$1.92,$2.74,$1.52,164.53%
5943,2011-09-11,$0.74,$1.56,$2.13,$0.88,$1.99,121.62%
5962,2011-09-04,$0.74,$1.69,$1.59,$2.74,$1.64,158.78%
5983,2011-08-28,$0.76,$1.91,$1.97,$1.31,$2.24,144.41%
5995,2011-08-21,$0.76,$1.74,$1.19,$2.25,$1.77,128.62%
6018,2011-08-14,$0.79,$1.81,$1.47,$1.31,$1.74,100.32%
6053,2011-07-31,$0.00,$1.54,$1.74,$1.53,$0.00,0.00%
6198,2011-06-05,$0.00,$3.11,$1.74,$1.99,$2.87,0.00%
6603,2010-11-07,$1.07,$2.57,$2.57,$2.99,$2.99,159.81%
6611,2010-10-31,$1.10,$1.90,$2.49,$1.74,$2.99,107.27%
6635,2010-10-24,$0.90,$0.84,$2.42,$2.46,$2.74,135.00%
6642,2010-10-17,$0.77,$1.99,$2.29,$2.24,$2.74,200.65%
6662,2010-10-10,$0.74,$2.06,$1.87,$2.24,$2.24,184.12%
6690,2010-10-03,$0.73,$1.61,$2.24,$2.12,$2.19,179.45%
6695,2010-09-26,$0.73,$1.79,$2.24,$1.12,$1.24,118.84%
6719,2010-09-19,$0.73,$1.16,$1.79,$1.51,$1.99,120.89%
6743,2010-09-12,$0.72,$1.66,$1.96,$2.12,$1.99,168.40%
6760,2010-09-05,$0.69,$1.66,$1.24,$1.84,$1.79,136.59%
6788,2010-08-29,$0.70,$1.69,$1.87,$1.59,$1.74,146.07%
6809,2010-08-22,$0.74,$1.54,$1.82,$2.37,$1.67,150.00%
6812,2010-08-15,$0.76,$1.71,$1.99,$1.99,$1.74,144.41%
6835,2010-08-08,$0.72,$1.71,$1.57,$1.39,$1.49,113.89%
7455,2009-10-25,$1.41,$1.96,$2.37,$2.37,$3.24,76.24%
7465,2009-10-18,$1.28,$1.95,$2.17,$2.37,$2.97,84.77%
7488,2009-10-11,$1.26,$2.04,$2.49,$2.24,$2.62,86.31%
7510,2009-10-04,$1.25,$1.68,$2.42,$2.12,$1.94,63.20%
7521,2009-09-27,$0.95,$1.46,$2.24,$1.74,$1.99,95.53%
7543,2009-09-20,$0.85,$1.61,$2.06,$2.07,$2.12,131.18%
7550,2009-09-13,$0.76,$1.63,$1.69,$1.57,$1.99,126.32%
7564,2009-09-06,$0.72,$1.68,$1.69,$1.74,$2.12,151.04%
7596,2009-08-30,$0.68,$1.81,$2.24,$1.29,$1.87,165.07%
7603,2009-08-23,$0.68,$1.43,$1.14,$1.39,$1.99,118.75%
7627,2009-08-16,$0.68,$1.65,$1.74,$2.16,$1.49,158.82%
7650,2009-08-09,$0.68,$1.82,$1.94,$2.09,$2.24,197.43%
7665,2009-08-02,$0.71,$1.41,$1.71,$1.67,$1.67,127.46%
8165,2008-12-07,$0.88,$2.36,$2.57,$2.99,$3.12,213.64%
8180,2008-11-30,$0.87,$2.56,$2.37,$3.12,$2.99,217.24%
8202,2008-11-23,$0.87,$2.29,$2.59,$2.87,$2.74,201.44%
8210,2008-11-16,$0.87,$2.24,$2.49,$2.99,$2.87,204.31%
8235,2008-11-09,$0.88,$2.36,$1.94,$2.99,$3.12,195.74%
8257,2008-11-02,$0.66,$2.66,$1.79,$2.83,$2.87,284.47%
8262,2008-10-26,$0.66,$2.36,$2.49,$2.87,$2.37,282.20%
8288,2008-10-19,$0.66,$1.99,$2.19,$2.74,$2.24,246.97%
8296,2008-10-12,$0.66,$1.92,$2.49,$2.99,$2.37,270.08%
8322,2008-10-05,$0.66,$1.99,$1.99,$2.09,$2.49,224.24%
8344,2008-09-28,$0.67,$1.62,$1.79,$1.72,$2.37,179.85%
8348,2008-09-21,$0.69,$1.61,$1.79,$2.62,$1.74,181.16%
8371,2008-09-14,$0.70,$1.62,$1.61,$2.12,$2.49,180.00%
8393,2008-09-07,$0.70,$1.69,$1.69,$1.56,$1.62,134.29%
8416,2008-08-31,$0.70,$1.67,$1.59,$2.49,$2.12,181.07%
8439,2008-08-24,$0.70,$1.44,$1.12,$2.24,$2.12,147.14%
8461,2008-08-17,$0.72,$1.59,$1.82,$2.09,$2.37,173.26%
8484,2008-08-10,$0.74,$1.94,$1.71,$2.24,$2.24,174.66%
8506,2008-08-03,$0.77,$1.54,$2.09,$2.22,$2.36,166.56%
8509,2008-07-27,$0.77,$1.87,$2.21,$2.87,$1.74,182.14%
8533,2008-07-20,$0.81,$1.69,$2.44,$2.12,$2.19,160.49%
8564,2008-07-06,$0.87,$1.89,$2.49,$2.37,$2.62,169.25%
8603,2008-06-29,$0.87,$2.04,$2.12,$2.19,$1.99,139.66%
8606,2008-06-22,$0.87,$2.31,$1.87,$1.58,$1.99,122.70%
9089,2007-11-11,$1.31,$3.54,$2.44,$3.24,$3.99,152.10%
9097,2007-11-04,$1.31,$2.52,$2.57,$2.99,$3.87,128.05%
9121,2007-10-28,$1.01,$2.71,$2.49,$2.99,$2.87,173.76%
9143,2007-10-21,$1.22,$2.56,$2.29,$2.87,$2.62,111.89%
9152,2007-10-14,$1.12,$2.06,$2.21,$2.49,$2.87,114.96%
9164,2007-10-07,$0.81,$1.78,$2.07,$2.57,$2.37,171.30%
9182,2007-09-30,$0.79,$1.76,$1.62,$2.37,$2.37,156.96%
9207,2007-09-23,$0.79,$1.63,$1.82,$2.44,$1.49,133.54%
9228,2007-09-16,$0.79,$1.60,$1.74,$1.49,$1.99,115.82%
9250,2007-09-09,$0.72,$1.58,$1.12,$1.69,$1.62,108.68%
9264,2007-09-02,$0.69,$1.28,$1.87,$1.99,$1.74,149.28%
9293,2007-08-26,$0.69,$1.44,$1.49,$1.14,$1.74,110.51%
9315,2007-08-19,$0.66,$1.69,$1.82,$1.69,$1.87,167.80%
9337,2007-08-12,$0.66,$1.65,$1.37,$1.50,$1.49,127.65%
9358,2007-08-05,$0.68,$1.53,$1.57,$2.24,$1.74,160.29%
9364,2007-07-29,$0.69,$1.69,$1.74,$1.87,$1.37,141.67%
9402,2007-07-22,$0.70,$1.81,$2.37,$1.50,$1.99,173.93%
9423,2007-07-15,$0.71,$1.69,$1.79,$1.50,$2.12,150.00%
