,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
398,2018-10-21,$0.64,$1.29,$1.26,$1.59,$1.74,129.69%
414,2018-10-14,$0.48,$1.29,$1.24,$1.59,$1.74,205.21%
430,2018-10-07,$0.60,$1.62,$1.31,$1.59,$1.66,157.50%
446,2018-09-30,$0.60,$1.62,$1.24,$1.59,$1.64,153.75%
463,2018-09-23,$0.52,$1.62,$1.39,$1.34,$1.62,187.02%
481,2018-09-16,$0.52,$1.62,$1.24,$1.59,$1.74,197.60%
498,2018-09-09,$0.40,$1.62,$1.46,$1.59,$1.54,288.13%
516,2018-09-02,$0.38,$1.52,$1.46,$1.47,$1.71,305.26%
532,2018-08-26,$0.52,$1.45,$1.46,$1.49,$1.66,191.35%
548,2018-08-19,$0.42,$1.62,$1.51,$1.34,$1.72,268.45%
568,2018-08-12,$0.44,$1.52,$1.46,$1.49,$1.66,248.30%
588,2018-08-05,$0.40,$1.52,$1.39,$1.47,$1.72,281.25%
609,2018-07-29,$0.42,$1.49,$1.46,$1.34,$1.66,254.17%
630,2018-07-22,$0.34,$1.49,$1.46,$1.47,$1.65,346.32%
650,2018-07-15,$0.34,$1.49,$1.46,$1.34,$1.54,328.68%
667,2018-07-08,$0.36,$1.49,$1.46,$1.39,$1.66,316.67%
686,2018-07-01,$0.36,$1.49,$1.46,$1.52,$1.66,325.69%
704,2018-06-24,$0.32,$1.49,$1.59,$1.39,$1.72,383.59%
1199,2017-10-15,$0.44,$1.52,$1.44,$1.69,$1.99,277.27%
1214,2017-10-08,$0.44,$1.52,$1.26,$1.69,$1.91,262.50%
1229,2017-10-01,$0.46,$1.49,$1.44,$1.57,$1.86,245.65%
1245,2017-09-24,$0.46,$1.46,$1.36,$1.69,$2.11,259.78%
1263,2017-09-17,$0.52,$1.49,$1.24,$1.57,$2.05,205.29%
1282,2017-09-10,$0.56,$1.59,$1.44,$1.57,$2.19,203.13%
1302,2017-09-03,$0.46,$1.59,$1.26,$1.32,$2.11,241.30%
1321,2017-08-27,$0.52,$1.59,$1.36,$1.62,$2.04,217.79%
1341,2017-08-20,$0.60,$1.59,$1.44,$1.62,$2.04,178.75%
1379,2017-08-06,$0.56,$1.59,$1.24,$1.49,$2.04,183.93%
1398,2017-07-30,$0.56,$1.59,$1.16,$1.74,$2.11,194.64%
1418,2017-07-23,$0.62,$1.59,$1.36,$1.64,$2.11,170.16%
1438,2017-07-16,$0.58,$1.59,$1.36,$1.64,$1.91,180.17%
