,Unnamed: 0,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread,product_name,Unnamed: 0.2,Unnamed: 0.1
0,78,2019-04-14,$2.43,$2.48,$1.88,$2.49,$1.61,-12.96%,Asparagus,,
1,91,2019-04-07,$2.43,$2.65,$2.73,$2.99,$2.74,14.30%,Asparagus,,
2,105,2019-03-31,$2.34,$2.45,$2.13,$3.49,$2.74,15.49%,Asparagus,,
3,825,2018-05-13,$2.43,$2.48,$2.07,$4.12,$3.86,28.91%,Asparagus,,
4,840,2018-05-06,$2.80,$2.47,$2.56,$3.71,$3.69,10.98%,Asparagus,,
5,854,2018-04-29,$2.52,$2.86,$3.08,$3.62,$2.98,24.40%,Asparagus,,
6,868,2018-04-22,$2.43,$2.56,$2.61,$3.49,$3.24,22.43%,Asparagus,,
7,882,2018-04-15,$1.43,$2.76,$1.98,$2.74,$2.99,83.04%,Asparagus,,
8,896,2018-04-08,$1.52,$3.36,$2.66,$3.24,$3.36,107.57%,Asparagus,,
9,910,2018-04-01,$1.61,$2.86,$2.86,$3.12,$3.19,86.80%,Asparagus,,
10,924,2018-03-25,$2.16,$2.56,$2.56,$3.24,$2.24,22.69%,Asparagus,,
11,1630,2017-05-07,$2.70,$3.75,$2.91,$4.49,$3.74,37.87%,Asparagus,,
12,1643,2017-04-30,$2.87,$3.41,$3.28,$4.49,$3.98,32.06%,Asparagus,,
13,1655,2017-04-23,$2.88,$3.32,$3.28,$3.99,$2.99,17.88%,Asparagus,,
14,1656,2017-04-16,$2.69,$2.66,$2.78,$3.99,$3.25,17.84%,Asparagus,,
15,1681,2017-04-09,$1.96,$2.81,$2.28,$3.49,$3.11,49.11%,Asparagus,,
16,1691,2017-04-02,$1.81,$2.81,$3.28,$3.49,$3.11,75.28%,Asparagus,,
17,1707,2017-03-26,$1.46,$2.66,$2.08,$2.99,$2.04,67.29%,Asparagus,,
18,2370,2016-04-24,$1.99,$3.75,$3.11,$2.99,$3.36,65.95%,Asparagus,,
19,2384,2016-04-17,$1.99,$3.65,$2.74,$3.99,$3.24,71.11%,Asparagus,,
20,2397,2016-04-10,$1.96,$3.32,$2.74,$3.74,$3.24,66.33%,Asparagus,,
21,2411,2016-04-03,$1.78,$2.98,$2.86,$3.24,$3.49,76.54%,Asparagus,,
22,2424,2016-03-27,$1.67,$2.48,$2.32,$2.99,$2.22,49.85%,Asparagus,,
23,2426,2016-03-20,$1.49,$2.48,$1.91,$2.12,$2.02,43.12%,Asparagus,,
24,2441,2016-03-13,$1.47,$2.32,$2.79,$2.74,$2.84,81.80%,Asparagus,,
25,3168,2015-04-05,$2.10,$3.26,$2.76,$3.37,$2.99,47.38%,Asparagus,,
26,3190,2015-03-29,$1.74,$2.71,$1.73,$2.74,$3.69,56.18%,Asparagus,,
27,3200,2015-03-22,$1.71,$3.24,$2.41,$3.12,$3.99,86.55%,Asparagus,,
28,3869,2014-05-18,$1.92,$3.36,$3.37,$3.87,$3.49,83.46%,Asparagus,,
29,3875,2014-05-11,$1.99,$3.11,$2.92,$3.87,$3.99,74.50%,Asparagus,,
30,3896,2014-05-04,$1.97,$3.36,$2.92,$3.87,$3.99,79.44%,Asparagus,,
31,3909,2014-04-27,$1.87,$3.15,$2.12,$3.74,$3.99,73.80%,Asparagus,,
32,3932,2014-04-23,$1.87,$2.74,$2.16,$3.37,$2.86,48.80%,Asparagus,,
33,3941,2014-04-20,$1.78,$3.11,$2.12,$3.74,$3.11,69.66%,Asparagus,,
34,3952,2014-04-13,$1.87,$2.74,$2.16,$3.37,$2.86,48.80%,Asparagus,,
35,3976,2014-04-07,$1.79,$2.86,$2.99,$3.12,$3.11,68.72%,Asparagus,,
36,3984,2014-03-30,$1.69,$2.24,$2.24,$2.99,$2.49,47.34%,Asparagus,,
37,3994,2014-03-23,$1.35,$2.36,$1.68,$2.74,$2.49,71.67%,Asparagus,,
38,4005,2014-03-16,$1.09,$2.86,$2.62,$2.22,$2.54,134.86%,Asparagus,,
39,4625,2013-05-12,$2.06,$3.99,$3.32,$3.99,$2.99,73.42%,Asparagus,,
40,4634,2013-05-05,$2.20,$3.49,$3.19,$3.74,$3.49,58.07%,Asparagus,,
41,4645,2013-04-28,$2.13,$3.47,$3.12,$3.24,$3.49,56.34%,Asparagus,,
42,4669,2013-04-21,$1.95,$3.11,$3.62,$3.49,$3.37,74.23%,Asparagus,,
43,4677,2013-04-14,$1.54,$2.82,$3.32,$2.99,$2.99,96.75%,Asparagus,,
44,4688,2013-04-07,$1.03,$2.56,$2.94,$1.81,$2.99,150.00%,Asparagus,,
45,4711,2013-03-31,$1.06,$2.86,$2.57,$1.99,$2.37,130.90%,Asparagus,,
46,5134,2012-08-26,$1.04,$3.49,$3.94,$4.49,$4.24,288.46%,Asparagus,,
47,5158,2012-08-19,$1.08,$4.05,$3.94,$4.49,$4.24,287.04%,Asparagus,,
48,5168,2012-08-12,$1.17,$3.43,$3.74,$4.37,$4.32,238.89%,Asparagus,,
49,5178,2012-08-12,$1.17,$3.43,$3.74,$4.37,$4.32,238.89%,Asparagus,,
50,5286,2012-07-02,$9.00,$0.00,$0.00,$0.00,$0.00,-100.00%,Asparagus,,
51,5378,2012-05-27,$2.13,$3.06,$2.49,$3.99,$3.49,52.93%,Asparagus,,
52,5401,2012-05-20,$2.07,$3.39,$2.99,$3.99,$3.49,67.39%,Asparagus,,
53,5412,2012-05-13,$1.94,$3.12,$2.49,$3.99,$3.99,75.13%,Asparagus,,
54,5428,2012-05-13,$1.94,$3.12,$2.49,$3.99,$3.99,75.13%,Asparagus,,
55,5445,2012-05-06,$1.85,$2.86,$2.87,$3.87,$3.49,76.89%,Asparagus,,
56,5470,2012-04-29,$1.67,$2.74,$2.62,$3.99,$3.74,95.96%,Asparagus,,
57,5477,2012-04-22,$1.53,$2.86,$2.87,$3.69,$3.12,104.90%,Asparagus,,
58,5488,2012-04-15,$1.47,$3.32,$2.99,$3.12,$3.12,113.44%,Asparagus,,
59,5518,2012-04-08,$1.37,$2.99,$3.37,$3.24,$3.12,132.12%,Asparagus,,
60,5525,2012-04-08,$1.37,$2.99,$3.37,$3.24,$3.12,132.12%,Asparagus,,
61,5531,2012-04-01,$1.46,$2.24,$1.99,$2.74,$2.04,54.28%,Asparagus,,
62,6210,2011-05-29,$1.81,$2.91,$4.07,$1.25,$2.87,53.31%,Asparagus,,
63,6234,2011-05-22,$1.79,$3.16,$3.62,$4.12,$2.74,90.50%,Asparagus,,
64,6244,2011-05-15,$1.73,$3.44,$2.99,$4.12,$3.74,106.50%,Asparagus,,
65,6270,2011-05-08,$1.72,$3.56,$3.99,$3.71,$3.74,118.02%,Asparagus,,
66,6277,2011-05-01,$1.69,$2.44,$3.62,$3.72,$3.74,100.00%,Asparagus,,
67,6288,2011-04-24,$1.79,$3.31,$3.26,$3.99,$3.74,99.72%,Asparagus,,
68,6312,2011-04-17,$1.99,$2.69,$2.61,$3.87,$2.49,46.48%,Asparagus,,
69,6320,2011-04-10,$1.99,$2.49,$1.87,$3.62,$2.92,36.93%,Asparagus,,
70,6331,2011-04-03,$1.63,$3.09,$3.49,$3.62,$2.74,98.47%,Asparagus,,
71,6998,2010-06-06,$1.81,$2.49,$3.62,$4.24,$3.87,96.41%,Asparagus,,
72,7020,2010-05-30,$1.81,$2.56,$2.84,$3.99,$2.99,70.99%,Asparagus,,
73,7046,2010-05-23,$1.89,$3.01,$3.17,$3.99,$3.99,87.30%,Asparagus,,
74,7055,2010-05-16,$1.89,$3.01,$3.25,$3.99,$3.99,88.36%,Asparagus,,
75,7067,2010-05-09,$1.83,$3.09,$2.87,$3.87,$2.99,75.14%,Asparagus,,
76,7087,2010-05-02,$1.79,$2.84,$2.74,$3.74,$2.66,67.32%,Asparagus,,
77,7099,2010-04-25,$1.57,$2.91,$3.74,$3.62,$2.49,103.18%,Asparagus,,
78,7109,2010-04-18,$1.49,$3.11,$3.49,$3.74,$2.49,115.27%,Asparagus,,
79,7131,2010-04-11,$1.45,$2.86,$3.74,$3.24,$2.16,106.90%,Asparagus,,
80,7141,2010-04-04,$1.46,$2.74,$3.24,$3.24,$2.49,100.51%,Asparagus,,
81,7152,2010-03-28,$1.31,$1.87,$2.44,$2.71,$2.09,73.85%,Asparagus,,
