,productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
1100,Strawberries,2017-12-03,$1.75,$3.86,$3.99,$4.49,$4.82,145.14%
1101,Romaine Lettuce,2017-12-03,$0.33,$1.81,$2.09,$1.47,$1.97,456.06%
1102,Red Leaf Lettuce,2017-12-03,$0.31,$1.49,$1.92,$1.42,$1.62,420.16%
1103,Potatoes,2017-12-03,$1.50,$5.57,$3.72,$3.99,$6.99,237.83%
1104,Oranges,2017-12-03,$0.56,$1.56,$1.37,$0.96,$2.00,162.95%
1105,Iceberg Lettuce,2017-12-03,$0.33,$0.99,$1.23,$1.24,$1.59,282.58%
1106,Green Leaf Lettuce,2017-12-03,$0.32,$1.49,$1.87,$1.42,$1.54,393.75%
1107,Flame Grapes,2017-12-03,$1.21,$2.68,$2.49,$2.12,$2.69,106.20%
1108,Celery,2017-12-03,$0.39,$1.21,$1.93,$1.94,$1.49,321.15%
1109,Cauliflower,2017-12-03,$1.06,$2.59,$1.84,$3.48,$3.34,165.33%
1110,Carrots,2017-12-03,$0.31,$0.92,$0.85,$0.99,$1.15,215.32%
1111,Broccoli Crowns,2017-12-03,$0.38,$1.59,$1.92,$1.99,$1.66,371.05%
1112,Broccoli Bunches,2017-12-03,$0.35,$1.22,$1.29,$1.49,$1.63,302.14%
1113,Strawberries,2017-11-26,$1.63,$3.29,$3.65,$4.49,$4.24,140.34%
1114,Romaine Lettuce,2017-11-26,$0.31,$1.75,$2.18,$1.47,$1.93,491.13%
1115,Red Leaf Lettuce,2017-11-26,$0.31,$1.52,$1.75,$1.42,$1.55,403.23%
1116,Potatoes,2017-11-26,$1.50,$4.31,$3.72,$3.99,$4.99,183.50%
1117,Oranges,2017-11-26,$0.56,$1.56,$1.31,$1.07,$1.99,164.73%
1118,Iceberg Lettuce,2017-11-26,$0.32,$0.99,$1.41,$1.24,$1.61,310.16%
1119,Green Leaf Lettuce,2017-11-26,$0.30,$1.52,$1.68,$1.42,$1.62,420.00%
1120,Flame Grapes,2017-11-26,$1.21,$2.23,$2.36,$2.87,$2.36,102.89%
1121,Celery,2017-11-26,$0.39,$1.35,$1.21,$1.94,$1.66,294.87%
1122,Cauliflower,2017-11-26,$0.57,$2.66,$3.16,$2.98,$3.46,437.72%
1123,Carrots,2017-11-26,$0.31,$0.92,$0.82,$0.99,$1.29,224.19%
1124,Broccoli Crowns,2017-11-26,$0.34,$2.16,$1.92,$1.74,$1.66,450.00%
1125,Broccoli Bunches,2017-11-26,$0.35,$1.61,$1.40,$1.79,$2.44,417.14%
1126,Strawberries,2017-11-19,$2.33,$3.41,$3.65,$4.49,$4.49,72.10%
1127,Romaine Lettuce,2017-11-19,$0.35,$1.75,$2.27,$1.47,$1.93,430.00%
1128,Red Leaf Lettuce,2017-11-19,$0.34,$1.52,$1.82,$1.42,$1.60,367.65%
1129,Potatoes,2017-11-19,$1.50,$4.27,$3.72,$3.99,$4.99,182.83%
1130,Oranges,2017-11-19,$0.63,$1.61,$1.51,$0.99,$2.10,146.43%
1131,Iceberg Lettuce,2017-11-19,$0.31,$0.99,$1.41,$1.24,$1.59,321.77%
1132,Green Leaf Lettuce,2017-11-19,$0.31,$1.52,$1.75,$1.42,$1.62,408.87%
1133,Flame Grapes,2017-11-19,$1.10,$2.11,$2.19,$2.74,$2.36,113.64%
1134,Celery,2017-11-19,$0.48,$1.24,$1.11,$1.94,$1.31,191.67%
1135,Cauliflower,2017-11-19,$0.64,$2.92,$3.16,$3.83,$3.71,432.03%
1136,Carrots,2017-11-19,$0.31,$0.95,$0.82,$0.99,$1.29,226.61%
