,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
78,2019-04-14,$2.43,$2.48,$1.88,$2.49,$1.61,-12.96%
91,2019-04-07,$2.43,$2.65,$2.73,$2.99,$2.74,14.30%
105,2019-03-31,$2.34,$2.45,$2.13,$3.49,$2.74,15.49%
825,2018-05-13,$2.43,$2.48,$2.07,$4.12,$3.86,28.91%
840,2018-05-06,$2.80,$2.47,$2.56,$3.71,$3.69,10.98%
854,2018-04-29,$2.52,$2.86,$3.08,$3.62,$2.98,24.40%
868,2018-04-22,$2.43,$2.56,$2.61,$3.49,$3.24,22.43%
882,2018-04-15,$1.43,$2.76,$1.98,$2.74,$2.99,83.04%
896,2018-04-08,$1.52,$3.36,$2.66,$3.24,$3.36,107.57%
910,2018-04-01,$1.61,$2.86,$2.86,$3.12,$3.19,86.80%
924,2018-03-25,$2.16,$2.56,$2.56,$3.24,$2.24,22.69%
1630,2017-05-07,$2.70,$3.75,$2.91,$4.49,$3.74,37.87%
1643,2017-04-30,$2.87,$3.41,$3.28,$4.49,$3.98,32.06%
1655,2017-04-23,$2.88,$3.32,$3.28,$3.99,$2.99,17.88%
1656,2017-04-16,$2.69,$2.66,$2.78,$3.99,$3.25,17.84%
1681,2017-04-09,$1.96,$2.81,$2.28,$3.49,$3.11,49.11%
1691,2017-04-02,$1.81,$2.81,$3.28,$3.49,$3.11,75.28%
1707,2017-03-26,$1.46,$2.66,$2.08,$2.99,$2.04,67.29%
2370,2016-04-24,$1.99,$3.75,$3.11,$2.99,$3.36,65.95%
2384,2016-04-17,$1.99,$3.65,$2.74,$3.99,$3.24,71.11%
2397,2016-04-10,$1.96,$3.32,$2.74,$3.74,$3.24,66.33%
2411,2016-04-03,$1.78,$2.98,$2.86,$3.24,$3.49,76.54%
2424,2016-03-27,$1.67,$2.48,$2.32,$2.99,$2.22,49.85%
2426,2016-03-20,$1.49,$2.48,$1.91,$2.12,$2.02,43.12%
2441,2016-03-13,$1.47,$2.32,$2.79,$2.74,$2.84,81.80%
3168,2015-04-05,$2.10,$3.26,$2.76,$3.37,$2.99,47.38%
3190,2015-03-29,$1.74,$2.71,$1.73,$2.74,$3.69,56.18%
3200,2015-03-22,$1.71,$3.24,$2.41,$3.12,$3.99,86.55%
3869,2014-05-18,$1.92,$3.36,$3.37,$3.87,$3.49,83.46%
3875,2014-05-11,$1.99,$3.11,$2.92,$3.87,$3.99,74.50%
3896,2014-05-04,$1.97,$3.36,$2.92,$3.87,$3.99,79.44%
3909,2014-04-27,$1.87,$3.15,$2.12,$3.74,$3.99,73.80%
3932,2014-04-23,$1.87,$2.74,$2.16,$3.37,$2.86,48.80%
3941,2014-04-20,$1.78,$3.11,$2.12,$3.74,$3.11,69.66%
3952,2014-04-13,$1.87,$2.74,$2.16,$3.37,$2.86,48.80%
3976,2014-04-07,$1.79,$2.86,$2.99,$3.12,$3.11,68.72%
3984,2014-03-30,$1.69,$2.24,$2.24,$2.99,$2.49,47.34%
3994,2014-03-23,$1.35,$2.36,$1.68,$2.74,$2.49,71.67%
4005,2014-03-16,$1.09,$2.86,$2.62,$2.22,$2.54,134.86%
4625,2013-05-12,$2.06,$3.99,$3.32,$3.99,$2.99,73.42%
4634,2013-05-05,$2.20,$3.49,$3.19,$3.74,$3.49,58.07%
4645,2013-04-28,$2.13,$3.47,$3.12,$3.24,$3.49,56.34%
4669,2013-04-21,$1.95,$3.11,$3.62,$3.49,$3.37,74.23%
4677,2013-04-14,$1.54,$2.82,$3.32,$2.99,$2.99,96.75%
4688,2013-04-07,$1.03,$2.56,$2.94,$1.81,$2.99,150.00%
4711,2013-03-31,$1.06,$2.86,$2.57,$1.99,$2.37,130.90%
5134,2012-08-26,$1.04,$3.49,$3.94,$4.49,$4.24,288.46%
5158,2012-08-19,$1.08,$4.05,$3.94,$4.49,$4.24,287.04%
5168,2012-08-12,$1.17,$3.43,$3.74,$4.37,$4.32,238.89%
5178,2012-08-12,$1.17,$3.43,$3.74,$4.37,$4.32,238.89%
5286,2012-07-02,$9.00,$0.00,$0.00,$0.00,$0.00,-100.00%
5378,2012-05-27,$2.13,$3.06,$2.49,$3.99,$3.49,52.93%
5401,2012-05-20,$2.07,$3.39,$2.99,$3.99,$3.49,67.39%
5412,2012-05-13,$1.94,$3.12,$2.49,$3.99,$3.99,75.13%
5428,2012-05-13,$1.94,$3.12,$2.49,$3.99,$3.99,75.13%
5445,2012-05-06,$1.85,$2.86,$2.87,$3.87,$3.49,76.89%
5470,2012-04-29,$1.67,$2.74,$2.62,$3.99,$3.74,95.96%
5477,2012-04-22,$1.53,$2.86,$2.87,$3.69,$3.12,104.90%
5488,2012-04-15,$1.47,$3.32,$2.99,$3.12,$3.12,113.44%
5518,2012-04-08,$1.37,$2.99,$3.37,$3.24,$3.12,132.12%
5525,2012-04-08,$1.37,$2.99,$3.37,$3.24,$3.12,132.12%
5531,2012-04-01,$1.46,$2.24,$1.99,$2.74,$2.04,54.28%
6210,2011-05-29,$1.81,$2.91,$4.07,$1.25,$2.87,53.31%
6234,2011-05-22,$1.79,$3.16,$3.62,$4.12,$2.74,90.50%
6244,2011-05-15,$1.73,$3.44,$2.99,$4.12,$3.74,106.50%
6270,2011-05-08,$1.72,$3.56,$3.99,$3.71,$3.74,118.02%
6277,2011-05-01,$1.69,$2.44,$3.62,$3.72,$3.74,100.00%
6288,2011-04-24,$1.79,$3.31,$3.26,$3.99,$3.74,99.72%
6312,2011-04-17,$1.99,$2.69,$2.61,$3.87,$2.49,46.48%
6320,2011-04-10,$1.99,$2.49,$1.87,$3.62,$2.92,36.93%
6331,2011-04-03,$1.63,$3.09,$3.49,$3.62,$2.74,98.47%
6998,2010-06-06,$1.81,$2.49,$3.62,$4.24,$3.87,96.41%
7020,2010-05-30,$1.81,$2.56,$2.84,$3.99,$2.99,70.99%
7046,2010-05-23,$1.89,$3.01,$3.17,$3.99,$3.99,87.30%
7055,2010-05-16,$1.89,$3.01,$3.25,$3.99,$3.99,88.36%
7067,2010-05-09,$1.83,$3.09,$2.87,$3.87,$2.99,75.14%
7087,2010-05-02,$1.79,$2.84,$2.74,$3.74,$2.66,67.32%
7099,2010-04-25,$1.57,$2.91,$3.74,$3.62,$2.49,103.18%
7109,2010-04-18,$1.49,$3.11,$3.49,$3.74,$2.49,115.27%
7131,2010-04-11,$1.45,$2.86,$3.74,$3.24,$2.16,106.90%
7141,2010-04-04,$1.46,$2.74,$3.24,$3.24,$2.49,100.51%
7152,2010-03-28,$1.31,$1.87,$2.44,$2.71,$2.09,73.85%
7174,2010-03-21,$1.29,$2.49,$3.74,$3.74,$2.82,147.87%
7184,2010-03-14,$1.28,$2.99,$3.47,$2.74,$2.59,130.27%
7840,2009-05-24,$1.31,$3.03,$2.87,$3.49,$2.12,119.66%
7870,2009-05-17,$1.19,$2.78,$2.62,$2.99,$2.37,126.05%
7876,2009-05-10,$1.26,$2.91,$2.74,$3.24,$3.25,140.87%
7900,2009-05-03,$1.43,$2.79,$2.99,$3.37,$3.37,118.88%
7909,2009-04-26,$1.49,$3.24,$3.57,$2.99,$2.57,107.55%
7920,2009-04-19,$1.40,$3.11,$3.57,$2.99,$2.49,117.14%
7943,2009-04-12,$1.40,$2.81,$3.47,$2.74,$2.49,105.54%
7952,2009-04-05,$1.42,$2.31,$1.99,$2.24,$1.86,47.89%
